21_JUMP_STREET.srt 	21_JUMP_STREET_DVS30 	00:03:33,00 --> 00:03:39,50 	ahead in line, someone now sporting a buzz cut spots him.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS145 	00:23:15,00 --> 00:23:20,50 	he spots scrawny awkward kids.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS347 	00:58:05,00 --> 00:58:09,50 	someone spots them.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS368 	01:00:53,00 --> 01:00:58,50 	he spots a laptop on a desk and opens it.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS427 	01:11:33,00 --> 01:11:38,50 	someone spots him running away.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS429 	01:11:48,00 --> 01:11:52,50 	he spots a sports car.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS38 	00:07:51,00 --> 00:08:03,50 	someone spots a truck emblazoned with a bald eagle surrounded by stars and stripes.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS118 	00:31:06,00 --> 00:31:12,50 	he crosses to a window and spots a van outside.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS146 	00:38:37,00 --> 00:38:43,50 	someone peers out a window and spots an older man exiting the house.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS270 	01:04:24,00 --> 01:04:30,50 	leaning forward she spots men's shoes crossing the checkered floor.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS333 	01:15:06,00 --> 01:15:11,50 	he spots the moneybag.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS130 	01:06:36,00 --> 01:06:41,50 	someone spots the condoms.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS81 	00:10:59,00 --> 00:11:05,50 	he spots someone standing alone.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS315 	00:56:39,00 --> 00:56:43,50 	on the assistant's desk he spots a card with "i love us".
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS319 	00:57:30,00 --> 00:57:34,50 	someone spots someone across the office.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS337 	01:01:32,00 --> 01:01:36,50 	someone spots him.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS341 	01:02:29,00 --> 01:02:33,50 	she spots the book and grins.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS348 	01:03:20,00 --> 01:03:26,50 	someone, wearing his suit, spots someone wearing a knee-length pale dress.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS144 	00:13:30,00 --> 00:13:37,50 	as the soldiers escort the prisoners along the barricaded path, someone spots his son.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS230 	00:19:14,00 --> 00:19:19,50 	spinning around, someone spots the van nearby.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS297 	00:25:46,00 --> 00:26:05,50 	looking over, he spots someone's blue van and the armored truck speeding down the highway below.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS779 	01:17:33,00 --> 01:17:41,50 	looking away, someone spots the pistol beside someone's dead body.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS209 	00:28:23,00 --> 00:28:30,50 	douglas notices her absence then spots her dancing with someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS279 	00:39:58,00 --> 00:40:22,50 	he spots someone leaping over the herd.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS608 	01:24:36,00 --> 01:25:32,50 	someone spots a vampire climbing on to the roof.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS628 	01:28:22,00 --> 01:28:33,50 	he spots someone unconscious on his back, then looks up through the open ceiling.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS113 	00:15:47,00 --> 00:15:51,50 	someone spots him.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS525 	01:22:22,00 --> 01:22:27,50 	someone spots the russians outside.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS531 	01:22:59,00 --> 01:23:06,50 	he watches them get in their mercedes, then spots someone in a parked car.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS610 	01:35:12,00 --> 01:35:16,50 	someone spots him and uses his phone.
BLINDDATING.srt 	BLINDDATING_DVS239 	00:58:02,00 --> 00:58:26,50 	spotting chocolate on her date's chin, she points to her chin, then lowers her tongue and points again.
BURLESQUE.srt 	BURLESQUE_DVS300 	00:40:51,00 --> 00:40:56,50 	he spots his towel on the floor.
BURLESQUE.srt 	BURLESQUE_DVS686 	01:45:53,00 --> 01:45:58,50 	entering the lounge, someone spots them.
BURLESQUE.srt 	BURLESQUE_DVS704 	01:47:33,00 --> 01:47:40,50 	someone lifts a brush to her eyes then spots her rival in the reflection of her mirror.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS78 	00:06:27,00 --> 00:06:33,50 	he spots a crumpled hand-written note atop an unopened envelope marked, past due.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS256 	00:19:59,00 --> 00:20:06,50 	as they paddle far out, we spot a meteorological complex, complete with a satellite dish perched on a bluff in the distance.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS286 	00:21:56,00 --> 00:22:02,50 	looking around, someone spots the teen on the bluffs.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS321 	00:27:20,00 --> 00:27:25,50 	someone spots someone's van outside.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS507 	00:49:24,00 --> 00:49:28,50 	he spots a lone surfer.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS521 	00:50:47,00 --> 00:50:54,50 	the water clears and someone spots the surfer clutching onto the rock.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS540 	00:52:25,00 --> 00:52:29,50 	the bully spots someone and nods.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS668 	01:04:40,00 --> 01:04:45,50 	spotting someone, someone splits off and rides over.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS763 	01:16:18,00 --> 01:16:23,50 	passing arriving mourners, the teen spots his mentor across the street.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1049 	01:41:00,00 --> 01:41:07,50 	someone looks through his binoculars and spots his board sticking straight up out of the turmoil.
COLOMBIANA.srt 	COLOMBIANA_DVS132 	00:11:21,00 --> 00:11:25,50 	he spots her necklace.
COLOMBIANA.srt 	COLOMBIANA_DVS149 	00:13:31,00 --> 00:13:39,50 	as she acrobatically makes her way down to a terrace, the brawny gunman spots her from the rooftop.
COLOMBIANA.srt 	COLOMBIANA_DVS164 	00:14:30,00 --> 00:14:41,50 	as someone emerges on a sidewalk, she spots the motorcyclist approaching and takes off down a stone staircase.
COLOMBIANA.srt 	COLOMBIANA_DVS177 	00:15:35,00 --> 00:15:41,50 	he spots her feet disappearing over the rooftop's edge.
COLOMBIANA.srt 	COLOMBIANA_DVS441 	00:39:04,00 --> 00:39:08,50 	landing in a crouch, she spots the police across the rooftop.
COLOMBIANA.srt 	COLOMBIANA_DVS682 	01:04:33,00 --> 01:04:40,50 	she spots the painting of the elderly man resting off to the side.
COLOMBIANA.srt 	COLOMBIANA_DVS732 	01:09:21,00 --> 01:09:26,50 	spotting the plush gift, someone picks it up.
COLOMBIANA.srt 	COLOMBIANA_DVS758 	01:13:24,00 --> 01:13:29,50 	he spots a meter maid by his car.
DEAR_JOHN.srt 	DEAR_JOHN_DVS140 	00:22:41,00 --> 00:22:46,50 	he spots her, and they share a warm smile.
DEAR_JOHN.srt 	DEAR_JOHN_DVS162 	00:25:13,00 --> 00:25:20,50 	turning, he spots a solitary figure sitting alone at the base of a grassy dune.
DEAR_JOHN.srt 	DEAR_JOHN_DVS391 	01:00:42,00 --> 01:00:48,50 	he spots his father waiting at a security checkpoint.
DEAR_JOHN.srt 	DEAR_JOHN_DVS548 	01:17:33,00 --> 01:17:42,50 	his brow furrowed, someone spots a cot in the corridor, and strides toward it to find his father.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS67 	00:10:39,00 --> 00:10:45,50 	someone looks through the window and spots a brunette woman, he smiles and waves at her.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS155 	00:37:03,00 --> 00:37:09,50 	someone spots a cat on the sofa.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS424 	01:44:17,00 --> 01:44:22,50 	someone's spotted her.
DISTRICT_9.srt 	DISTRICT_9_DVS113 	00:13:27,00 --> 00:13:32,50 	they spot an alien eating a truck's spare tire.
DISTRICT_9.srt 	DISTRICT_9_DVS743 	01:28:01,00 --> 01:28:11,50 	someone peeks out of the hideout's window and spots the advancing mercenaries.
DISTRICT_9.srt 	DISTRICT_9_DVS838 	01:39:00,00 --> 01:39:12,50 	spotting the colonel, someone rolls over to face him and raises his trembling human hand.
EASY_A.srt 	EASY_A_DVS224 	01:11:44,00 --> 01:11:49,50 	someone spots them.
FLIGHT.srt 	FLIGHT_DVS72 	00:14:39,00 --> 00:14:43,50 	she spots a syringe.
FLIGHT.srt 	FLIGHT_DVS772 	01:37:18,00 --> 01:37:24,50 	some reporters spot him, so he reverses and drives back onto the main road.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS62 	00:16:28,00 --> 00:16:34,50 	he spots a huge monitor broadcasting the flash mob.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS131 	00:35:28,00 --> 00:35:34,50 	undressing her he spots a dog tattoo.
