21_JUMP_STREET.srt 	21_JUMP_STREET_DVS25 	00:03:10,00 --> 00:03:15,50 	the nerd wipes his own tears and stands.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS340 	00:56:31,00 --> 00:56:41,50 	as someone stands by glumly, the captain hands someone a role of cash then sips his coffee peevishly.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS393 	01:06:36,00 --> 01:06:41,50 	now, someone stands before his chemistry classmates.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS516 	01:21:37,00 --> 01:21:43,50 	they stand over weapons and ammo neatly laid out on the bed.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS635 	01:35:42,00 --> 01:35:49,50 	someone stands in the sunroof and shoots.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS642 	01:37:01,00 --> 01:37:15,50 	he stands in the sunroof and makes a perfect quarterback pass.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS675 	01:41:53,00 --> 01:41:58,50 	the someone stands by uncomfortably.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS60 	00:13:50,00 --> 00:13:53,50 	he stands.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS162 	00:42:21,00 --> 00:42:29,50 	someone stands on the opposite side.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS291 	01:06:38,00 --> 01:06:44,50 	jumping up someone stands over the major.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS20 	00:06:05,00 --> 00:06:12,50 	later, the cocky salesman, someone, stands with someone and someone.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS134 	01:07:19,00 --> 01:07:27,50 	now at smart tech he stands on the sales floor.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS81 	00:10:59,00 --> 00:11:05,50 	he spots someone standing alone.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS117 	00:24:24,00 --> 00:24:29,50 	standing on the pavement outside the bar.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS275 	00:52:24,00 --> 00:52:36,50 	they're standing in front of huge prints of intertwined tubes.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS401 	01:10:39,00 --> 01:10:43,50 	standing with his shadow
