21_JUMP_STREET.srt 	21_JUMP_STREET_DVS148 	00:23:28,00 --> 00:23:37,50 	looking head someone stares.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS502 	01:19:14,00 --> 01:19:18,50 	staring at someone, someone shuts the hatchback.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS150 	01:18:30,00 --> 01:18:36,50 	she stares distantly, then faces someone.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS227 	01:50:42,00 --> 01:50:46,50 	as someone stares wide eyed at the ceiling.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS230 	01:51:05,00 --> 01:51:19,50 	someone stares off, transfixed.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS85 	00:12:49,00 --> 00:12:55,50 	he stares after her as she walks away through the open plan office.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS101 	00:16:23,00 --> 00:16:27,50 	he stares at her.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS113 	00:24:01,00 --> 00:24:04,50 	he stares at her.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS116 	00:24:20,00 --> 00:24:25,50 	he remains, staring after her.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS157 	00:29:12,00 --> 00:29:19,50 	a whole chinese family is indeed staring at them from the on-suite bathroom display.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS203 	00:33:48,00 --> 00:33:53,50 	someone stares gloomily at mackenzie.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS262 	00:48:25,00 --> 00:48:30,50 	she stares at him expressionlessly,
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS418 	01:11:42,00 --> 01:11:46,50 	someone lies, staring at the ceiling.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS433 	01:16:21,00 --> 01:16:26,50 	someone stares into the middle distance and remembers times with someone walking down the street.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS502 	01:21:22,00 --> 01:21:27,50 	someone stares blankly on the bus.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS505 	01:21:42,00 --> 01:21:45,50 	he stares expressionlessly out across a leafy park.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS514 	01:23:40,00 --> 01:23:44,50 	becoming serious, he stares at her.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS86 	00:07:14,00 --> 00:07:20,50 	she looks at someone as he stares out the windshield.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS120 	00:09:55,00 --> 00:10:03,50 	someone sits in the back of a taxi with a tense brow staring at scribbled notes about his son's arrest.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS132 	00:12:39,00 --> 00:12:43,50 	riding inside, someone glances at the young criminal, who stares back with a blank piercing
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS497 	00:48:17,00 --> 00:48:22,50 	someone stares boldly and someone spits.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS571 	00:55:54,00 --> 00:56:00,50 	someone stares thoughtfully ahead, his young face caked with blood.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS628 	01:04:55,00 --> 01:05:02,50 	he pauses and watches the young man, who turns around and stares at his father.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS638 	01:06:08,00 --> 01:06:14,50 	someone stares at his dad.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS195 	00:36:53,00 --> 00:36:57,50 	someone stares wide-eyed at someone.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS211 	00:40:32,00 --> 00:40:38,50 	someone storms into the next room and stares at a lit fire place.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS287 	00:53:06,00 --> 00:53:12,50 	staring at him, a nearby woman grabs a young girls hand and leads her away.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS297 	00:54:58,00 --> 00:55:05,50 	one of the executives stares at someone as he nibbles the stick in small bites.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS329 	00:58:48,00 --> 00:58:54,50 	someone turns and stares up at the tree's leaves.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS373 	01:05:37,00 --> 01:05:43,50 	someone watches him leave, then stares at the table top.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS397 	01:09:55,00 --> 01:10:01,50 	then stands and stares at the tree in his backyard.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS423 	01:13:06,00 --> 01:13:11,50 	he stares at someone then turns and walks off.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS442 	01:15:55,00 --> 01:16:00,50 	someone furrows his brow as he stares straight ahead.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS449 	01:17:05,00 --> 01:17:11,50 	someone leans forward as his mother stares at the floor.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS453 	01:18:33,00 --> 01:18:39,50 	he nods more vigorously, then stares into his mother's eyes.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS133 	00:16:12,00 --> 00:16:17,50 	someone plants his feet staring at the tree trunk.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS168 	00:22:37,00 --> 00:22:42,50 	she stares up at his angular features.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS173 	00:23:25,00 --> 00:23:31,50 	someone stares admiringly at someone as someone arrives.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS219 	00:31:08,00 --> 00:31:13,50 	he leans forward, staring up at her earnestly.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS390 	00:54:38,00 --> 00:55:09,50 	he delivers a powerful roundhouse kick as more and more vampires join the fray, a staring someone backs away from the window.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS470 	01:06:47,00 --> 01:06:55,50 	staring off, someone remembers his dying mother writhing as her eyes rolled back in her head.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS493 	01:08:39,00 --> 01:08:46,50 	the president lifts his head staring off as he rubs his thumbs together.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS537 	01:16:02,00 --> 01:16:11,50 	someone's expression softens as she stares towards the windows, one hand tucked behind her head.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS548 	01:17:03,00 --> 01:17:11,50 	light pours in past someone as he stands in the doorway staring at the now dust coated chest.
BAD_TEACHER.srt 	BAD_TEACHER_DVS282 	01:16:44,00 --> 01:16:52,50 	the kids part for someone who makes her way past them, leaving someone staring sadly.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS211 	00:34:33,00 --> 00:34:39,50 	someone stares too.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS378 	00:59:55,00 --> 01:00:00,50 	he stares after her, then gives a smug nod.
BLINDDATING.srt 	BLINDDATING_DVS279 	01:09:59,00 --> 01:10:09,50 	someone notices his wife staring off.
BLINDDATING.srt 	BLINDDATING_DVS286 	01:11:33,00 --> 01:11:41,50 	someone stares off.
BLINDDATING.srt 	BLINDDATING_DVS359 	01:28:26,00 --> 01:28:33,50 	as he smiles at her, she stares back tearful and
BRUNO.srt 	BRUNO_DVS206 	00:55:51,00 --> 00:55:57,50 	the tac officer stares slack-jawed.
BRUNO.srt 	BRUNO_DVS213 	00:58:59,00 --> 00:59:06,50 	robert nods, as someone stares off.
BRUNO.srt 	BRUNO_DVS245 	01:06:15,00 --> 01:06:20,50 	the man stares at the woman.
BURLESQUE.srt 	BURLESQUE_DVS292 	00:40:21,00 --> 00:40:26,50 	as she stares off,
BURLESQUE.srt 	BURLESQUE_DVS369 	00:51:10,00 --> 00:51:17,50 	he heads away, passing someone, who stares at someone, her arms crossed.
BURLESQUE.srt 	BURLESQUE_DVS449 	01:01:21,00 --> 01:01:25,50 	he stares, slack-jawed.
BURLESQUE.srt 	BURLESQUE_DVS482 	01:06:59,00 --> 01:07:07,50 	at home, someone adds notations to sheet music, then stares thoughtfully at it.
