21_JUMP_STREET.srt 	21_JUMP_STREET_DVS206 	00:35:32,00 --> 00:35:36,50 	the cops stare.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS563 	01:27:01,00 --> 01:27:05,50 	the bikers stare at them.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS26 	00:11:28,00 --> 00:11:34,50 	the guys stare blankly.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS276 	00:52:48,00 --> 00:52:54,50 	they stare in bafflement at a coiled poo.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS118 	00:09:45,00 --> 00:09:49,50 	the men stare at each other.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS31 	00:08:06,00 --> 00:08:11,50 	other people wrinkle their brows as they stare at someone.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS247 	00:40:48,00 --> 00:40:52,50 	they all stare.
BRUNO.srt 	BRUNO_DVS174 	00:47:32,00 --> 00:47:48,50 	other passengers stare.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS555 	02:10:16,00 --> 02:10:27,50 	someone and mrs. gould stare fretfully.
DEAR_JOHN.srt 	DEAR_JOHN_DVS335 	00:51:30,00 --> 00:51:35,50 	they both stare ahead somberly.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS294 	01:13:31,00 --> 01:13:35,50 	they all stare at him.
EASY_A.srt 	EASY_A_DVS43 	00:13:09,00 --> 00:13:14,50 	at school her peers stare.
EASY_A.srt 	EASY_A_DVS123 	00:39:17,00 --> 00:39:38,50 	as she sashays onward, the students stare at her.
EASY_A.srt 	EASY_A_DVS276 	01:23:18,00 --> 01:23:24,50 	in the stands, the fundamentalists stare as other students smile and clap.
FLIGHT.srt 	FLIGHT_DVS572 	01:18:35,00 --> 01:18:40,50 	they stare at each other, unmoving.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS352 	01:33:38,00 --> 01:33:50,50 	patrons at the nearby tables begin to stare.
GREEN_ZONE.srt 	GREEN_ZONE_DVS366 	01:24:32,00 --> 01:24:38,50 	the two officers stare intently at each other.
GROWN_UPS.srt 	GROWN_UPS_DVS149 	00:45:14,00 --> 00:45:19,50 	they stare in the same direction.
HUGO.srt 	HUGO_DVS702 	01:43:20,00 --> 01:43:24,50 	the two dogs stare at one another.
INSIDE_MAN.srt 	INSIDE_MAN_DVS135 	00:41:15,00 --> 00:41:23,50 	the policemen stare at mr.
INSIDE_MAN.srt 	INSIDE_MAN_DVS175 	00:50:16,00 --> 00:50:37,50 	someone and the others stare at him.
IRON_MAN_2.srt 	IRON_MAN_2_DVS177 	00:33:17,00 --> 00:33:24,50 	while restaurant patrons stare open-mouthed at the towering flames, in the limousine's back seat, pepper leans forward.
IRON_MAN_2.srt 	IRON_MAN_2_DVS499 	01:30:22,00 --> 01:30:28,50 	the two guards stare at someone.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS126 	00:38:23,00 --> 00:38:28,50 	her stunned friends stare.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS173 	00:32:03,00 --> 00:32:16,50 	her classmates stare, and the chef approaches.
KARATE_KID.srt 	KARATE_KID_DVS115 	00:10:49,00 --> 00:10:53,50 	the men stare at him.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS73 	00:19:14,00 --> 00:19:18,50 	the students stare at her.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS99 	00:24:25,00 --> 00:24:31,50 	the students stare.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1078 	01:48:51,00 --> 01:48:55,50 	they stare at someone.
MORNING_GLORY.srt 	MORNING_GLORY_DVS128 	00:30:41,00 --> 00:30:45,50 	they stare.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS41 	00:10:10,00 --> 00:10:16,50 	the three siblings stare.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS107 	00:24:52,00 --> 00:24:59,50 	they stare at someone.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS284 	01:03:11,00 --> 01:03:15,50 	the children stare.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS44 	00:10:45,00 --> 00:10:49,50 	they stare into each other's eyes.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS275 	01:09:59,00 --> 01:10:07,50 	his two friends stare as well.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS438 	01:42:45,00 --> 01:42:52,50 	someone, poseidon, and the goddess with the long brown curls stare down at the teens.
PROMETHEUS.srt 	PROMETHEUS_DVS474 	00:49:47,00 --> 00:49:53,50 	they stare at each other only a few inches apart.
SALT.srt 	SALT_DVS378 	01:07:24,00 --> 01:07:36,50 	her glistening eyes stare wistfully.
SANCTUM.srt 	SANCTUM_DVS185 	00:38:16,00 --> 00:38:21,50 	his companions stare gravely.
SANCTUM.srt 	SANCTUM_DVS458 	01:25:42,00 --> 01:25:53,50 	the climber stare down the tunnel where more light gleams of its jagged walls.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1454 	01:38:30,00 --> 01:38:37,50 	someone turns and both women stare out at the glittering metropolis.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS523 	01:14:06,00 --> 01:14:10,50 	they all stare at the banner.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS28 	00:03:21,00 --> 00:03:26,50 	the executives stare at him blankly.
