21_JUMP_STREET.srt 	21_JUMP_STREET_DVS414 	01:10:03,00 --> 01:10:09,50 	someone steps on the brake and the car stops short again.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS82 	00:21:08,00 --> 00:21:17,50 	the mustang rounds a darkened corner and stops halfway through the gate of a chain link fence with an address number on a sign.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS210 	00:18:03,00 --> 00:18:10,50 	she slowly proceeds through the room, stopping beside the dark-haired boss.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS288 	00:24:47,00 --> 00:24:54,50 	as he attempts to stop swerving cars, an suv hits him head on.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS630 	01:05:18,00 --> 01:05:24,50 	someone starts to speak, then stops himself.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS250 	00:47:56,00 --> 00:48:02,50 	stopping at a door, he straightens his tie, then knocks.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS29 	00:03:21,00 --> 00:03:28,50 	as someone approaches, the pipe smoking man stops him with the butt of his cane.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS271 	00:39:17,00 --> 00:39:21,50 	he stops at a corner.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS273 	00:39:23,00 --> 00:39:28,50 	he stops and sniffs the air.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS625 	01:28:06,00 --> 01:28:18,50 	they start for the locomotive but stop short.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS257 	00:44:09,00 --> 00:44:13,50 	someone stops him.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS316 	00:51:45,00 --> 00:51:50,50 	someone stops the model from disrobing.
BLINDDATING.srt 	BLINDDATING_DVS149 	00:40:12,00 --> 00:40:21,50 	she stops in her tracks and grins.
BLINDDATING.srt 	BLINDDATING_DVS270 	01:06:03,00 --> 01:06:21,50 	someone stops with someone at his side.
BURLESQUE.srt 	BURLESQUE_DVS61 	00:05:45,00 --> 00:05:50,50 	she stops at an eye-catching archway.
BURLESQUE.srt 	BURLESQUE_DVS275 	00:38:08,00 --> 00:38:15,50 	she stops in the doorway and watches as someone tries to paint on eyeliner.
BURLESQUE.srt 	BURLESQUE_DVS550 	01:19:41,00 --> 01:19:49,50 	the car stops abruptly.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS575 	01:39:29,00 --> 01:39:39,50 	the car skids sideways out of the hangar, slides backward, and stops at the edge of a cliff.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS82 	00:06:41,00 --> 00:06:45,50 	he stops in a doorway.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS364 	00:34:32,00 --> 00:34:38,50 	someone stops paddling then rolls off his board and into the water.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS433 	00:41:34,00 --> 00:41:38,50 	he stops and admires his mentor.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS383 	01:33:25,00 --> 01:33:34,50 	someone stops the projector.
COLOMBIANA.srt 	COLOMBIANA_DVS267 	00:22:17,00 --> 00:22:23,50 	his fist stops mid punch and his brow furrows.
COLOMBIANA.srt 	COLOMBIANA_DVS456 	00:40:08,00 --> 00:40:12,50 	he stops at someone's cell.
DEAR_JOHN.srt 	DEAR_JOHN_DVS78 	00:11:27,00 --> 00:11:38,50 	now the truck stops before a modest home with a bushy tree in the front yard.
DEAR_JOHN.srt 	DEAR_JOHN_DVS528 	01:15:50,00 --> 01:15:54,50 	a doctor stops beside someone.
DEAR_JOHN.srt 	DEAR_JOHN_DVS618 	01:24:24,00 --> 01:24:30,50 	someone continues toward her, then stops a few yards away.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS206 	00:49:56,00 --> 00:50:02,50 	someone starts for the door then stops.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS441 	01:47:39,00 --> 01:47:45,50 	they stop and someone hugs them both.
DISTRICT_9.srt 	DISTRICT_9_DVS526 	01:02:36,00 --> 01:02:41,50 	someone stops headphones.
DISTRICT_9.srt 	DISTRICT_9_DVS719 	01:25:00,00 --> 01:25:10,50 	once i have that power, no one someone stop me.
DISTRICT_9.srt 	DISTRICT_9_DVS764 	01:30:32,00 --> 01:30:39,50 	meanwhile, the robot stops across the dry ground.
FLIGHT.srt 	FLIGHT_DVS201 	00:46:47,00 --> 00:46:51,50 	someone stops the car.
FLIGHT.srt 	FLIGHT_DVS342 	00:56:55,00 --> 00:57:00,50 	he stops in the bar area.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS375 	01:38:44,00 --> 01:38:51,50 	the bustling crowd around someone suddenly stops and dances.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS378 	01:39:10,00 --> 01:39:17,50 	the people in the flash mob stop their frenetic jumping and square off.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS105 	00:16:21,00 --> 00:16:59,50 	he stops inches from the mustached thug and looms over him.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS137 	00:21:50,00 --> 00:21:56,50 	his back to us, the man stops at a newsstand.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS276 	00:42:42,00 --> 00:43:07,50 	with his gaze fixed on the boy, he trudges closer, stopping a few feet away as inky smoke swirls around him.
GREEN_ZONE.srt 	GREEN_ZONE_DVS230 	00:57:04,00 --> 00:57:08,50 	the guide stops a few doors down.
GROWN_UPS.srt 	GROWN_UPS_DVS122 	00:38:37,00 --> 00:38:42,50 	someone stops chewing.
HUGO.srt 	HUGO_DVS359 	00:54:43,00 --> 00:54:49,50 	the automaton's head returns to its normal posing as it stops.
HUGO.srt 	HUGO_DVS685 	01:39:18,00 --> 01:39:23,50 	the camera stops while the skeletons hurry off the set.
HUGO.srt 	HUGO_DVS727 	01:47:15,00 --> 01:47:19,50 	he stops and listens.
HUGO.srt 	HUGO_DVS763 	01:50:56,00 --> 01:51:06,50 	someone moves under the automaton with his arms outstretched but stops at the edge of the platform.
IN_TIME.srt 	IN_TIME_DVS221 	00:23:30,00 --> 00:23:38,50 	now, a luxury sedan stops on a street in dayton and someone strides over.
IN_TIME.srt 	IN_TIME_DVS239 	00:24:53,00 --> 00:25:00,50 	they stop at the barricade for time zone 4 and the scanner flips up again.
IN_TIME.srt 	IN_TIME_DVS358 	00:37:53,00 --> 00:37:57,50 	someone stops swaying.
IN_TIME.srt 	IN_TIME_DVS669 	01:12:29,00 --> 01:12:41,50 	it smashes through the glass barriers inside and stops at an open vault.
IN_TIME.srt 	IN_TIME_DVS703 	01:15:22,00 --> 01:15:29,50 	he stops and smirks fearlessly as the minutemen's car stops in his path.
INSIDE_MAN.srt 	INSIDE_MAN_DVS24 	00:05:53,00 --> 00:05:59,50 	he stops at a bank's lock.
INSIDE_MAN.srt 	INSIDE_MAN_DVS230 	01:07:57,00 --> 01:08:03,50 	they stop in front of a we will never forget poster.
IRON_MAN_2.srt 	IRON_MAN_2_DVS48 	00:06:31,00 --> 00:06:38,50 	the platform stops revolving.
IRON_MAN_2.srt 	IRON_MAN_2_DVS140 	00:26:06,00 --> 00:26:15,50 	the car stops outside a building's ornate facade.
IRON_MAN_2.srt 	IRON_MAN_2_DVS559 	01:38:59,00 --> 01:39:09,50 	the army drones march double-time behind the fleeing crowd, then stop.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS30 	00:08:12,00 --> 00:08:17,50 	she stops in front of a white-haired man.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS94 	00:27:54,00 --> 00:27:59,50 	someone stops the car and rolls down his window.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS112 	00:23:01,00 --> 00:23:07,50 	someone self-consciously stops laughing and glances over at his sister.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS69 	00:08:27,00 --> 00:08:33,50 	she stops at a shop window displaying a chocolate fountain.
KARATE_KID.srt 	KARATE_KID_DVS193 	00:16:50,00 --> 00:16:55,50 	someone stops dancing and stares.
KARATE_KID.srt 	KARATE_KID_DVS445 	00:39:56,00 --> 00:40:05,50 	the boys stop at a collection of parked bicycles and goof around.
KARATE_KID.srt 	KARATE_KID_DVS498 	00:44:37,00 --> 00:44:45,50 	he stops them, then advances on mr.
KARATE_KID.srt 	KARATE_KID_DVS625 	00:53:35,00 --> 00:53:39,50 	he stops.
KARATE_KID.srt 	KARATE_KID_DVS643 	00:54:40,00 --> 00:54:45,50 	they stop just outside the courtyard's gate.
KARATE_KID.srt 	KARATE_KID_DVS1461 	01:59:13,00 --> 01:59:18,50 	master someone stops someone on his way to the mat.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS182 	01:05:27,00 --> 01:05:39,50 	she stops, frowning.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS91 	00:22:30,00 --> 00:22:34,50 	he stops.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS167 	00:22:39,00 --> 00:22:43,50 	stopping near the end.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS173 	00:23:12,00 --> 00:23:17,50 	the magnificent tiger stops a foot away.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS427 	00:49:25,00 --> 00:49:32,50 	someone stops at the center, his body convulsing.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS511 	00:56:31,00 --> 00:56:37,50 	stopping a few yards from the boat, someone vomits into the water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS794 	01:21:29,00 --> 01:21:36,50 	on the raft, someone uses two pails as a dholak drum then suddenly stops.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS265 	01:25:58,00 --> 01:26:09,50 	he stops.
MORNING_GLORY.srt 	MORNING_GLORY_DVS76 	00:13:51,00 --> 00:13:57,50 	someone jams her arm in the doors to stop them from closing.
MORNING_GLORY.srt 	MORNING_GLORY_DVS118 	00:26:38,00 --> 00:26:43,50 	she stops just short of him,
MORNING_GLORY.srt 	MORNING_GLORY_DVS278 	01:01:27,00 --> 01:01:31,50 	she stops
MORNING_GLORY.srt 	MORNING_GLORY_DVS382 	01:24:25,00 --> 01:24:33,50 	someone, who's striding toward the colonial-style clapboard country mansion, stops in his tracks.
MORNING_GLORY.srt 	MORNING_GLORY_DVS454 	01:36:42,00 --> 01:36:46,50 	he stops at a table of food.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS338 	01:14:13,00 --> 01:14:26,50 	the boys stop by the door.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS416 	01:26:47,00 --> 01:26:57,50 	the tip of her scissors stop a few inches away.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS163 	00:26:58,00 --> 00:27:02,50 	someone stops someone.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS344 	01:22:31,00 --> 01:22:36,50 	someone stops on the stairs.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS355 	01:26:19,00 --> 01:26:24,50 	someone stops on the staircase.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS305 	01:16:11,00 --> 01:16:19,50 	he stops at a pinball machine played by a thin young man with long, corn silk hair.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS368 	01:31:23,00 --> 01:31:30,50 	they stop their advance and the fireplace grate closes behind the group.
PROMETHEUS.srt 	PROMETHEUS_DVS715 	01:15:59,00 --> 01:16:06,50 	as the door lowers, someone stops halfway down, wielding the menacing weapon.
PROMETHEUS.srt 	PROMETHEUS_DVS794 	01:25:21,00 --> 01:25:28,50 	a crewman stops halfway down the lowering ramp in a space suit and helmet.
PROMETHEUS.srt 	PROMETHEUS_DVS845 	01:31:45,00 --> 01:31:50,50 	he stops at the door, then returns to someone.
PROMETHEUS.srt 	PROMETHEUS_DVS923 	01:41:33,00 --> 01:41:38,50 	someone stops to catch her breath.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS47 	00:07:57,00 --> 00:08:05,50 	the woman stops him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS216 	00:40:17,00 --> 00:40:21,50 	the stranger stops.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS485 	02:00:51,00 --> 02:00:56,50 	someone stops short.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS205 	00:14:47,00 --> 00:14:52,50 	a lady servant stops her.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS400 	00:26:43,00 --> 00:26:49,50 	avoiding his gaze, she stops struggling and blinks resignedly.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS936 	01:00:45,00 --> 01:00:50,50 	the two friends stop singing and peer up.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1316 	01:30:49,00 --> 01:30:55,50 	the worker stops spreading towels over loungers and leaves.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS345 	01:12:19,00 --> 01:12:23,50 	the knives stop inches his face.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS364 	01:16:56,00 --> 01:17:03,50 	as he stops her, she instantly changes back to the middle-aged new yorker.
SOUL_SURFER.srt 	SOUL_SURFER_DVS199 	01:06:06,00 --> 01:06:13,50 	someone stops someone who peers after his daughter.
SPARKLE_2012.srt 	SPARKLE_2012_DVS71 	00:12:27,00 --> 00:12:31,50 	someone stops dancing.
SUPER_8.srt 	SUPER_8_DVS115 	00:18:22,00 --> 00:18:28,50 	he stops as a piece of flaming wreckage marked explosive lands in front of him.
SUPER_8.srt 	SUPER_8_DVS406 	01:13:09,00 --> 01:13:15,50 	he drives along a dirt road beside a pasture then stops.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS532 	01:15:12,00 --> 01:15:17,50 	luxury cars stop at the palace gate.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS655 	01:28:47,00 --> 01:28:53,50 	someone and the inspectors surround the car as it stops.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS689 	01:32:22,00 --> 01:32:29,50 	someone swings back, but someone stops the blow and kicks someone to the ground.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS273 	00:52:28,00 --> 00:52:36,50 	as his english teacher collects the students papers, she stops at his desk and touches his shoulder.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS280 	00:52:21,00 --> 00:52:40,50 	someone stops inches behind her then scoots forward and bumps the pedicab again.
THE_CALL.srt 	THE_CALL_DVS302 	00:25:46,00 --> 00:25:51,50 	someone stops her trainees behind brooke's station.
THE_CALL.srt 	THE_CALL_DVS938 	01:12:13,00 --> 01:12:18,50 	she stops and furrows her brow.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS266 	00:42:10,00 --> 00:42:17,50 	someone the stops the car across from a pleasant mid-century home with a copper turtle on the gate post.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS384 	00:58:27,00 --> 00:58:32,50 	they all stop on the scenic overlook.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS494 	01:10:53,00 --> 01:11:00,50 	someone meanders down to the water's edge and stops a few feet from the woman.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS314 	00:38:09,00 --> 00:38:15,50 	in hedestad a volvo stops beside someone as he trudges up a hill.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS708 	01:18:12,00 --> 01:18:17,50 	then stops and switches on her taser.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS768 	01:28:28,00 --> 01:28:34,50 	stopping on one of him and his co-editor.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS783 	01:30:17,00 --> 01:30:24,50 	now someone stops her motorcycle in a rental car company's parking lot.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS819 	01:33:44,00 --> 01:33:49,50 	someone stops the elevator.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS975 	01:47:25,00 --> 01:47:30,50 	she stops at an article featuring gottfried.
