500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS318 	00:56:46,00 --> 00:56:54,50 	someone strides into the office.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS214 	00:41:29,00 --> 00:41:33,50 	someone strides off.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS245 	00:47:29,00 --> 00:47:35,50 	he strides to the front desk where a blond woman greets him.
BURLESQUE.srt 	BURLESQUE_DVS367 	00:50:38,00 --> 00:50:44,50 	with a smile, someone strides away.
BURLESQUE.srt 	BURLESQUE_DVS411 	00:56:42,00 --> 00:56:47,50 	someone gapes as someone strides away.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS117 	00:19:50,00 --> 00:19:55,50 	a brown-haired officer strides up.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS162 	00:29:22,00 --> 00:29:28,50 	someone strides out of the room.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS258 	00:45:44,00 --> 00:45:49,50 	smirking, someone strides out of the room.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS848 	01:23:34,00 --> 01:23:40,50 	someone strides back to the stove and resumes cooking.
COLOMBIANA.srt 	COLOMBIANA_DVS130 	00:11:09,00 --> 00:11:12,50 	he strides off.
COLOMBIANA.srt 	COLOMBIANA_DVS226 	00:19:26,00 --> 00:19:32,50 	later, someone and her escort stride down a jet way.
COLOMBIANA.srt 	COLOMBIANA_DVS878 	01:23:22,00 --> 01:23:27,50 	she strides up a walkway toward daylight.
COLOMBIANA.srt 	COLOMBIANA_DVS1010 	01:36:12,00 --> 01:36:19,50 	now someone steps over the thin gunman's dead body and strides off.
COLOMBIANA.srt 	COLOMBIANA_DVS1096 	01:43:36,00 --> 01:43:42,50 	she strides toward a bus parked at the side of the road.
DEAR_JOHN.srt 	DEAR_JOHN_DVS545 	01:17:20,00 --> 01:17:28,50 	now in the hospital, someone strides up to his father's room.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS49 	00:13:17,00 --> 00:13:34,50 	she carefully swings her legs over a security gate at the top and strides onward.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS321 	01:26:05,00 --> 01:26:10,50 	as someone strides away, someone
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS88 	00:50:40,00 --> 00:50:47,50 	someone strides out of the line.
GREEN_ZONE.srt 	GREEN_ZONE_DVS181 	00:46:38,00 --> 00:46:53,50 	he strides off.
GREEN_ZONE.srt 	GREEN_ZONE_DVS265 	01:02:15,00 --> 01:02:31,50 	the soldier strides onward, brushing past two men in bulletproof vests.
HUGO.srt 	HUGO_DVS101 	00:13:47,00 --> 00:13:51,50 	the man strides off.
HUGO.srt 	HUGO_DVS698 	01:42:47,00 --> 01:42:53,50 	inside, he grins as he strides through a sea of people.
IN_TIME.srt 	IN_TIME_DVS218 	00:23:12,00 --> 00:23:19,50 	he strides toward his car, his long leather jacket billowing behind him.
IN_TIME.srt 	IN_TIME_DVS267 	00:27:40,00 --> 00:27:44,50 	he strides away.
IN_TIME.srt 	IN_TIME_DVS588 	01:02:51,00 --> 01:02:58,50 	as their kiss ends, someone lets her lips graze against his, then strides away.
IN_TIME.srt 	IN_TIME_DVS872 	01:32:48,00 --> 01:32:53,50 	someone strides forward,
IN_TIME.srt 	IN_TIME_DVS878 	01:33:10,00 --> 01:33:17,50 	he strides out of the office and someone punches a code into the keypad.
INSIDE_MAN.srt 	INSIDE_MAN_DVS235 	01:09:09,00 --> 01:09:15,50 	she strides over to the front doors and knocks on the glass.
IRON_MAN_2.srt 	IRON_MAN_2_DVS596 	01:42:43,00 --> 01:43:17,50 	someone strides down the corridor.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS68 	00:08:22,00 --> 00:08:30,50 	now, amid the flow of pedestrians on the sidewalk, she strides along with a down-hearted look.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS487 	01:33:53,00 --> 01:34:07,50 	later, someone strides out of the apartment.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS89 	00:21:58,00 --> 00:22:05,50 	with a resolute nod she strides up to someone's desk and raps on it.
MORNING_GLORY.srt 	MORNING_GLORY_DVS116 	00:26:30,00 --> 00:26:35,50 	she strides across long grass.
MORNING_GLORY.srt 	MORNING_GLORY_DVS281 	01:01:42,00 --> 01:01:50,50 	it's dark with the first wisps of pink morning light as someone strides over a bridge.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS119 	00:26:27,00 --> 00:26:35,50 	as she strides out of the room, mr. edelweiss obeys.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS157 	00:35:36,00 --> 00:35:54,50 	he eyes someone suspiciously as she cooks, then strides to a seat at the head of the table.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS338 	01:14:13,00 --> 01:14:26,50 	with a tender look, lord someone strides down the narrow red carpet, his eyes on his son.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS389 	01:22:16,00 --> 01:22:21,50 	someone strides over to her.
PROMETHEUS.srt 	PROMETHEUS_DVS467 	00:49:23,00 --> 00:49:28,50 	now, as he strides down a corridor,
PROMETHEUS.srt 	PROMETHEUS_DVS742 	01:20:21,00 --> 01:20:27,50 	someone snatches the jar with her necklace and strides out.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS124 	00:23:00,00 --> 00:23:23,50 	he strides resolutely through the crowd and halts just behind her, and leans onto her chair.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS169 	00:31:33,00 --> 00:31:41,50 	nighttime, someone strides past a bright city park.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS300 	00:56:13,00 --> 00:56:19,50 	she strides out to the crowd.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS336 	01:04:18,00 --> 01:04:41,50 	he strides to the ford v8.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS548 	01:42:49,00 --> 01:42:57,50 	several armed agents remain behind who strides around a parked car.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS206 	00:49:54,00 --> 00:50:09,50 	straightening, someone glances at him, then strides off.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS259 	01:00:07,00 --> 01:00:11,50 	brushing past him, she strides
