30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS38 	00:07:51,00 --> 00:08:03,50 	someone spots a truck emblazoned with a bald eagle surrounded by stars and stripes.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS129 	00:12:27,00 --> 00:12:33,50 	elsewhere, police vehicles surround a parked prisoner transport truck.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS103 	00:11:14,00 --> 00:11:20,50 	water drips into various pots surrounding the bed.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS373 	00:52:47,00 --> 00:52:58,50 	now, spanish moss hangs low from the branches of surrounding trees as someone and someone ride a modest horse drawn carriage up a narrow path.
BURLESQUE.srt 	BURLESQUE_DVS137 	00:18:50,00 --> 00:19:02,50 	standing on a fringed pedestal surrounded by dancers, she coils the strand around her wrist.
BURLESQUE.srt 	BURLESQUE_DVS747 	01:53:13,00 --> 01:53:18,50 	they surround someone and grind their hips.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS148 	00:26:25,00 --> 00:26:30,50 	surrounded by flames, someone's face distorts as he screams.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS438 	01:19:21,00 --> 01:19:26,50 	later, wearing a new captain america uniform and mask, someone picks up the round shield painted with a white star inside a blue circle surrounded by red and white bands.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS524 	01:33:37,00 --> 01:33:48,50 	as the flames die, dozens of hydra soldiers surround someone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS505 	00:49:04,00 --> 00:49:11,50 	white surf sweeps along the coast and surrounds a small peninsula.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS598 	00:57:46,00 --> 00:57:53,50 	someone allows the white water to surround him, then crouches low and glides out of it.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS813 	01:20:19,00 --> 01:20:25,50 	the surrounding current shows no sign of his grieving mentor.
CHRONICLE.srt 	CHRONICLE_DVS73 	00:08:55,00 --> 00:09:11,50 	later, surrounded by partygoers, an attractive, young woman dances on a table.
CHRONICLE.srt 	CHRONICLE_DVS513 	01:13:18,00 --> 01:13:25,50 	both lie face down on the stone tiles as several police cars surround the area.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS461 	01:47:58,00 --> 01:48:13,50 	our view lifts over the rim of the stadium to the rows of sparsely filled seats surrounding the brightly lit boxing ring.
COLOMBIANA.srt 	COLOMBIANA_DVS182 	00:15:54,00 --> 00:16:05,50 	the gunmen leap from building to building, searching the surrounding area.
COLOMBIANA.srt 	COLOMBIANA_DVS201 	00:17:21,00 --> 00:17:28,50 	later, she reaches a building surrounded by a tall wrought iron fence.
DISTRICT_9.srt 	DISTRICT_9_DVS327 	00:35:47,00 --> 00:36:00,50 	pale and sickly, he briefly turns away from the surrounding guests, wipes his mouth then grabs a knife.
DISTRICT_9.srt 	DISTRICT_9_DVS790 	01:33:29,00 --> 01:33:41,50 	gunfire blast the dirt surrounding him.
