21_JUMP_STREET.srt 	21_JUMP_STREET_DVS29 	00:03:22,00 --> 00:03:31,50 	the nerd enters the metropolitan city police academy wearing a blue uniform and takes his place in a registration line.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS172 	00:29:40,00 --> 00:29:48,50 	he sways nervously and takes a deep breath as a keyboardist struggles to cue him in.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS177 	00:30:24,00 --> 00:30:30,50 	taking the quiz someone reads a question.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS189 	00:32:53,00 --> 00:32:58,50 	they each take a wafer sealed in a baggie.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS197 	00:34:24,00 --> 00:34:28,50 	he takes someone's.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS237 	00:38:59,00 --> 00:39:08,50 	the coach tries to take it away but he keeps his hips
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS294 	00:51:01,00 --> 00:51:05,50 	he takes off his shirt.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS307 	00:52:16,00 --> 00:52:23,50 	someone beckons them over, takes the pilfered phone and slips it back in someone's pocket.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS316 	00:53:31,00 --> 00:53:41,50 	another teen passes someone a joint and he takes a hit.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS340 	00:56:31,00 --> 00:56:41,50 	someone takes the cash to someone.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS433 	01:12:12,00 --> 01:12:27,50 	a biker pulls out a handgun and takes aim.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS456 	01:14:49,00 --> 01:14:56,50 	the gang leader takes aim.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS465 	01:16:17,00 --> 01:16:24,50 	he takes flying harness ropes off french and hooks them to his own costume.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS511 	01:21:10,00 --> 01:21:14,50 	the partners take aim.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS522 	01:22:07,00 --> 01:22:14,50 	outside, someone takes out the trash while someone mows the front lawn.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS575 	01:29:57,00 --> 01:30:00,50 	he takes off his sunglasses.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS580 	01:31:05,00 --> 01:31:14,50 	as the bikers and dea agents launch into a gunfight, someone takes more bullets.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS594 	01:32:30,00 --> 01:32:36,50 	someone urges someone to scram and takes someone with them.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS607 	01:33:31,00 --> 01:33:36,50 	as he takes aim at someone, someone rises from the floor.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS641 	01:36:27,00 --> 01:36:33,50 	someone wrenches the wheel, taking the limo back to the main road.
