21_JUMP_STREET.srt 	21_JUMP_STREET_DVS445 	01:13:44,00 --> 01:13:51,50 	someone tosses out a sunshade which wraps around the biker's face.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS493 	01:18:47,00 --> 01:18:52,50 	someone tosses her cell on a dresser ignoring the call.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS501 	01:19:10,00 --> 01:19:17,50 	he tosses in a final bag as he ex-partner meets him by the car.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS542 	01:23:47,00 --> 01:23:55,50 	as the teen strides past two valets, someone tosses the box in the air.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS147 	00:38:45,00 --> 00:38:49,50 	he tosses someone a ski mask.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS329 	01:14:23,00 --> 01:14:28,50 	he tosses the bag over.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS97 	00:51:05,00 --> 00:51:15,50 	someone tosses his drink over his shoulder and hurls away a cigarette.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS125 	01:05:46,00 --> 01:05:50,50 	he tosses the broken condom.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS188 	00:32:19,00 --> 00:32:24,50 	he tosses his bag to a woman and starts to dance.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS191 	00:16:56,00 --> 00:17:02,50 	a masked man tosses a duffel bag to his dark-haired boss.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS221 	00:18:42,00 --> 00:18:46,50 	he tosses someone a jacket.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS694 	01:11:18,00 --> 01:11:25,50 	someone steps forward and casually tosses the pistol on to the body.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS800 	01:20:19,00 --> 01:20:27,50 	emptying his clip, someone tosses his rifle aside.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS808 	01:20:44,00 --> 01:20:50,50 	as the bald thug fires, someone tosses a grenade to his dad.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS198 	00:27:02,00 --> 00:27:06,50 	he tosses someone a parcel.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS608 	01:24:36,00 --> 01:25:32,50 	he tosses the ax back to someone who chops into another.
BAD_TEACHER.srt 	BAD_TEACHER_DVS247 	01:07:32,00 --> 01:07:47,50 	in the hotel someone tosses someone's cell down.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS103 	00:14:57,00 --> 00:15:01,50 	someone tosses his gun.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS140 	00:21:16,00 --> 00:21:21,50 	someone tosses someone his duffel bag.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS632 	01:37:36,00 --> 01:37:42,50 	someone tosses him the drive.
BLINDDATING.srt 	BLINDDATING_DVS29 	00:08:28,00 --> 00:08:32,50 	one of the guys tosses it over.
BRUNO.srt 	BRUNO_DVS110 	00:24:01,00 --> 00:24:05,50 	ron someone tosses a nespaper.
BURLESQUE.srt 	BURLESQUE_DVS318 	00:43:57,00 --> 00:44:02,50 	someone tosses her paper plane at him.
BURLESQUE.srt 	BURLESQUE_DVS335 	00:45:54,00 --> 00:46:01,50 	someone tosses someone a costume.
BURLESQUE.srt 	BURLESQUE_DVS390 	00:54:10,00 --> 00:54:20,50 	she tosses her head and shoulders back with each beat, then wiggles her hips at the crowd.
BURLESQUE.srt 	BURLESQUE_DVS549 	01:19:34,00 --> 01:19:43,50 	as someone backs out of her spot, her old mentor tosses her keys down onto her car's trunk.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS239 	00:41:34,00 --> 00:41:41,50 	someone tosses the boy into the river and flees.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS243 	00:42:18,00 --> 00:42:26,50 	as water rushes in, someone rips off the canopy, yanks out someone, and tosses him onto the shore.
