21_JUMP_STREET.srt 	21_JUMP_STREET_DVS90 	00:11:53,00 --> 00:12:00,50 	a woman with long blonde hair turns.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS179 	00:30:34,00 --> 00:30:42,50 	he circles the remaining answers at random then steps up behind the teacher to turn in his quiz.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS195 	00:33:57,00 --> 00:34:05,50 	as the undercover cops gag each other again, the janitor turns and wearily shuffles away.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS308 	00:52:23,00 --> 00:52:31,50 	someone turns, revealing an ornate south-western knife handle sticking out of his back.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS335 	00:56:16,00 --> 00:56:20,50 	someone cocks his head, then turns away.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS380 	01:04:38,00 --> 01:04:42,50 	someone turns it off.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS402 	01:08:20,00 --> 01:08:24,50 	someone turns.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS431 	01:11:57,00 --> 01:12:05,50 	a light turns green and he speeds on to the freeway.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS504 	01:19:22,00 --> 01:19:27,50 	someone starts to go but turns back.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS505 	01:19:33,00 --> 01:19:43,50 	as someone turns to leave, someone arrives in his maroon sedan accompanied by his dark haired friend.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS562 	01:26:57,00 --> 01:27:02,50 	the cops reluctantly turn.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS575 	01:29:57,00 --> 01:30:00,50 	he turns and aims his gun.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS605 	01:33:26,00 --> 01:33:32,50 	it hits the base of the biker's neck and he turns.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS16 	00:03:28,00 --> 00:03:33,50 	he starts for his car, then turns back.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS59 	00:13:11,00 --> 00:13:16,50 	someone turns off the tv again.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS153 	00:40:06,00 --> 00:40:13,50 	the datsun speeds across the driveway and bottoms out as it turns onto the street.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS165 	00:43:47,00 --> 00:43:51,50 	as someone enters someone casually turns away.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS195 	00:50:10,00 --> 00:50:18,50 	he turns onto another street with the police cars hot on his tail.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS37 	00:18:51,00 --> 00:19:02,50 	inside, someone turns off his bedside light and curls up under his black and white comforter set.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS102 	00:53:48,00 --> 00:53:54,50 	someone turns to an old man.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS100 	00:16:18,00 --> 00:16:25,50 	someone turns the music up as someone walks across the office to leave work, her handbag over her shoulder.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS118 	00:24:26,00 --> 00:24:31,50 	someone turns slowly and walks away.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS123 	00:24:49,00 --> 00:24:55,50 	unsure what to say, someone half turns toward someone
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS130 	00:25:31,00 --> 00:25:36,50 	someone turns and walks back to her copying.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS138 	00:26:41,00 --> 00:26:47,50 	someone dismisses him with a salute, then turns to someone.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS189 	00:32:21,00 --> 00:32:27,50 	everyone on the path dances with him and it turns into a routine.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS247 	00:46:19,00 --> 00:46:23,50 	he turns away from her and heads for the front door.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS290 	00:53:34,00 --> 00:53:39,50 	he turns around to face a mime in a top hat
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS169 	00:15:22,00 --> 00:15:27,50 	slowly turning, someone connects with his glaring eyes.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS272 	00:23:29,00 --> 00:23:35,50 	with the armored truck close behind, someone turns off the street.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS298 	00:26:02,00 --> 00:26:08,50 	quickly reversing, he turns the front end toward someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS320 	00:28:26,00 --> 00:28:33,50 	gaining control, someone turns the van with traffic and rejoins the chase.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS411 	00:39:16,00 --> 00:39:22,50 	someone turns his head away, his gaze solemn and distant.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS449 	00:43:22,00 --> 00:43:26,50 	his eyes wide, someone turns his head to face his father.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS508 	00:49:40,00 --> 00:49:47,50 	as someone turns to his thugs with a grin, someone continues sawing at his bond.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS572 	00:55:58,00 --> 00:56:03,50 	he slowly tilts his head back, and his father turns to him.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS591 	01:01:17,00 --> 01:01:22,50 	he turns to the passenger window.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS619 	01:03:47,00 --> 01:03:53,50 	he lightly raps on it then turns to his kidnappers.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS628 	01:04:55,00 --> 01:05:02,50 	he pauses and watches the young man, who turns around and stares at his father.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS644 	01:06:36,00 --> 01:06:40,50 	he turns around.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS649 	01:06:49,00 --> 01:06:55,50 	he slowly turns the base.
