21_JUMP_STREET.srt 	21_JUMP_STREET_DVS186 	00:31:29,00 --> 00:31:33,50 	working alone at a computer.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS472 	01:17:15,00 --> 01:17:26,50 	as someone charges, someone leaps over him with the aid of the stagehands working the lines.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS668 	01:40:39,00 --> 01:40:47,50 	later, as emergency crews work the scene, a cop takes someone away.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS73 	00:40:14,00 --> 00:40:21,50 	they see the hot salesgirl working nearby.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS122 	00:24:41,00 --> 00:24:45,50 	they work side by side.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS140 	00:27:00,00 --> 00:27:05,50 	day 282 and a tap isn't working.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS185 	00:32:12,00 --> 00:32:19,50 	he daps and slaps with a couple of guys he meets on his sunny walk to work, shakes a lot of hands, and is wreathed in smiles.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS199 	00:33:10,00 --> 00:33:14,50 	he dashes off to work.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS506 	00:49:10,00 --> 00:49:16,50 	someone works to cut his bonds.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS613 	01:03:26,00 --> 01:03:33,50 	he returns his gaze to the power plant, where men work frantically and dart about the facility.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS923 	01:29:06,00 --> 01:29:11,50 	the two men work their way to their feet.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS390 	00:54:38,00 --> 00:55:09,50 	looking on, someone discreetly works through ropes binding his wrists.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS427 	01:00:35,00 --> 01:00:46,50 	someone works his way through the crowd.
BAD_TEACHER.srt 	BAD_TEACHER_DVS273 	01:14:04,00 --> 01:14:14,50 	someone works her jaw.
BLINDDATING.srt 	BLINDDATING_DVS286 	01:11:33,00 --> 01:11:41,50 	the surgical team works diligently.
BURLESQUE.srt 	BURLESQUE_DVS404 	00:55:57,00 --> 00:56:06,50 	later as someone works behind the bar, someone appears, still in her short sequined dress and platinum blonde wig.
BURLESQUE.srt 	BURLESQUE_DVS488 	01:07:55,00 --> 01:08:09,50 	someone works her hands up her body to her hair.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS56 	00:08:01,00 --> 00:08:09,50 	the nazi officer shoots the bearded man, then touches the side of his own face as he works his jaw.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS358 	00:33:39,00 --> 00:33:46,50 	working on the roof, someone climbs down a ladder and carries his tools over.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS777 	01:17:07,00 --> 01:17:11,50 	someone works his mouth.
CHRONICLE.srt 	CHRONICLE_DVS66 	00:07:44,00 --> 00:08:01,50 	a dj works a set of digital turntables.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS109 	00:25:15,00 --> 00:25:32,50 	shifting on his feet, he works his jaw then swaggers past someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS458 	01:47:39,00 --> 01:47:45,50 	our view follows to the many pews filled with working class families.
COLOMBIANA.srt 	COLOMBIANA_DVS402 	00:35:51,00 --> 00:35:57,50 	doyle opens the cabinet as she works her shoulders through the fan.
COLOMBIANA.srt 	COLOMBIANA_DVS602 	00:56:50,00 --> 00:56:59,50 	nearby, a long haired mechanic works on a car.
COLOMBIANA.srt 	COLOMBIANA_DVS790 	01:16:17,00 --> 01:16:25,50 	at the third precinct, shari approaches her desk and finds a female fbi agent working at her computer.
DEAR_JOHN.srt 	DEAR_JOHN_DVS131 	00:20:57,00 --> 00:21:02,50 	looking away, someone works his mouth.
DEAR_JOHN.srt 	DEAR_JOHN_DVS138 	00:22:28,00 --> 00:22:41,50 	at the sun dappled construction site, someone arrives to find him working at the top of a ladder.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS327 	01:18:50,00 --> 01:18:57,50 	he puts on a magnifying glass headband with small working lights
DISTRICT_9.srt 	DISTRICT_9_DVS346 	00:38:09,00 --> 00:38:20,50 	later, doctors work on the ragged bleeding flesh of his mutating arm.
DISTRICT_9.srt 	DISTRICT_9_DVS350 	00:38:42,00 --> 00:38:56,50 	four security cameras show fast-motion footage of someone getting worked on.
EASY_A.srt 	EASY_A_DVS116 	00:38:25,00 --> 00:38:32,50 	pulling bustiers from the shopping bags, she sits to work with a needle and thread.
EASY_A.srt 	EASY_A_DVS118 	00:38:32,00 --> 00:38:38,50 	she sucks her thumb, but keeps working, cutting the thread with her teeth.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS78 	00:19:55,00 --> 00:20:02,50 	later, as he works, someone enters his office.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS308 	01:21:13,00 --> 01:21:28,50 	now at gq someone works at his desk.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS318 	00:48:08,00 --> 00:48:15,50 	later, someone works on his bike as he and someone ride on the truck's flatbad.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS594 	01:25:29,00 --> 01:25:47,50 	he sways side to side, his fleshless mouth working in a growing roar.
GREEN_ZONE.srt 	GREEN_ZONE_DVS265 	01:02:15,00 --> 01:02:31,50 	peeking inside, he finds a group of journalists working at computers.
GREEN_ZONE.srt 	GREEN_ZONE_DVS289 	01:06:34,00 --> 01:06:41,50 	another tech works at a computer.
GREEN_ZONE.srt 	GREEN_ZONE_DVS452 	01:39:15,00 --> 01:39:45,50 	gilded bed in his neglected room, someone works at a laptop.
GREEN_ZONE.srt 	GREEN_ZONE_DVS473 	01:43:47,00 --> 01:44:30,50 	someone glances down, working her laptop touchpad and leans toward her screen.
IN_TIME.srt 	IN_TIME_DVS93 	00:10:19,00 --> 00:10:28,50 	as he tugs at it, the working man on the other side holds the chain tightly.
IN_TIME.srt 	IN_TIME_DVS131 	00:15:16,00 --> 00:15:22,50 	we drift closer to the working class man as he slumbers peacefully,
IN_TIME.srt 	IN_TIME_DVS144 	00:15:54,00 --> 00:16:01,50 	the working class man looks around, finds himself alone, and sits up.
IRON_MAN_2.srt 	IRON_MAN_2_DVS336 	01:00:15,00 --> 01:00:24,50 	men in camouflage fatigues work in an air traffic control tower.
IRON_MAN_2.srt 	IRON_MAN_2_DVS352 	01:03:58,00 --> 01:04:06,50 	at hammer industries, someone and someone approach someone, who works atop a small scaffold.
IRON_MAN_2.srt 	IRON_MAN_2_DVS487 	01:27:25,00 --> 01:27:30,50 	at hammer industries, someone works on an arc reactor.
IRON_MAN_2.srt 	IRON_MAN_2_DVS546 	01:37:24,00 --> 01:37:32,50 	a bespectacled it man works at a computer.
IRON_MAN_2.srt 	IRON_MAN_2_DVS608 	01:44:39,00 --> 01:44:48,50 	someone works at the computer.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS147 	00:29:49,00 --> 00:29:55,50 	later, someone works at his sony vaio computer.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS379 	01:10:48,00 --> 01:10:53,50 	she works the heavier weight even faster.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS456 	01:29:03,00 --> 01:29:11,50 	now, as someone carries a paper bag to work, the bottom breaks, and the dessert crashes to the ground.
KARATE_KID.srt 	KARATE_KID_DVS59 	00:04:57,00 --> 00:05:05,50 	on-board, passengers sip tea and uniformed flight attendants work the aisles.
KARATE_KID.srt 	KARATE_KID_DVS680 	00:58:14,00 --> 00:58:21,50 	the irritated boy swings the jacket behind his back and works his arms into the sleeves.
KARATE_KID.srt 	KARATE_KID_DVS720 	01:00:22,00 --> 01:00:28,50 	someone works his way up beside someone and adjusts his red kerchief.
KARATE_KID.srt 	KARATE_KID_DVS742 	01:02:43,00 --> 01:02:54,50 	in his brightly lit living room, someone works on his car.
KARATE_KID.srt 	KARATE_KID_DVS843 	01:09:45,00 --> 01:09:51,50 	as he works on the car in his living room, someone strides in.
KARATE_KID.srt 	KARATE_KID_DVS1047 	01:24:57,00 --> 01:25:21,50 	next, someone works the water pump with precise arm movements.
KARATE_KID.srt 	KARATE_KID_DVS1247 	01:41:44,00 --> 01:41:49,50 	the car's single working headlight flares brightly into the courtyard,
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS195 	00:51:54,00 --> 00:52:01,50 	wearing a ball cap, someone works out on an elliptical trainer.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS276 	01:04:07,00 --> 01:04:13,50 	as the stylist works, someone gazes into a mirror.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS213 	01:16:20,00 --> 01:16:28,50 	it works its way up to his forehead.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS328 	01:16:03,00 --> 01:16:08,50 	someone works on a car.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS356 	01:25:27,00 --> 01:25:48,50 	sitting at the long tables, the econ students diligently work on their exams.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS412 	00:48:05,00 --> 00:48:12,50 	facing someone, she grimly works her lips and folds her long arms.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS482 	00:54:04,00 --> 00:54:09,50 	a shark swims passed as he works, spotting it.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS665 	01:10:45,00 --> 01:10:52,50 	the stunned fish feebly works its sharp-toothed jaws, blood seeps out beneath its gill.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS408 	01:25:25,00 --> 01:25:38,50 	peering into the vent, she tries to work the scissor blades past the protective metal spiral coiled around the wire.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS412 	01:26:05,00 --> 01:26:15,50 	someone reaches through the bomb's vent and works the scissors between two of the coils.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS23 	00:04:56,00 --> 00:05:03,50 	inside the house, a short blonde in her 60s exhaustively works out on a stripper pole.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS201 	00:50:35,00 --> 00:50:47,50 	in an upscale suite, our life pamphlets lie near a desk where someone works.
PROMETHEUS.srt 	PROMETHEUS_DVS89 	00:05:15,00 --> 00:05:24,50 	in the darkness, light streams in as a hand works bits of rock free from the other side of a wall.
PROMETHEUS.srt 	PROMETHEUS_DVS672 	01:12:35,00 --> 01:12:41,50 	as the pilot works the controls, more emerald hued fields of energy appear above them.
PROMETHEUS.srt 	PROMETHEUS_DVS847 	01:32:41,00 --> 01:32:49,50 	now in someone's bedchamber, someone stands by as someone works on the back of the old man's space suit.
PROMETHEUS.srt 	PROMETHEUS_DVS883 	01:37:50,00 --> 01:37:54,50 	he leads them to the working pod.
PROMETHEUS.srt 	PROMETHEUS_DVS924 	01:41:38,00 --> 01:41:47,50 	as the engineer works the controls, a brief flash illuminates his crescent shaped ship.
PROMETHEUS.srt 	PROMETHEUS_DVS991 	01:48:55,00 --> 01:49:02,50 	someone stumbles to a touchscreen control panel and works it with shaking hands.
PROMETHEUS.srt 	PROMETHEUS_DVS1079 	01:57:52,00 --> 01:57:57,50 	it works its slavering jaws.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS236 	00:43:47,00 --> 00:43:53,50 	hoover shifts his resentful gaze and works his jaw.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS317 	01:00:51,00 --> 01:01:18,50 	as a few deputies and guards work in a front office, a janitor enters.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS520 	01:38:11,00 --> 01:38:22,50 	as someone gazes at them, his eyes water and he works his lips.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS528 	01:39:02,00 --> 01:39:16,50 	as an agent stands by, two female operators work an adjacent switchboard.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS151 	00:38:05,00 --> 00:38:12,50 	someone works his jaw.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS257 	00:59:29,00 --> 00:59:53,50 	she works on his chain mail sleeve.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS258 	00:59:51,00 --> 01:00:06,50 	now, she works it off of him as he bends over.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS316 	01:16:24,00 --> 01:16:34,50 	little someone works beside someone who wears a joyful grin.
SALT.srt 	SALT_DVS346 	01:01:46,00 --> 01:01:57,50 	she surveys some men working at a table beneath them.
SANCTUM.srt 	SANCTUM_DVS118 	00:24:17,00 --> 00:24:20,50 	he works a joystick.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS46 	00:03:31,00 --> 00:03:36,50 	her feet work the pedals in a steady rhythm,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS762 	00:50:55,00 --> 00:51:03,50 	now, our view rises from a customer's menu to find someone working as a waitress in a pink uniform.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS817 	00:54:22,00 --> 00:54:28,50 	the two friends sit at a table working with vegetables.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1040 	01:07:41,00 --> 01:07:49,50 	now in business attire, someone works at a desktop computer.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1112 	01:15:58,00 --> 01:16:04,50 	someone stares at her, then timidly works her full lips.
