21_JUMP_STREET.srt 	21_JUMP_STREET_DVS128 	00:21:02,00 --> 00:21:08,50 	now the pickup bagged lunches with the names someone and doug written in quotes.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS215 	00:36:36,00 --> 00:36:39,50 	he writes and writes on the board.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS215 	00:36:36,00 --> 00:36:39,50 	he writes and writes on the board.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS56 	00:30:03,00 --> 00:30:08,50 	she writes on a business card.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS96 	00:08:20,00 --> 00:08:24,50 	by the dim light above his seat, he peruses the documents written in russian.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS115 	00:27:39,00 --> 00:27:45,50 	he stops writing and looks outside at the tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS118 	00:27:48,00 --> 00:27:55,50 	someone stops writing and gazes at the tree, then writes bye.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS118 	00:27:48,00 --> 00:27:55,50 	someone stops writing and gazes at the tree, then writes bye.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS120 	00:27:55,00 --> 00:28:00,50 	someone glares at the tree, then writes, "die tree".
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS35 	00:03:54,00 --> 00:03:59,50 	inside, writing in his journal.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS63 	00:06:48,00 --> 00:06:56,50 	now, in a tavern, a tall young man writes in his journal.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS146 	00:17:58,00 --> 00:18:12,50 	someone writes in his journal.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS163 	00:21:51,00 --> 00:21:56,50 	at night, someone writes at a desk.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS166 	00:22:18,00 --> 00:22:23,50 	she shows a list written on a card.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS565 	01:18:59,00 --> 01:19:06,50 	he climbs back into the engine car where someone writes in his journal.
BAD_TEACHER.srt 	BAD_TEACHER_DVS103 	00:28:28,00 --> 00:28:33,50 	she opens her wallet and writes out a check.
