0005_Chinatown_00.08.09.089-00.08.09.489 	Sun blazes off it's ugly concrete banks.
0031_The_Lost_Weekend_01.10.07.969-01.10.12.049 	Her hair is the ruined elaborate hairdress of yesterday, and her eyes are blazing with anger.
0038_Psycho_00.25.23.815-00.25.25.804 	In the dim twilight we see the neon sign of roadside restaurants and gas stations beginning to blaze on.
1053_Harry_Potter_and_the_philosophers_stone_00.49.23.642-00.49.35.686 	a cozy sitting room with a blazing fire.
1053_Harry_Potter_and_the_philosophers_stone_01.27.03.368-01.27.05.851 	down in the gryffindor common room, ron is standing in front of a blazing fire.
1055_Marley_and_me_00.02.55.887-00.02.56.821 	sun blazes down on a motor cruiser riding on the glassy calm waters of a quiet bay.
1062_Day_the_Earth_stood_still_00.21.18.283-00.21.33.247 	the apache circles the sphere as lights blaze out from the interior then concentrate at the base of the towering object.
1062_Day_the_Earth_stood_still_00.22.53.000-00.23.00.142 	more lights blaze within the sphere, and everybody looks up, staring.
1062_Day_the_Earth_stood_still_01.00.16.925-01.00.26.387 	both stare in amazement as the sphere from the pool, blazing with white light, rises slowly into the air.
2026_Legion_00.11.59.210-00.12.09.904 	a black cadillac escalade blazes a path.
2054_Harry_Potter_and_the_prisoner_of_azkaban_01.44.37.570-01.44.38.408 	the forest blazing with it.
