0009_Forrest_Gump_00.07.02.321-00.07.16.856 	mrs. gump and forrest walk along the gump boarding house driveway.
0050_Indiana_Jones_and_the_last_crusade_01.31.44.543-01.31.48.033 	one of the two troop carriers is paralleling the tank and like pirates boarding a galleon, nazi soldiers leap over the treads and are swarming all over indy.
1005_Signs_01.09.07.505-01.09.15.444 	he moves to a window, which is being partially boarded up on the inside and peers out.
1005_Signs_01.15.57.166-01.16.20.252 	they looked towards a boarded up window to the right of the mantle piece, their gaze passes across the fireplace as they turned to follow the noises.
1014_2012_01.49.10.136-01.49.12.936 	yuri is at the r3 boarding gate
1014_2012_01.59.08.017-01.59.11.690 	the crowd on the boarding platform reach a deep pit around the ark.
1014_2012_02.01.05.003-02.01.12.270 	on the control bridge, adriane and laura watch horrified as members of the crowd outside plunge off the boarding platform into the pit.
1014_2012_02.07.28.383-02.07.33.602 	a boarding officer spots uri struggling.
1018_Body_Of_Lies_00.01.46.000-00.01.48.666 	officers make their way upstairs at the back of a boarded up house.
1042_Up_In_The_Air_00.06.22.661-00.06.28.505 	ryan grabs his boarding pass and walks up to the security desk, where he shows the pass to a security guard.
1042_Up_In_The_Air_00.06.43.916-00.06.49.661 	he steps up to the walk-through metal detector, holds up his boarding pass and walks through.
2005_Signs_01.10.41.102-01.10.42.322 	one side of the dinning room is lined with windows that have been boarded up.
2005_Signs_01.15.03.836-01.15.05.948 	all four turn and look at the three boarded up bedroom doors.
