0001_American_Beauty_00.03.48.439-00.03.50.495 	Lester hurries out the front door, carrying a BRIEFCASE.
0001_American_Beauty_00.06.32.358-00.06.33.947 	Movers carry furniture toward the house.
0001_American_Beauty_00.15.28.609-00.15.29.176 	They're well-rehearsed, but too young to carry off the ambitious Vegas routine they're attempting.
0001_American_Beauty_00.03.48.439-00.03.50.495 	Lester hurries out the front door, carrying a BRIEFCASE.
0001_American_Beauty_00.06.32.358-00.06.33.947 	Movers carry furniture toward the house.
0001_American_Beauty_00.15.28.609-00.15.29.176 	They're well-rehearsed, but too young to carry off the ambitious Vegas routine they're attempting.
0001_American_Beauty_00.32.05.260-00.32.06.732 	Ricky approaches him, wearing a waiter's uniform, carrying a tray of empty glasses.
0001_American_Beauty_00.50.06.280-00.50.12.359 	Carolyn, carrying a basket of fresh cut ROSES, passes by the GARAGE WINDOW.
0001_American_Beauty_01.02.02.609-01.02.04.920 	We follow it as the wind carries it in a circle around us, sometimes whipping it about violently, or, without warning, sending it soaring skyward, then letting it float gracefully down to the ground.
0001_American_Beauty_01.55.21.331-01.55.26.316 	The wind carries it in a circle around us, sometimes whipping it about violently, or, without warning, sending it soaring skyward, then letting it float gracefully down to the ground.
0002_As_Good_As_It_Gets_02.01.50.169-02.01.55.135 	We enters the room carrying Verdell who strains to be allowed closer to Melvin.
0004_Charade_00.08.06.506-00.08.07.216 	REGGIE walks toward the house with the driver, who carries her cases.
0004_Charade_00.11.51.934-00.11.57.302 	The door opens and the POLICEMAN enters again, this time carrying a wicker basket which he deposits on GRANDPIERRE's desk, and leaves.
0004_Charade_00.55.35.163-00.55.35.767 	Then, to his amazement, DYLE is lifted into the air and, unable to break the bear-hold, carried toward the edge of the roof.
0004_Charade_00.56.01.051-00.56.02.728 	With nothing restraining him, SCOBIE lurches forward, tumbling past the gun, his momentum carrying him onto the sloping part of the roof, where he begins sliding down.
0005_Chinatown_00.41.25.007-00.41.28.081 	Then he's inundated with a rush of water which pours over him, knocks off his hat, carries him down the channel, banging into its banks, as he desperately tries to grab some of the overgrowth to hang on and pull himself out.
0005_Chinatown_00.41.28.681-00.41.32.111 	But the force of the stream batters him and carries him with it until he's brought rudely to the chainlink fence.
0005_Chinatown_01.20.29.163-01.20.31.259 	Evelyn comes out to the veranda, carrying a tray with whiskey and an ice bucket on it.
0005_Chinatown_01.31.39.265-01.31.42.423 	In a moment he re-emerges back through the living room carrying a tray with a glass and pitcher on it.
0006_Clerks_00.10.09.708-00.10.11.273 	The ACTIVIST carries his briefcase surreptitiously toward the door.
0006_Clerks_00.39.04.275-00.39.04.677 	VERONICA enters the store, carrying books and something covered with aluminum foil.
0006_Clerks_00.58.26.393-00.58.29.671 	A SUITED MAN carrying a notebook comes to the counter.
0006_Clerks_01.08.34.068-01.08.35.464 	RANDAL enters carrying videos.
0007_DIE_NACHT_DES_JAEGERS_00.46.20.196-00.46.31.978 	The door opens; PREACHER'S head, carrying a candle in holder; a white-washed wall and stairs are lighted.
