0016_O_Brother_Where_Art_Thou_00.06.42.325-00.06.47.504 	the three men clamber aboard and the old man resumes pumping.
0017_Pianist_00.50.21.709-00.50.23.316 	he stands, runs at the cordon, seeing between their heads, shoulders, mother, regina, henryk and halina clambering into the trucks.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.01.23.523-01.01.25.745 	frodo, sam, merry and pippin clamber desperately towards the summit, clutching their swords.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_02.28.45.046-02.28.54.858 	as they leap out of the boats and clamber onto the wooded shore.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_02.33.05.600-02.33.06.932 	frodo suddenly finds himself on the stone steps.he clambers up the stairs, onto a high seat, perched on four stone pillars.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.08.46.209-00.09.01.358 	clambering through bracken and over jagged rocks.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.15.31.250-00.15.32.236 	smeagol casts a quick glance over his shoulder to the sleeping figures of frodo and sam as he clambers off his rock.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.56.53.502-00.56.55.478 	frodo tries to clamber up onto the ledge.
1002_Harry_Potter_and_the_Half-Blood_Prince_02.07.04.270-02.07.16.543 	the light brightens and harry sees naked emaciated corpses clambering out of the water towards him.
1006_Slumdog_Millionaire_00.06.56.517-00.07.04.893 	the boys clamber across a rubbish tip, up over corrugated rooftops and down into the narrow alleyways of their slum.
1007_Spider-Man1_00.44.53.087-00.45.00.699 	he clambers, climbs, and leaps up the side of a building, almost scurrying along with great speed.
1008_Spider-Man2_02.03.08.497-02.03.12.245 	john leaps from the pier onto the boat, then clambers upstairs as mj descends towards him.
1026_Legion_00.35.38.789-00.35.48.700 	he clambers up the roof to a metal ladder and steps onto a metal walkway in front of the diner's unlit neon sign.
1031_Quantum_of_Solace_01.34.49.051-01.34.57.419 	bond watches him go as he and camille clamber down the rubble.
1042_Up_In_The_Air_01.18.22.491-01.18.28.286 	they both clamber into a classroom.
1046_Australia_02.23.35.620-02.23.40.152 	men clamber into trucks, ready to evacuate south.
1047_Defiance_01.57.41.035-01.57.55.474 	people clamber out of the water onto a grassy bank, sinking down to rest their weary legs, smiling and laughing with relief.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.23.37.909-00.23.41.619 	all three clamber out of the water onto a rocky outcrop.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.00.30.373-01.00.31.943 	they clamber back down to the floor.
2027_Les_Miserables_02.02.25.079-02.02.31.759 	the students' ammunition has run out, they're hurling sticks and bottles - but the soldiers have found a way to clamber up, shooting as they come, and one by one the students are falling.
2051_Harry_Potter_and_the_goblet_of_fire_01.00.44.034-01.00.59.656 	the dragon is clambering across the roof, strewing tiles as it goes.
