0002_As_Good_As_It_Gets_00.25.59.405-00.26.00.443 	a mass of official people clutter the hall as a gurney is whisked down to the elevator.
0008_Fargo_00.58.34.299-00.58.36.819 	marge and shep face each other at the other end of the floor in a grimy and cluttered glassed-in cubicle.
0011_Gandhi_00.21.37.697-00.21.39.642 	this last remark has been directed toward charlie andrews, who sits near them at a cluttered table, typing on an old typewriter.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.12.12.538-00.12.15.501 	bilbo leads gandalf into bag end.cozy and cluttered with souvenirs of bilbo's travels.
0049_Hannah_and_her_sisters_00.18.52.237-00.18.55.469 	holly finally makes her way into the cluttered loft kitchen.
0049_Hannah_and_her_sisters_00.33.04.175-00.33.07.333 	the room is brightly lit; it's cluttered with pillows and plants.
0050_Indiana_Jones_and_the_last_crusade_00.10.13.046-00.10.13.958 	the study is cluttered with books.
1018_Body_Of_Lies_01.08.09.033-01.08.22.014 	munching a strawberry, he leads ferris through the large, cluttered living room.
1024_Identity_Thief_00.01.24.324-00.01.33.402 	now, in a cluttered house, she wipes her hair dry and punches numbers into a keypad.
1049_Harry_Potter_and_the_chamber_of_secrets_01.13.55.971-01.13.58.971 	a cluttered, circular room lined with glass cabinets.
2004_Juno_00.08.04.551-00.08.08.012 	leah's room is cluttered with the sentimental junk that certain girls love to hoard.
2004_Juno_01.06.31.331-01.06.34.044 	the lorings' basement is dank, cluttered unfinished and unattractive, much like paulie bleeker's.
2005_Signs_01.18.58.819-01.19.00.478 	the shelves are cluttered with all sorts of canned goods, extension cords, cleaning supplies, decorations, outdoor tools.
