0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.30.13.364-00.30.22.588 	Flames instantly consume the envelope.revealing the ring, as it sinks into the red hot embers.
0053_Rendezvous_mit_Joe_Black_00.17.41.355-00.17.47.941 	Parrish grips the edge of the desk, the pain assaulting him on the one hand, the Voice coming at him from the outer, each aberration feeds on the other, he is beside himself, consumed with pain and bewildered by what seems to be a hallucination but which he is certain is not.
1002_Harry_Potter_and_the_Half-Blood_Prince_00.42.26.917-00.42.38.457 	Swirling black smoke consumes the image of the boy and Harry takes his face out of the pensive.
1009_Spider-Man3_01.43.45.648-01.43.50.496 	as more lands on his shoulder, it wraps itself around his body like ivy consuming the walls of a building.
1009_Spider-Man3_01.43.50.496-01.43.54.218 	brock drops to his hands and knees, consumed by the black tendrils that pushed him to the floor as if he were stuck in a pool of tar.
1031_Quantum_of_Solace_01.30.58.294-01.30.59.481 	the german is consumed in the fire.
1035_The_Adjustment_Bureau_00.28.11.943-00.28.13.350 	fire consumes the card.
1051_Harry_Potter_and_the_goblet_of_fire_00.45.29.044-00.45.32.218 	then the paper is consumed by the flames.
1057_Seven_pounds_01.44.04.200-01.44.05.842 	his expression is slightly glazed, as if consumed by his own sad thoughts.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.00.54.271-01.00.58.763 	the furniture is consumed by the raging inferno.
1057_Seven_pounds_01.44.04.200-01.44.05.842 	his expression is slightly glazed, as if consumed by his own sad thoughts.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.00.54.271-01.00.58.763 	the furniture is consumed by the raging inferno.
