0005_Chinatown_01.35.33.981-01.35.39.126 	he shuts the shower off, reaches weakly for a towel, dabs his nose lightly with it.
0007_DIE_NACHT_DES_JAEGERS_00.49.21.426-00.49.22.507 	preacher, well-fed and at leisure, dabs his mouth delicately with his napkin, folds it, puts it in a ring, and folds his hands.
0028_The_Crying_Game_01.24.55.799-01.25.19.857 	he wipes the tears from her face with a tissue then dabs the tissue in her drink and wipes some more.
0050_Indiana_Jones_and_the_last_crusade_00.41.20.095-00.41.22.813 	brody is giving it careful study while he dabs the lump on the back of his head with an ice pack.
1005_Signs_00.06.38.852-00.06.42.978 	he dabs at the urine, saturating the towels.
1011_The_Help_01.35.05.603-01.35.10.753 	celia gently dabs the cut with a cloth.
1027_Les_Miserables_00.40.16.497-00.40.27.272 	the nurse dabs her semiconscious patient's forehead with a cloth, then rises and walks out of the room.
1034_Super_8_00.13.15.469-00.13.21.035 	she does so, and he dabs makeup onto her eyelids.
1037_The_Curious_Case_Of_Benjamin_Button_00.11.36.056-00.11.41.846 	the bespectacled man watches as the woman dabs herself with a cloth.
1039_The_Queen_01.02.56.143-01.03.03.741 	the queen casts her gaze skyward, dabs some tears with a handkerchief, then, wipes her nose.
1058_The_Damned_united_01.11.03.000-01.11.08.057 	the man in the blazer dabs sweat from his face as he stands over brian.
