0007_DIE_NACHT_DES_JAEGERS_01.29.11.785-01.29.12.344 	it is decorated for christmas.
0014_Ist_das_Leben_nicht_schoen_01.24.50.646-01.24.50.818 	there is a christmas tree all decorated near the fireplace.
0014_Ist_das_Leben_nicht_schoen_01.25.29.517-01.25.34.626 	mary is helping pete decorate the christmas tree.
0014_Ist_das_Leben_nicht_schoen_01.35.34.001-01.35.34.381 	there are christmas greens and holly decorating the place.
0014_Ist_das_Leben_nicht_schoen_02.03.34.249-02.03.34.749 	the christmas tree is fully decorated with presents stacked around.
0030_The_Hustler_01.49.26.629-01.49.30.101 	it is a beautifully appointed salon, wood-paneled, filled with plush divans and decorated with terra cotta roman statuary.
0043_Thelma_and_Luise_00.06.41.739-00.06.43.420 	the room looks like it was decorated entirely from a sears catalog.
0049_Hannah_and_her_sisters_00.06.09.003-00.06.12.940 	she takes out two apples decorated with paper turkey heads and tails and hands them to april.
0049_Hannah_and_her_sisters_00.43.26.106-00.43.33.104 	a taxi turns a west side street corner and stops in front of evan and norma's building, which is decorated with a long metal awning.
0050_Indiana_Jones_and_the_last_crusade_00.52.44.146-00.52.50.960 	a large baronial room decorated with ancient tapestries and suits of armor.
1002_Harry_Potter_and_the_Half-Blood_Prince_01.06.34.198-01.06.35.419 	the cloisters are decorated with greenery.
1008_Spider-Man2_02.07.01.971-02.07.04.644 	the church is decorated with white flowers.
1009_Spider-Man3_01.41.35.717-01.41.39.556 	he plummets down to a square archway, leading to the bell tower of the imposing cathedral, decorated with an intricate network of gothic arches and flying buttresses.
1015_27_Dresses_01.18.59.213-01.19.06.322 	as lights begin to decorate the evening cityscape, a taxi drops jane off at the restaurant where guests are gathering for the engagement party.
1015_27_Dresses_01.36.34.443-01.36.39.535 	on the brightly decorated peer, kevin is among the guests.
1019_Confessions_Of_A_Shopaholic_01.34.09.380-01.34.16.469 	a photographer on the decorated front steps of the church snaps the maids of honor arranging suze's wedding train.
1020_Crazy_Stupid_Love_01.20.58.959-01.21.01.466 	she stops decorating the envelope.
1028_No_Reservations_00.30.01.492-00.30.04.798 	inside the school, kate and zoe walk down a corridor decorated with children's drawings.
1028_No_Reservations_00.38.27.920-00.38.30.466 	kate picks up another bottle and begins to decorate a plate.
1035_The_Adjustment_Bureau_01.26.53.399-01.26.59.513 	leaving his other belongings, he halts under a rotundas decorated ceiling.
1037_The_Curious_Case_Of_Benjamin_Button_02.01.57.816-02.02.03.412 	they enter a bedroom decorated with framed landscape paintings.
1037_The_Curious_Case_Of_Benjamin_Button_02.08.48.209-02.08.48.392 	fully dressed, they decorate the house.
1037_The_Curious_Case_Of_Benjamin_Button_02.19.44.442-02.19.45.495 	balloons decorate the dining room of their duplex.
1040_The_Ugly_Truth_01.08.12.768-01.08.18.751 	the colorful restaurant is decorated with palms.
1044_Pride_And_Prejudice_Disk_Two_02.01.22.105-02.01.28.113 	kitty is busy decorating a straw bonnet with ribbon.
1049_Harry_Potter_and_the_chamber_of_secrets_00.01.27.000-00.01.30.358 	in the kitchen, his aunt petunia is decorating a meringue gateau.
1049_Harry_Potter_and_the_chamber_of_secrets_00.06.54.832-00.06.56.260 	on the table, stands the huge meringue gateau decorated with green and mauve whipped cream and red cherries.
1049_Harry_Potter_and_the_chamber_of_secrets_01.17.37.215-01.17.39.910 	in the great hall, now decorated with tall christmas trees, the ceiling reflects the weather outside.
1049_Harry_Potter_and_the_chamber_of_secrets_01.59.06.488-01.59.09.473 	the sink decorated with the snake slowly disappears downwards.
1049_Harry_Potter_and_the_chamber_of_secrets_02.03.27.851-02.03.30.469 	on the wall ahead, he sees a circular hinged door decorated with a pattern of snakes.
1052_Harry_Potter_and_the_order_of_phoenix_00.37.41.030-00.37.51.184 	sitting in her pink office, umbridge puts three spoonfuls of pale pink sugar into a china cup decorated with pink roses.
1052_Harry_Potter_and_the_order_of_phoenix_01.11.25.167-01.11.28.772 	the kitchen is decorated for christmas.
1053_Harry_Potter_and_the_philosophers_stone_01.25.44.146-01.25.53.237 	she walks down the brightly decorated hall to join them.
1055_Marley_and_me_00.47.02.812-00.47.08.106 	the elderly irish landlady leaves them to their quaintly decorated twin room.
1056_Rambo_00.56.29.633-00.56.33.735 	the commander wears a tunic decorated with ribbons.
1056_Rambo_01.19.41.009-01.19.44.740 	the hill is decorated with scrubby green grass.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.49.45.503-00.49.57.245 	hermione stands behind ron at a door decorated with six, large, metal snakes.
2004_Juno_00.06.40.137-00.06.52.677 	juno's bedroom is decorated with punk posters: the damned, the germs, the stooges, television, richard hell, etc.
2041_This_is_40_00.02.45.192-00.02.47.453 	pete and the kids set up a tray of muffins and donuts on the table and decorate the room with birthday balloons, streamers, etc.
