0001_American_Beauty_00.29.20.377-00.29.20.937 	The Colonel is smiling, enjoying the show; Barbara just stares.
0001_American_Beauty_01.13.51.852-01.13.59.724 	Her face has lost its usual resolute determination; she's actually enjoying herself spontaneously, and the lack of her usual self-consciousness allows us to see just how beautiful she is.
0002_As_Good_As_It_Gets_00.26.55.071-00.26.59.050 	A short laugh makes us realize that Melvin has witnessed and enjoyed Frank's hostile mutterings.
0003_CASABLANCA_00.23.09.911-00.23.14.000 	Major Strasser is one of the reasons the Third Reich enjoys the reputation it has today.
0011_Gandhi_00.54.41.238-00.54.42.628 	Gandhi and Charlie are riding on the outside of the coach, hanging on through the door, and both enjoying it immensely.
0011_Gandhi_02.59.51.656-02.59.55.374 	She is enjoying the banter, as is Mirabehn, who is spinning quietly to one side of the room, and Patel, who sits cross-legged like Gandhi on the floor.
0012_Get_Shorty_00.55.29.271-00.55.34.771 	Karen is thoroughly enjoying Chili's manipulation of Martin.
0012_Get_Shorty_00.55.29.574-00.55.34.574 	Karen is starting to enjoy Chili's handling of Martin.
0017_Pianist_01.19.08.852-01.19.20.822 	Szpilman is enjoying himself.
0021_Rear_Window_00.57.04.303-00.57.08.960 	Jeff smiles at catching Doyle enjoying Miss Torso.
0026_The_Big_Fish_00.02.36.700-00.02.37.971 	She is enjoying the story, but also the force of Edward's charisma.
0026_The_Big_Fish_01.52.01.053-01.52.04.371 	TIGHT ON Edward, enjoying that detail.
0041_The_Sixth_Sense_01.29.04.757-01.29.13.954 	Malcolm watches with utter joy as Cole becomes indistinguishable among of a group of twenty children giggling and enjoying themselves on stage.
0049_Hannah_and_her_sisters_01.01.21.144-01.01.27.751 	Holly, beating time to the music and enjoying herself, takes a puff of her cigarette.
0049_Hannah_and_her_sisters_01.21.06.233-01.21.07.530 	The camera moves down to reveal a large group of Hare Krishnas dancing on the broad green lawn among other New Yorkers enjoying the day.
0049_Hannah_and_her_sisters_01.23.35.497-01.23.39.632 	The guests are chattering, enjoying themselves; a lamp glows on the corner of the piano.
0049_Hannah_and_her_sisters_01.40.33.415-01.40.35.829 	The camera shows his point of view: Guests stand in clusters, enjoying themselves; one woman chats with a little boy; another woman, carrying a drink, walks over to a group of other guests.
0050_Indiana_Jones_and_the_last_crusade_00.16.59.033-00.17.01.102 	Indy walks briskly toward the street; smiling, enjoying his freedom.
0050_Indiana_Jones_and_the_last_crusade_00.25.54.104-00.25.56.573 	Indy grins, enjoying the repartee.
0053_Rendezvous_mit_Joe_Black_00.48.21.976-00.48.26.074 	She watches, fascinat- ed, as Joe licks his gums, enjoying every last bit of his spoonful.
0053_Rendezvous_mit_Joe_Black_02.30.29.836-02.30.33.516 	Drew, fashioning an imperial entrance for himself, hails partygoers as he passes, Quince enjoying the irony.
1002_Harry_Potter_and_the_Half-Blood_Prince_00.57.19.306-00.57.20.569 	Everyone's enjoying dessert.
1015_27_Dresses_01.09.26.759-01.09.35.133 	the locals start to enjoy their goofy performance.
1017_Bad_Santa_00.01.22.831-00.01.27.385 	they chat and laugh, enjoying the christmas spirit.
1017_Bad_Santa_00.01.39.164-00.01.43.764 	at the far end of the bar, a seedy, unshaven man in his late 40s, wearing a santa costume, sits alone, enjoying two glasses of an entirely different kind of spirit.
1017_Bad_Santa_00.24.38.717-00.24.43.475 	he takes in the usual collection of festive social drinkers out enjoying a christmas drink.
1028_No_Reservations_00.21.13.068-00.21.15.097 	patrons sitting in a window table smile and chat as they enjoy a meal.
1029_Pride_And_Prejudice_Disk_One_00.13.10.226-00.13.14.893 	dressed in their empire-line dresses, lizzie and lydia are thoroughly enjoying themselves.
1029_Pride_And_Prejudice_Disk_One_00.17.43.413-00.17.44.690 	whilst the young couple are enjoying themselves, watching at the side, darcy cannot hide his disdain.
1029_Pride_And_Prejudice_Disk_One_01.09.34.814-01.09.38.481 	lydia and kitty are enjoying a card game with the officers.
1029_Pride_And_Prejudice_Disk_One_01.36.55.305-01.36.58.627 	only mrs. bennet seems to be really enjoying it.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.23.40.249-00.23.51.695 	as watson enjoys himself at the gaming tables and mycroft chats to some other men, holmes goes upstairs to investigate where he saw a bearded man carrying a nosegay appear from behind the curtains earlier.
1041_This_is_40_02.08.12.279-02.08.18.943 	they part with a mutually appreciative gaze, then enjoy the song together amidst the crowded music club.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.37.00.022-00.37.03.330 	harry relaxes, enjoying the sensation.
1055_Marley_and_me_00.50.25.033-00.50.39.132 	he then trots back into the bedroom and settles himself on his bed, enjoying a scratch before lying down.
1056_Rambo_00.51.59.058-00.52.03.989 	the troops enjoy the exotic dance show.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.37.00.022-00.37.03.330 	harry relaxes, enjoying the sensation.
1055_Marley_and_me_00.50.25.033-00.50.39.132 	he then trots back into the bedroom and settles himself on his bed, enjoying a scratch before lying down.
1056_Rambo_00.51.59.058-00.52.03.989 	the troops enjoy the exotic dance show.
2034_Super_8_00.20.04.653-00.20.07.122 	this kid enjoyed the crash.
