0007_DIE_NACHT_DES_JAEGERS_01.25.06.932-01.25.08.946 	the troopers, fanning wide, advance towards barn.
0011_Gandhi_00.45.25.612-00.45.27.646 	a splendid peacock, its tail fanned in brilliant display, lords it on a velvet lawn.
0016_O_Brother_Where_Art_Thou_00.49.33.511-00.49.33.957 	watching everett fan his money.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.08.16.895-01.08.21.543 	faramir's knights fan out to form one straight line of 200 horsemen.
0049_Hannah_and_her_sisters_00.52.21.161-00.52.38.955 	the harpsichord music begins to play again as the camera moves over the bed covers to reveal lee, lying contentedly under the sheets, her hair fanned out on the pillows, one arm near her head.
1011_The_Help_00.30.23.975-00.30.30.700 	at hilly's house, minnie is fanning mrs. walters with a newspaper.
1011_The_Help_00.31.16.880-00.31.19.314 	hilly, who has been lighting candles on the dining table, sits fanning herself.
1011_The_Help_02.05.46.230-02.05.52.866 	out in the sunshine, minnie is strolling towards celia's house with a bag of groceries, fanning herself in the heat.
1030_Public_Enemies_01.53.27.905-01.53.31.572 	anna sits at the kitchen table fanning herself with a magazine.
1044_Pride_And_Prejudice_Disk_Two_01.17.02.332-01.17.04.285 	in her bedroom, mrs. bennet is lying back in her chair, fanning herself.
1044_Pride_And_Prejudice_Disk_Two_02.01.33.113-02.01.41.325 	mrs. bennet is lying back on a chaise lounge in her room, fanning herself and ordering the servants about.
1062_Day_the_Earth_stood_still_00.20.37.686-00.20.48.236 	the soldiers fan out to firing positions.
