0011_Gandhi_02.42.10.406-02.42.19.335 	The little flagpole is empty, the rope dangling, flapping loosely down the pole.
1002_Harry_Potter_and_the_Half-Blood_Prince_01.01.56.444-01.02.03.184 	His green cape flapping behind him, he joins his teammates, who flank him as they charge for goal.
1011_The_Help_01.04.13.144-01.04.16.448 	in her yard, celia brings a flapping chicken to a log where an ax is waiting to dispatch the bird.
1012_Unbreakable_00.41.58.706-00.42.02.373 	the skirt of his coat flapping open to reveal a purple lining.
1028_No_Reservations_01.13.33.078-01.13.36.192 	christine is running along the beach, waving back at the camera, her jacket and scarf flapping behind her.
1042_Up_In_The_Air_01.31.52.808-01.31.59.241 	he runs through the airport, dragging his case with one hand, with a boarding pass flapping in the other.
1049_Harry_Potter_and_the_chamber_of_secrets_02.10.20.852-02.10.26.222 	the phoenix flies at the serpent's head flapping its wings the brave bird pecks repeated the other creature's huge yellow eyes.
1055_Marley_and_me_00.27.08.362-00.27.14.201 	marley lolls out of the window, ears flapping in the breeze as john clutches his hindquarters.
1060_Yes_man_01.32.40.894-01.32.46.038 	he speeds along a dual carriageway, his spotted hospital gown flapping in the breeze.
1055_Marley_and_me_00.27.08.362-00.27.14.201 	marley lolls out of the window, ears flapping in the breeze as john clutches his hindquarters.
1060_Yes_man_01.32.40.894-01.32.46.038 	he speeds along a dual carriageway, his spotted hospital gown flapping in the breeze.
