0001_American_Beauty_00.30.51.329-00.30.53.263 	he knows this persona well, only it's never pissed him off as much as it does right now.
0001_American_Beauty_00.33.45.933-00.33.47.881 	this situation is loaded and they both know it.
0001_American_Beauty_00.45.49.576-00.45.52.172 	it's clear he knows where she's most vulnerable.
0001_American_Beauty_01.10.56.487-01.10.56.917 	as soon as his eyes meet his father's, he knows what's up.
0001_American_Beauty_01.24.26.888-01.24.27.706 	he's got a newfound sexual energy that makes her uncomfortable, and he knows it.
0001_American_Beauty_01.26.03.234-01.26.08.393 	he opens the drawer in which we know ricky keeps his marijuana, but he doesn't discover its false bottom.
0003_CASABLANCA_00.25.41.077-00.25.42.437 	he appears to know this woman.
0004_Charade_00.49.18.627-00.49.19.980 	reggie, not knowing what to do, and afraid she will be seen by dyle, who is now looking her way, spins and sits at the sidewalk cafe's nearest table, her back to dyle.
0004_Charade_00.49.23.999-00.49.24.825 	he smiles back emptily, not knowing what to make of her.
0004_Charade_01.44.11.204-01.44.11.949 	reggie looks at one, then the other, not knowing what to do.
0005_Chinatown_00.33.59.454-00.34.01.197 	evelyn looks at escobar but doesn't know how to answer him.
0007_DIE_NACHT_DES_JAEGERS_00.37.06.807-00.37.09.518 	he is sure now pearl knows.
0007_DIE_NACHT_DES_JAEGERS_01.13.22.939-01.13.25.483 	our heroine would like to thank the lord openly, but she knows she must not show her feelings; she speaks gruffly.
0009_Forrest_Gump_00.45.52.206-00.45.53.027 	tex holds up his hand, motioning that he doesn't know.
0011_Gandhi_00.21.19.777-00.21.20.322 	he knows how to concede with grace.
0011_Gandhi_00.28.43.206-00.28.45.727 	this is the more sober gandhi they have come to know.
0011_Gandhi_00.34.34.351-00.34.34.680 	full shot, the sergeant wheeling his horse, angrily -- surveying the whole of the procession as they lie sprawled on the ground, his mounted police circling in front of them, not knowing what to do.
0011_Gandhi_00.46.52.267-00.46.54.077 	it is brusque but affectionate; we know he regards charlie as gandhi does.
0011_Gandhi_00.58.55.918-00.59.01.463 	we see one peasant face (shukla) -- which we will come to know -- watching from the crowd of outsiders who stand in the doorways.
0011_Gandhi_02.00.06.281-02.00.12.079 	another angle featuring walker and collins, who are sitting alone, in the cool shadows of the temple, watching with fascination as gandhi and ba repeat their marriage ceremony for them, walker jotting notes occasionally, but his eyes always glued to gandhi and ba, who are in part lost in memories and echoes of a significance only they can know.
0011_Gandhi_02.33.48.020-02.33.53.066 	a moment, and he lifts it slowly, his face confirming for us what he and we already know: there is no heartbeat.
0011_Gandhi_02.48.45.961-02.48.46.812 	she knows gandhi's feeling for him.
0011_Gandhi_02.53.33.565-02.53.38.656 	a huge crowd, some smoke in distant buildings, some damage near to help us know this is still calcutta, and all is not yet at peace.
0014_Ist_das_Leben_nicht_schoen_00.08.11.736-00.08.13.316 	george picks up the capsule box, not knowing what to do or say.
0014_Ist_das_Leben_nicht_schoen_01.11.59.742-01.12.00.126 	in that moment of physical contact he knows he could never be associated with this man.
0014_Ist_das_Leben_nicht_schoen_01.20.23.973-01.20.26.048 	the teller, knowing the old man's vagaries, points to one of the numerous string tied around his fingers.
0014_Ist_das_Leben_nicht_schoen_01.21.30.400-01.21.35.189 	uncle billy picks up the phone and speaks distractedly, without knowing what he is saying.
0014_Ist_das_Leben_nicht_schoen_01.29.34.921-01.29.39.452 	she cannot know that george's tirade against mrs. welch is really a tirade against the world, against life itself, against god.
0014_Ist_das_Leben_nicht_schoen_01.57.03.515-01.57.05.279 	she gives no sign that she knows him.
0014_Ist_das_Leben_nicht_schoen_02.02.35.235-02.02.38.599 	his rapture knows no bounds.
0017_Pianist_01.27.44.015-01.27.47.551 	the hammering continues as szpilman stumbles into the room, looks around, confused, not knowing what to do.
0019_Pulp_Fiction_00.52.46.893-00.52.56.424 	what do you know, she did it!
0019_Pulp_Fiction_00.57.44.307-00.57.49.741 	from here on in, everything in this scene is frantic, like a documentary in an emergency ward, with the big difference here being nobody knows what the fuck they're doing.
0019_Pulp_Fiction_01.00.31.416-01.00.33.629 	lance, on this knees right beside vincent, does not know what to expect.
0022_Reservoir_Dogs_01.03.53.501-01.04.01.700 	we see mr. orange, now known as freddy newendyke, wearing a high school letterman jacket, enter the coffee shop, spot holdaway, and head his way.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.31.08.698-00.31.10.217 	frodo looks at gandalf, each knowing the other has heard it.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_02.29.31.532-02.29.32.864 	aragorn looks at legolas, knowing full well what he means.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.24.02.924-00.24.04.559 	he knows gandalf speaks the truth.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.26.42.980-00.26.43.771 	he knows what it is to lose someone.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.27.15.762-00.27.17.450 	something about the boy intrigues her -- but she does not know why.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.51.18.005-00.51.24.369 	it is as if he knows he will not see this place again.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.46.10.164-01.46.12.044 	but he knows what he must do.
0026_The_Big_Fish_00.07.34.735-00.07.35.990 	by the tone of the ring, we know we're not in the u.s. -- it has that insistent european sound.
0026_The_Big_Fish_01.14.18.106-01.14.18.963 	she knows it can't be him.
0026_The_Big_Fish_01.49.52.444-01.49.53.707 	he sees the end approaching, but doesn't know exactly what's coming.
0028_The_Crying_Game_00.21.20.775-00.21.27.976 	fergus begins to laugh, without knowing why.
0032_The_Princess_Bride_00.12.01.548-00.12.11.182 	she's scared, sure, petrified, who wouldn't be, but she makes no reply-- --and now a shrieking eel has zeroed in on her-- --and now she sees it, a short distance away, circling, starting to close-- --and buttercup is frozen, trying not to make a movement of any kind-- --and the eel slithers closer, closer-- --and buttercup knows it now, there's nothing she can do, it's over, all over-- --and now the eel opens its mouth wide, and it's never made such a noise, and as its great jaws are about to clamp down.
0032_The_Princess_Bride_00.14.50.917-00.14.52.429 	he's impossibly far behind, but the way he goes you'd think he didn't know that because he is flying up the rope, hand over hand like lightning.
0032_The_Princess_Bride_00.23.30.243-00.23.31.032 	and before inigo knows it, the six-fingered sword is knocked clear out of his hand.
0032_The_Princess_Bride_00.52.37.409-00.52.38.920 	and if we thought it was packed before, we didn't know how many more could fit in this courtyard.
0032_The_Princess_Bride_01.29.58.313-01.30.01.797 	prince humperdinck, and he's so panicked he doesn't know whether to pee or wind his watch.
0038_Psycho_00.33.52.672-00.33.54.950 	he stares with painful embarrassment at the knowing look in her eye.
0043_Thelma_and_Luise_01.35.07.386-01.35.08.893 	louise knows what she is talking about.
0049_Hannah_and_her_sisters_00.12.00.396-00.12.02.875 	mickey stops and shakes ed's hand as if he'd known the official would be there.
0049_Hannah_and_her_sisters_01.34.00.873-01.34.04.207 	mickey smiles and shrugs, not knowing what to say.
0050_Indiana_Jones_and_the_last_crusade_00.31.35.634-00.31.41.304 	indy only has to give it a quick glance to know.
0050_Indiana_Jones_and_the_last_crusade_01.09.05.211-01.09.09.347 	one of whom is now none other than indy, coming up to her before she knows he is there.
0051_Men_in_black_00.09.50.556-00.09.50.905 	they belong to a man we will know as the perpetrator.
0051_Men_in_black_01.00.03.236-01.00.05.669 	elizabeth looks up, as if she knows she's being watched, but she's just looking at the sky, wondering how many stars'll be out tonight.
0051_Men_in_black_01.24.50.547-01.24.55.498 	jay knows what he has to do.
0053_Rendezvous_mit_Joe_Black_01.47.57.172-01.48.02.064 	her head nestles underneath his arm, she has a sense of his comforting her without knowing that he is doing so.
1005_Signs_00.44.58.050-00.45.03.717 	graham shoots a knowing glance at this brother, who looking forlorn, returns his gaze to the tv.
1011_The_Help_00.54.22.478-00.54.23.760 	with a knowing smile hilly command elizabeth to budge up.
1029_Pride_And_Prejudice_Disk_One_01.20.59.733-01.21.06.536 	knowing the laughter is at him, he regains his composure before heading down the stairs.
1029_Pride_And_Prejudice_Disk_One_02.29.15.897-02.29.21.571 	lizzie watches them not quite knowing what to make of the encounter.
1030_Public_Enemies_01.53.38.575-01.53.46.220 	anna's fanning motion slows as her knowing gaze follows him.
1038_The_Great_Gatsby_00.58.30.101-00.58.30.849 	he rattles a bowl in the sink to make his presence known.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.27.30.280-00.27.32.375 	george gives him a knowing look.
1051_Harry_Potter_and_the_goblet_of_fire_01.25.54.821-01.25.59.978 	cedric gives harry a knowing smile and goes.
1053_Harry_Potter_and_the_philosophers_stone_00.52.55.000-00.52.59.420 	hermione knows.
1058_The_Damned_united_00.39.03.855-00.39.06.320 	they exchange a respectful, knowing nod.
2004_Juno_01.10.58.653-01.11.02.096 	vanessa looks at juno's expression and knows mark is lying.
2005_Signs_00.06.50.844-00.06.54.747 	officer edgar paski nods that he knows.
2005_Signs_01.00.32.612-01.00.34.842 	he looks around not knowing what to do.
2017_Bad_Santa_00.06.18.532-00.06.22.274 	mission accomplished, the teddy bear rips off its head to reveal his true identity: santa's elf -- in civilian life known as marcus skidmore.
2017_Bad_Santa_00.06.23.574-00.06.28.478 	a hasp flips open and marcus swings the door wide to reveal a beer-guzzling santa-in-the-off-season known as willie t. soke.
2026_Legion_00.06.24.308-00.06.29.306 	michael, however, seems to know exactly who he's talking to.
2026_Legion_00.11.25.614-00.11.32.878 	the girl who we now know as audrey anderson turns to howard with a caustic smile.
2027_Les_Miserables_01.01.06.400-01.01.09.095 	now valjean and cosette are running - down narrow alleys, into small dark courtyards, not knowing which way to turn.
2027_Les_Miserables_01.11.05.570-01.11.07.053 	she too is amazed: he's looking at her as if he already knows her.
2027_Les_Miserables_01.57.15.462-01.57.19.971 	crane up and up - seeing the little world of the barricaded street now surrounded by waiting soldiers - and the streets round them packed with soldiers in their thousands, so many that we know the little band can never win.
2027_Les_Miserables_02.02.44.140-02.02.47.446 	he stands by the window, knowing he will die now, proud and unafraid.
2034_Super_8_00.20.40.219-00.20.42.996 	but joe suddenly knows -- he moves to the blood -- reaches below the wheels -- the others watch, freaked out.
2034_Super_8_01.23.02.312-01.23.03.273 	instantly, joe knows he's about to watch this man's life end.
2034_Super_8_01.41.25.434-01.41.26.548 	joe knows what this means.
2034_Super_8_01.41.28.280-01.41.28.955 	tears in joe's eyes as he looks up at it -- not wanting to let go, but knowing he must.
2041_This_is_40_00.33.34.114-00.33.37.850 	a low flying 747 lets us know he lives too close to the airport in a small house.
2041_This_is_40_00.48.03.819-00.48.12.858 	they pull up to their house, shut off the car and sit for a beat, knowing they're about to head back into the stress of the real world, not wanting their peaceful, loving time to end.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.06.44.979-00.06.46.822 	uncle vernon eyes harry's wand nervously, then grins with knowing cruelty.
