0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.11.14.408-02.11.28.946 	they charge across the surface of the water with frightening speed, overtaking aragorn!
0026_The_Big_Fish_01.43.14.447-01.43.21.104 	as we watch, the swamp begins to overtake the house, swallowing it in a tangle of vines and mossy branches.
0027_The_Big_Lebowski_00.30.34.869-00.30.36.374 	we pull back to reveal that the blackness was the inside of a ball return, and the gleaming bowling ball is being regurgitated up at us, overtaking us.
0031_The_Lost_Weekend_01.31.11.564-01.31.13.581 	helen overtakes him and blocks his way.
0050_Indiana_Jones_and_the_last_crusade_01.19.37.649-01.19.42.059 	indy and henry look over their shoulders to see this wingless ball of fire gaining on them; about to overtake them.
1008_Spider-Man2_01.17.14.444-01.17.16.089 	two girls overtake him and giggle.
1035_The_Adjustment_Bureau_00.10.46.109-00.10.49.682 	a second onrush of kissing overtakes them.
1038_The_Great_Gatsby_00.36.11.187-00.36.14.431 	he overtakes.
1038_The_Great_Gatsby_01.32.05.855-01.32.11.347 	tom drives recklessly at speed, narrowly missing one car and overtaking several others.
1045_An_education_00.07.56.300-00.08.00.214 	a large black car overtakes them.
1060_Yes_man_00.25.36.002-00.25.42.564 	she speeds up, overtaking two vehicles.
2026_Legion_01.01.51.732-01.01.55.470 	tears well up in her eyes, fear and anger overtaking her.
2026_Legion_01.02.29.428-01.02.32.606 	she turns to him, the bitterness overtaking her.
