0013_Halloween_01.20.13.090-01.20.17.441 	her hand brushes against the knitting needles protruding from her totebag.
0013_Halloween_01.24.51.911-01.24.55.874 	the shape lies on the floor by the bed, the butcher knife protruding from his stomach.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.47.49.731-01.47.57.044 	suddenly the fearsome head protrudes into the minas tirith.
0027_The_Big_Lebowski_00.54.50.646-00.54.51.701 	the dude is staring at his toes, which protrude from the soapy water, splayed against the far side of the tub.
0031_The_Lost_Weekend_00.12.14.257-00.12.15.134 	it is a little short and the necks of the bottles protrude.
0050_Indiana_Jones_and_the_last_crusade_00.05.30.499-00.05.31.173 	his arm is out the window, however, and we see an olive-colored hand protruding from the sleeve of an expensive white linen suit.
0050_Indiana_Jones_and_the_last_crusade_00.47.31.015-00.47.35.061 	he leans out the window and wraps his bullwhip around some wires that protrude from the castle wall above the next window.
0050_Indiana_Jones_and_the_last_crusade_01.33.49.039-01.33.51.992 	he grabs onto the shredded gun protruding from the side of the tank.
0050_Indiana_Jones_and_the_last_crusade_01.34.15.732-01.34.18.065 	vogel raises the shovel above his head and brings it crashing down on indy, still hanging from the protruding gun.
1008_Spider-Man2_01.39.47.430-01.39.54.569 	he, himself, is high in the hair, the four limbs protruding from the metal spine.
1009_Spider-Man3_02.04.13.778-02.04.16.519 	harry looks down at the two blades protruding through his chest.
1012_Unbreakable_01.17.35.476-01.17.45.143 	elijah rolls his wheelchair along a darkened corridor, his right leg still sticking straight out with its two long rows of shiny bolts protruding from the metal frame around it.
1051_Harry_Potter_and_the_goblet_of_fire_00.20.59.227-00.21.07.069 	moody has a scarred face and a large, protruding false eye fixed to another eye patch.
