0009_Forrest_Gump_01.35.54.655-01.36.01.651 	The anchorman is standing in front of the ruined pier and boats.
0017_Pianist_02.16.53.551-02.16.58.511 	Szpilman bolts into the doorway of a ruined building.
0017_Pianist_02.16.59.664-02.17.02.455 	He peers out to see Polish soldiers beginning to surround the ruined building, firing shots, lobbing in a grenade or two.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.01.25.745-01.01.30.994 	Frodo, Sam, Merry, and Pippin race into a RING OF BROKEN STONES on the summit or Weathertop, the ruined base of an ancient tower.
0031_The_Lost_Weekend_01.10.07.969-01.10.12.049 	Her hair is the ruined elaborate hairdress of yesterday, and her eyes are blazing with anger.
1005_Signs_00.53.45.003-00.53.46.792 	The compact ruin is deserted, the solid dark wood desk clattered with papers.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.48.13.345-00.48.18.983 	watson and holmes sit in the ruined lavatory of their carriage which is at the end of those still attached to the engine.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.25.37.110-01.25.41.040 	he climbs down from the platform and runs over to the now ruined building.
1051_Harry_Potter_and_the_goblet_of_fire_01.34.26.115-01.34.32.555 	he swims past ruined archways, their outline softened by algae and water weed.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.22.32.049-01.22.36.158 	outside, in a ruined part of the castle, crows alight on the fallen masonry.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.22.37.651-01.22.44.208 	hermione, harry and ron peer through a ruined archway.
1056_Rambo_00.45.17.000-00.45.22.995 	the mercenaries make a wary record of the ruined village.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.51.40.237-01.51.50.888 	outside in brilliant sunshine, the three friends stroll aimlessly along the ruined bridge, with its broken balustrades.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.53.53.431-01.54.13.674 	the ruined school behind them, they stand on the rubble- strewn bridge and gaze ahead.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.22.32.049-01.22.36.158 	outside, in a ruined part of the castle, crows alight on the fallen masonry.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.22.37.651-01.22.44.208 	hermione, harry and ron peer through a ruined archway.
1056_Rambo_00.45.17.000-00.45.22.995 	the mercenaries make a wary record of the ruined village.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.51.40.237-01.51.50.888 	outside in brilliant sunshine, the three friends stroll aimlessly along the ruined bridge, with its broken balustrades.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.53.53.431-01.54.13.674 	the ruined school behind them, they stand on the rubble- strewn bridge and gaze ahead.
