0007_DIE_NACHT_DES_JAEGERS_00.53.07.664-00.53.09.885 	Jars shower over him; one crowns him and breaks, shedding guck, which he wipes from his eyes.
0023_THE_BUTTERFLY_EFFECT_01.04.09.933-01.04.18.299 	As she takes a step toward the table -- FLOWER PETALS shower down on her.
1002_Harry_Potter_and_the_Half-Blood_Prince_01.03.12.204-01.03.19.070 	In the Gryffindor common room, he stands on a table showered with red confetti.
1031_Quantum_of_Solace_01.30.04.733-01.30.08.290 	bond is hurled against a wall and showered with glass.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.47.24.105-00.47.32.305 	bullets rip through the walls of the first class compartments, showering watson and holmes with debris.
1047_Defiance_02.02.03.690-02.02.07.228 	the tank gun fires again, showering them both with gunpowder and debris.
1049_Harry_Potter_and_the_chamber_of_secrets_00.27.33.400-00.27.34.181 	they are showered with broken glass.
1058_The_Damned_united_01.15.38.467-01.15.42.836 	the players now showered and in their fashionable clothes join the directors in the long, narrow lounge.
2026_Legion_01.10.38.913-01.10.42.036 	the windows explode, showering audrey with tiny shards of glass.
1058_The_Damned_united_01.15.38.467-01.15.42.836 	the players now showered and in their fashionable clothes join the directors in the long, narrow lounge.
2026_Legion_01.10.38.913-01.10.42.036 	the windows explode, showering audrey with tiny shards of glass.
