0005_Chinatown_00.46.01.017-00.46.02.009 	evelyn looks down and smoothes her gloves.
1004_Juno_00.32.40.190-00.32.47.330 	she wonders into vanessa's en suite bathroom and contemplates herself in the large mirror above the basin, smoothing the front of her hair.
1004_Juno_00.42.20.438-00.42.22.955 	as she runs up to the lorings' front door, she smoothes down the hem of the skirt she wears over her jeans.
1004_Juno_01.15.37.217-01.15.39.831 	she smoothes it out on the steering wheel of the van and starts to write on it.
1005_Signs_01.40.09.450-01.40.13.117 	a blue bedspread with white polka dots smoothed across it.
1011_The_Help_00.42.26.801-00.42.29.840 	smoothing the back of her dress aibileen sits on the arm of an easy chair facing skeeter.
1038_The_Great_Gatsby_00.54.35.594-00.54.40.689 	he stops in the hall and smooths back his hair.
1038_The_Great_Gatsby_00.57.52.816-00.57.56.079 	he smooths it back with his hand.
1058_The_Damned_united_00.15.14.585-00.15.19.000 	brian eyes himself gravely as he smooths his hair in his office mirror.
1058_The_Damned_united_00.15.20.281-00.15.30.061 	he smooths his tie and carefully takes two crystal glasses from his case as peter looks on.
1058_The_Damned_united_00.41.43.983-00.41.51.059 	outside his office door, he smooths both hands over his hair, then strides off down the gloomy, brick-walled passage.
1059_The_devil_wears_prada_01.07.20.000-01.07.24.917 	she yanks her cap off and smooths her fringe before heading in.
2040_The_Ugly_Truth_01.14.57.803-01.15.04.228 	she leaps up, smooths her hair, checks her reflection, and goes to the door.
