0009_Forrest_Gump_01.06.03.153-01.06.07.732 	a policeman looks around as he sneaks over to the audio circuit board.
0013_Halloween_00.16.28.651-00.16.31.418 	laurie sneaks a glance back to the window.
0020_Raising_Arizona_00.36.25.429-00.36.27.685 	she hides her face in her hands and looks away as if blinded, then sneaks a look around her hands.
0023_THE_BUTTERFLY_EFFECT_01.17.59.590-01.18.04.915 	when done, he sneaks over to mrs. boswell's desk, where the two paper spindles sit.
0026_The_Big_Fish_01.06.34.224-01.06.45.649 	will quietly approaches the door, not exactly sneaking, but not exactly announcing his presence.
0033_Amadeus_00.20.32.650-00.20.36.643 	constanze, deeply embarrassed, sneaks into the room and seats herself at the back.
0051_Men_in_black_00.17.04.609-00.17.06.080 	a woman sneaks into the room.
1006_Slumdog_Millionaire_00.28.34.655-00.28.39.582 	she sneaks into the dormitory where all the children are sleeping on the floor.
1006_Slumdog_Millionaire_00.28.53.132-00.29.01.369 	latika sneaks off back to her side of the dormitory.
1006_Slumdog_Millionaire_00.59.09.020-00.59.27.039 	young salim, jamal, and latika sneak past the sleeping guard and break into a brand new but unoccupied hotel.
1008_Spider-Man2_01.55.28.604-01.55.35.985 	mj picks up a piece of timber, sneaks up on octavius and is about to hit him when she's punched away.
1015_27_Dresses_00.05.43.555-00.05.45.485 	the cabby sneaks another look.
1015_27_Dresses_01.02.58.698-01.03.02.891 	kevin arrives, stares at jane, then starts to sneak off.
1023_Horrible_Bosses_01.16.12.511-01.16.14.445 	they sneak into harken's house.
1027_Les_Miserables_02.18.54.849-02.19.04.404 	they sneak round to the far side of the carriage, climb inside, and exit through the opposite door as if they'd arrived in the carriage.
1041_This_is_40_00.02.46.935-00.02.51.604 	he sneaks some bacon, drinks oj from the plastic jug and eats a cupcake.
1041_This_is_40_00.06.02.424-00.06.07.712 	wearing biking gear, he kisses her goodbye then sneaks over to the kitchen sink.
1047_Defiance_01.21.35.528-01.21.46.565 	keeping their heads low, the three of them scurry across to one building, and then sneak towards the police station building flying the nazi flag.
1056_Rambo_00.55.34.000-00.55.43.900 	bn sneaks up to the cage, breaks open a chain on the door and motions the women to follow him quietly.
2041_This_is_40_00.02.54.807-00.02.58.901 	debbie opens a window and sneaks a cigarette.
