0005_Chinatown_00.19.07.037-00.19.10.343 	gittes is staggered.
0010_Frau_Ohne_Gewissen_01.45.21.317-01.45.27.676 	neff starts to move towards the door, staggering a little, holding himself upright with great effort.
0016_O_Brother_Where_Art_Thou_00.53.26.321-00.53.27.453 	he swings at delmar who staggers back with a grunt.
0020_Raising_Arizona_01.16.55.982-01.16.56.945 	evelle is staggering around in shock, looking in disbelief at his own blue body.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.23.43.263-00.23.46.808 	bilbo staggering out of bag end.he braces himself in the night air, pale and trembling, as if his loss of the ring has weakened him.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.28.50.762-02.28.53.097 	frodo and sam staggering across the tortured landscape.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.37.36.162-02.37.37.319 	sam staggering under frodo's weight.
0028_The_Crying_Game_00.03.40.572-00.03.42.056 	he staggers out, buttoning up.
0028_The_Crying_Game_00.50.24.886-00.50.25.423 	she staggers away from him.
0028_The_Crying_Game_01.19.04.331-01.19.06.935 	she staggers out of the pub.
0028_The_Crying_Game_01.44.45.019-01.44.50.962 	looks out the window to where he can see dil staggering down the street, through the crowds that have gathered.
0046_Chasing_Amy_01.17.37.070-01.17.41.046 	on the ice - player one staggers a bit, then quickly rights his jersey and lunges at player two, landing a barrage of his own punches.
0051_Men_in_black_00.54.51.452-00.54.53.866 	he staggers up out of a small control room inside rosenberg's head, with gearshifts and viewing screens all around the inside of the skull.
1002_Harry_Potter_and_the_Half-Blood_Prince_01.21.37.356-01.21.43.577 	lavender leaps on ron's back and he staggers away with her.
1003_How_to_Lose_Friends_and_Alienate_People_00.17.08.971-00.17.14.274 	he collides with an immovable turnstile, then staggers round.
1003_How_to_Lose_Friends_and_Alienate_People_01.42.28.958-01.42.36.533 	he staggers around, looking left and right, then stops to stare up a grassy incline.
1007_Spider-Man1_00.48.35.455-00.48.37.931 	the thief staggers back and trips.
1009_Spider-Man3_00.51.16.382-00.51.22.858 	flint watches from the edge of a building above as spider- man staggers out of the red van, looking around frantically.
1009_Spider-Man3_02.02.07.440-02.02.10.709 	they hit their target, and the enormous sand creature staggers back, crumbling and disintegrating.
1012_Unbreakable_01.15.31.194-01.15.36.273 	he staggers towards it, stumbling on his knees, crawling.
1012_Unbreakable_01.30.14.596-01.30.19.145 	he staggers across the room, lifting and twisting david, still trying to throw him off.
1024_Identity_Thief_00.52.45.157-00.52.47.824 	outside, she staggers away.
1027_Les_Miserables_00.05.02.880-00.05.21.847 	javert's eyes are fixed on valjean, who staggers away from the dry dock.
1043_Vantage_Point_00.25.49.885-00.25.54.497 	the president staggers back and falls.
1047_Defiance_00.18.43.021-00.18.46.280 	picking up the bottle, he staggers to his feet.
1049_Harry_Potter_and_the_chamber_of_secrets_01.20.28.207-01.20.30.842 	he staggers to the marble sink and leans on it.
1049_Harry_Potter_and_the_chamber_of_secrets_01.50.25.608-01.50.32.322 	they stagger out.
1053_Harry_Potter_and_the_philosophers_stone_01.40.38.108-01.40.39.483 	it staggers and stretches spiky wings.
1053_Harry_Potter_and_the_philosophers_stone_01.55.30.321-01.55.35.837 	the dog breathes out, and they stagger back.
1056_Rambo_01.00.21.000-01.00.22.813 	boozy soldiers stagger from it, grinning.
1056_Rambo_01.00.32.691-01.00.39.324 	they hide there briefly, as drunken troopers stagger over it.
1056_Rambo_01.00.51.000-01.00.53.565 	the last of the soldiers stagger away from the dance hut.
1057_Seven_pounds_01.48.50.495-01.48.52.419 	tim hurriedly staggers through undergrowth.
