0002_As_Good_As_It_Gets_00.10.45.559-00.10.47.403 	she is telling a story about her son for the umpteenth time.
0002_As_Good_As_It_Gets_00.21.26.560-00.21.27.112 	leslie is telling the story of the traumatic audition which may have turned her life.
0002_As_Good_As_It_Gets_01.07.06.015-01.07.09.977 	as the two digital clocks on melvin's night stand tell us.
0005_Chinatown_00.44.07.250-00.44.09.149 	walsh promptly starts to tell duffy the admiral byrd story.
0005_Chinatown_00.56.52.881-00.57.01.333 	sophie tries to tell him something but gittes goes on into his office.
0009_Forrest_Gump_00.20.47.588-00.20.54.222 	forrest looks left as he continues telling his life story.
0010_Frau_Ohne_Gewissen_01.17.44.180-01.17.46.653 	apparently she is telling him a story and now and then she laughs, but there is no sound.
0011_Gandhi_00.02.47.016-00.02.50.465 	there is just the slightest acknowledgment and then prakash lifts his eyes to the gate, as though to tell them to be about their business.
0011_Gandhi_01.03.36.760-01.03.38.604 	from its distant glow we can see that people line the platform of the small station, waiting, but we cannot tell how thick the crowd may be.
0011_Gandhi_01.58.43.032-01.58.45.320 	its style tells us some years have passed.
0011_Gandhi_02.55.18.724-02.55.20.114 	it is as though the man has told him of some terrible self- inflicted wound.
0014_Ist_das_Leben_nicht_schoen_01.16.57.805-01.16.59.637 	the subhead tells of a plan for a giant jubilee and parade, to be followed by a banquet, in honor of commander harry bailey, u.s.n.
0016_O_Brother_Where_Art_Thou_00.41.39.873-00.41.45.296 	everett sits on a stump, expressively telling a ghost story as pete and delmar gaze at him from below, wide-eyed and rapt.
0017_Pianist_00.43.33.621-00.43.39.777 	old people lying down, exhausted, impossible to tell whether some of them are alive or dead.
0020_Raising_Arizona_00.28.56.646-00.28.57.739 	the drone is growing louder - we can now tell that it is a human scream.
0020_Raising_Arizona_01.28.35.100-01.28.38.041 	glen is grinning and talking with his hands cupped in front of him, as when he told hi about the pollack who almost stepped in the pile of shit.
0021_Rear_Window_00.24.16.630-00.24.19.722 	she turns, gives him a light kiss on his cheek, as if she's telling him to be patient.
0021_Rear_Window_01.20.23.059-01.20.24.946 	he flushes with anger and embarrassment, and his mouth twists into unpleasant shapes as he slaps degrading words back at her, telling her what she is.
0021_Rear_Window_01.41.39.305-01.41.42.610 	he pauses momentarily to tell the second policeman to take a statement from thorwald about the attempted burglary.
0026_The_Big_Fish_00.01.35.697-00.01.41.409 	will bloom, age 3, listens wide-eyed as his father edward bloom, 40's and handsome, tells the story.
0026_The_Big_Fish_00.01.55.284-00.02.09.040 	a few years later, and will sits with the other indian guides as edward continues telling the story to the tribe.
0026_The_Big_Fish_00.10.53.267-00.10.54.283 	truth be told, edward is scared, but he forges ahead anyway.
0029_The_Graduate_01.03.30.106-01.03.31.447 	they are both eating as ben talks, telling elaine a story.
0029_The_Graduate_01.07.59.773-01.08.00.429 	from the way it is wrapped, we can tell it is a gift.
0032_The_Princess_Bride_00.15.42.863-00.15.59.859 	vizzini leaps off and takes out a knife, begins to cut the rope which is tied around a great rock while inigo helps the princess to her feet and fezzik just stands around, waiting for someone to tell him to do something.
0043_Thelma_and_Luise_00.11.39.963-00.11.41.702 	even though it's early, you can tell this place is a real night spot.
0049_Hannah_and_her_sisters_00.44.12.175-00.44.18.398 	the camera moves to evan, who continues to tell his story, ignoring his wife's outburst, as he walks away from the kitchen doorway into the den.
0049_Hannah_and_her_sisters_01.36.03.729-01.36.05.685 	the film abruptly cuts to mickey's flashback, a visual counterpoint to the story he is telling holly.
1004_Juno_00.01.28.167-00.01.30.024 	the shaggy blond dog does what he's told.
1011_The_Help_01.30.15.498-01.30.21.916 	white-haired woman tells her story.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_01.12.22.433-01.12.25.155 	the man does as he's told.
2026_Legion_00.36.24.765-00.36.29.587 	the men quickly do as they're told.
2026_Legion_00.44.49.531-00.44.53.508 	in response to that, charlie does the only thing someone can do when told such a thing.
2034_Super_8_01.29.21.434-01.29.25.054 	the thing falls far enough to tell them it's too far to jump.
2041_This_is_40_01.03.38.415-01.03.43.465 	we cannot tell what she is feeling.
2051_Harry_Potter_and_the_goblet_of_fire_00.47.34.934-00.47.41.817 	harry does as he's told.
