0012_Get_Shorty_00.00.33.076-00.00.36.226 	chili turns and studies tommy a moment.
0012_Get_Shorty_00.00.43.155-00.00.45.491 	then, tommy looks at him.
0012_Get_Shorty_00.08.23.918-00.08.48.052 	chili and tommy each sit in a barber chair, reading the newspaper while fred and ed sit nearby playing checkers.
0012_Get_Shorty_00.08.45.220-00.08.48.444 	chili's no longer listening to tommy, but now watching as ray bones and a black guy get out of the car.
0013_Halloween_00.14.02.123-00.14.05.689 	as she walks back to tommy at the street the shape moves to watch them, then fades back into the interior of the house.
0013_Halloween_00.56.18.651-00.56.20.484 	lindsey sits up next to tommy and hugs him.
0013_Halloween_01.01.20.806-01.01.23.158 	lindsey and tommy cuddle up with her, one on either side.
0014_Ist_das_Leben_nicht_schoen_01.25.20.347-01.25.27.778 	george slumps into an armchair and lifts tommy onto his lap.
0016_O_Brother_Where_Art_Thou_00.26.18.845-00.26.24.165 	when they finish everett whoops and slaps tommy on the back.
0023_THE_BUTTERFLY_EFFECT_00.03.44.841-00.03.51.207 	mrs. boswell enters the classroom with andrea and immediately calls out to tommy, a tough seven-year old kid who swings a whiffle bat at lenny, now seven, a sniffling, chubby kid.
0023_THE_BUTTERFLY_EFFECT_00.13.48.931-00.13.55.163 	evan doubles back, grabs lenny's arm and he and tommy drag lenny through the woods as fast as they can.
0023_THE_BUTTERFLY_EFFECT_00.21.02.359-00.21.04.698 	suddenly a foot reaches out and trips tommy.
0023_THE_BUTTERFLY_EFFECT_00.25.20.323-00.25.23.949 	as the flames near crockett, evan, seething with rage, stands up with clenched fists and charges tommy at full speed.
0023_THE_BUTTERFLY_EFFECT_00.32.43.901-00.32.46.682 	evan, beaten and bloody, reaches out with his last bit of strength, grabs tommy's foot and holds on.
0023_THE_BUTTERFLY_EFFECT_00.52.18.002-00.52.19.218 	tommy stands at the top of the basement stairs, looking down.
0023_THE_BUTTERFLY_EFFECT_01.09.10.724-01.09.12.146 	evan kicks tommy hard in the ribs.
0041_The_Sixth_Sense_00.44.47.910-00.44.49.273 	darren and tommy back away from the door as cole screams in terror at the top of his lungs.
1010_TITANIC_02.10.58.439-02.11.02.478 	fabrizio and tommy help jack pull up the bench.
1010_TITANIC_02.14.24.657-02.14.26.326 	in the crowd, jack turns to tommy.
1010_TITANIC_02.26.54.711-02.26.56.589 	murdoch shoots tommy.
1011_The_Help_00.03.33.009-00.03.34.397 	she pats the childs tommy.
1030_Public_Enemies_01.16.00.331-01.16.02.998 	from inside a vault, dillinger tosses a bag to tommy.
