0005_Chinatown_00.12.16.106-00.12.17.663 	he absently winds it, checks the time with his own watch.
0005_Chinatown_00.30.49.265-00.30.50.559 	gittes drives up a winding road, following a flood channel up into the parched hills.
0006_Clerks_00.46.07.329-00.46.09.827 	the customer winds up and takes a hard shot.
0007_DIE_NACHT_DES_JAEGERS_01.26.33.162-01.26.34.104 	above john's head, by winding and holding to ear, rachel pantomimes a watch.
0011_Gandhi_00.36.14.493-00.36.20.875 	but it is a line that winds through masses of prisoners, some with bowls, eating, some not yet in the line.
0011_Gandhi_02.24.16.202-02.24.20.449 	gandhi winds up what he has done, and starts to rise.
0013_Halloween_00.30.02.712-00.30.35.063 	the two men begin walking along the graveyard, winding around headstones and flowers.
0020_Raising_Arizona_00.10.58.747-00.11.04.386 	it starts down the long, winding road leading away from the trailer, kicking up dust.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.44.36.889-00.44.38.829 	a winded pippin, his face inches away from a large pile of horse droppings.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.45.43.595-01.45.46.083 	the fellowship step warily into the darkness of moria.a dank cavern, with winding steps leading deeper into the mountain.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.26.18.123-00.26.21.504 	shadowfax carried gandalf and pippin out of the gate and down the winding road towards the plains qf rohan.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.48.14.013-00.48.36.760 	as the trail of great fires slowly winds from peak to peak.
0026_The_Big_Fish_00.14.04.322-00.14.05.385 	dr. julius bennett (85) enters from the foyer, still winded from coming down the stairs.
0026_The_Big_Fish_00.50.34.980-00.50.53.831 	only edward is free to move, winding his way between the frozen bodies, ducking underneath arms to get closer and closer to this woman.
0027_The_Big_Lebowski_00.15.04.647-00.15.06.326 	a houseman with a rolled-up carpet on one shoulder goes down a stone walk that winds through the back lawn, past a swimming pool to a garage.
0032_The_Princess_Bride_01.29.58.313-01.30.01.797 	prince humperdinck, and he's so panicked he doesn't know whether to pee or wind his watch.
0046_Chasing_Amy_00.13.50.326-00.13.51.966 	alyssa winds up with another dart.
0050_Indiana_Jones_and_the_last_crusade_01.35.36.138-01.35.39.914 	as indy winds up to punch vogel he catches brody in the face on the backswing, then completes the movement and knocks vogel down.
1003_How_to_Lose_Friends_and_Alienate_People_01.23.39.198-01.23.40.618 	elena winds the window down.
1006_Slumdog_Millionaire_00.07.18.252-00.07.20.458 	the security guards struggle to follow the tiny boys as they wind and weave through the filthy, narrow streets between shanty buildings.
1006_Slumdog_Millionaire_00.39.11.548-00.39.21.442 	the train winds its way through lush forests and across wide expanses of indian countryside.
1006_Slumdog_Millionaire_00.54.28.237-00.54.33.173 	salim and jamal wind their way down pila street.
1009_Spider-Man3_01.42.58.596-01.43.06.852 	as if in a trance, brock is drawn to the screams of his nemesis, pushing open a door that leads to a staircase winding around the walls of the bell tower.
1010_TITANIC_01.16.11.992-01.16.17.938 	outside, jack climbs a railing, then hops onto a deck where a boy wearing a cap winds a string around a top.
1017_Bad_Santa_00.15.55.698-00.15.58.825 	she wanders away as willie winds back through his phone messages.
1017_Bad_Santa_01.07.56.683-01.08.00.805 	willie winds the driver's window down and hands the kid a letter.
1028_No_Reservations_00.45.19.683-00.45.25.538 	nick winds the spaghetti around his fork and begins to eat.
1030_Public_Enemies_01.47.23.376-01.47.25.043 	he sneers and winds up with his fist.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.32.35.429-01.32.43.505 	the track winds along a wooded valley.
1037_The_Curious_Case_Of_Benjamin_Button_02.10.28.106-02.10.32.101 	wearing a headscarf, daisy rides as benjamin half down the winding road on his motorcycle.
1038_The_Great_Gatsby_01.18.06.092-01.18.08.426 	the party winds down.
1047_Defiance_01.57.25.663-01.57.32.912 	the winding column of men, women, and children emerges from the wooded area into bright sunshine and a flowing stream.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_01.58.40.979-01.58.46.050 	it extends with a chain which winds itself around ron's legs, tripping him up and binding his ankles together.
1052_Harry_Potter_and_the_order_of_phoenix_00.09.42.711-00.09.47.860 	following the line of the river thames as it winds through the city.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.36.25.188-00.36.31.473 	in the distance, harry can see a river winding its way down the valley, the strong wings of the hippogriff carrying them even higher.
1060_Yes_man_00.09.29.289-00.09.34.360 	he winds up his window as a guy selling oranges approaches.
1060_Yes_man_00.39.41.573-00.39.45.059 	carl winds sticky tape around his head.
1060_Yes_man_01.39.44.000-01.39.59.658 	carl and allison skate down the winding road on their bellies.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.21.59.000-00.22.15.400 	takes flight, clumsily it buffets to rooftops and chimneypots before soaring into the air with the thames winding far below.
2004_Juno_00.11.42.564-00.11.46.135 	and winds a lock around it.
