0010_Frau_Ohne_Gewissen_00.35.28.336-00.35.30.144 	neff is zipping up his briefcase.
0051_Men_in_black_00.05.57.845-00.05.59.377 	he pulls out a small laser device, which he zips neatly down the front of the man's clothes.
1003_How_to_Lose_Friends_and_Alienate_People_00.37.16.038-00.37.17.389 	sidney zips up his fly as he rounds a corner into a white- walled corridor.
1007_Spider-Man1_00.19.48.386-00.19.53.645 	he sets off down the street after the pretty young red head who is wearing calfland's boots, short skirt and a zipped cardigan.
1007_Spider-Man1_00.44.40.658-00.44.49.591 	he runs into a dark alley way, pulls off his zipped up jogging top, put on his balaclava.
1009_Spider-Man3_00.50.12.293-00.50.18.536 	flint is zipping up a bag of cash as spider-man drops through the hole in the roof of the van behind him.
1011_The_Help_00.20.10.386-00.20.11.833 	her mother zips her up roughly.
1014_2012_00.29.38.177-00.29.41.669 	noah zips the door closed on jackson.
1024_Identity_Thief_00.24.35.511-00.24.38.178 	sandy puts his seat belt on as the woman zips out of her parking space.
1037_The_Curious_Case_Of_Benjamin_Button_02.21.23.901-02.21.27.851 	zipping up his jacket, benjamin goes to his motorcycle in the cold, blue light of dawn.
1039_The_Queen_01.14.17.321-01.14.24.821 	friday, a female servant zips up the back of the queen's black dress, then, hands her a pearl necklace.
1042_Up_In_The_Air_00.05.57.215-00.06.01.247 	he zips up the suitcase, pulls out its handle, and drags it out of the room, switching off the light as he goes.
1047_Defiance_02.01.53.106-02.01.55.020 	more germans zip across the field and take up positions just yards away from them.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.26.50.936-00.27.02.013 	he zips up her dress.
