21_JUMP_STREET.srt  	21_JUMP_STREET_DVS475  	01:17:40,00 --> 01:17:49,50  	They hurry on stage and break up the fight.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS163  	00:43:28,00 --> 00:43:32,50  	He hurries past SOMEONE to the door.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS296  	01:07:20,00 --> 01:07:27,50  	Fighting tears he holds a towel to his neck and hurries out.
500DAYSOFSUMMER.srt  	500DAYSOFSUMMER_DVS60  	00:04:15,00 --> 00:04:19,50  	She hurries in.
500DAYSOFSUMMER.srt  	500DAYSOFSUMMER_DVS75  	00:09:55,00 --> 00:10:00,50  	SOMEONE hurries in as well.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS227  	00:18:56,00 --> 00:19:03,50  	Elsewhere, SOMEONE hurries down a debris-covered street, as two of his armed men flank him.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS241  	00:19:52,00 --> 00:20:03,50  	He and his men hurry inside.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS287  	00:24:43,00 --> 00:24:48,50  	On foot, SOMEONE hurries into a busy street.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS443  	00:42:42,00 --> 00:42:48,50  	She hurries toward SOMEONE.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS724  	01:13:12,00 --> 01:13:17,50  	Now, SOMEONE hurries to her dad.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS805  	01:20:35,00 --> 01:20:41,50  	Outside, SOMEONE hurries up the helicopter's loading ramp.
A_THOUSAND_WORDS.srt  	A_THOUSAND_WORDS_DVS274  	00:51:35,00 --> 00:51:41,50  	As SOMEONE steps toward the door, SOMEONE hurries after her and grabs her arm.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt  	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS70  	00:07:31,00 --> 00:07:37,50  	Now on the dock, SOMEONE hurries after a couple.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt  	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS112  	00:12:02,00 --> 00:12:09,50  	Hearing the sounds, SOMEONE hurries back down the steps and presses his ear to a door.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt  	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS384  	00:53:52,00 --> 00:53:57,50  	He hurries away.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt  	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS604  	01:23:45,00 --> 01:24:02,50  	He regains his footing and hurries on to a vampire turning a hand wheel.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt  	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS635  	01:29:38,00 --> 01:29:55,50  	SOMEONE and SOMEONE fall to the structure under the track then hurry along its beams.
BRUNO.srt  	BRUNO_DVS89  	00:20:03,00 --> 00:20:09,50  	On the street, Harrison Ford hurries away from SOMEONE.
BURLESQUE.srt  	BURLESQUE_DVS438  	01:00:33,00 --> 01:00:39,50  	Now SOMEONE hurries into the dressing room with a giddy smile.
BURLESQUE.srt  	BURLESQUE_DVS657  	01:41:28,00 --> 01:41:32,50  	SOMEONE hurries on.
CAPTAIN_AMERICA.srt  	CAPTAIN_AMERICA_DVS24  	00:03:42,00 --> 00:03:54,50  	He hurries into a castle tower lit by torches, then bars the door.
CHASING_MAVERICKS.srt  	CHASING_MAVERICKS_DVS81  	00:06:37,00 --> 00:06:42,50  	He looks off then hurries down the hall.
CHASING_MAVERICKS.srt  	CHASING_MAVERICKS_DVS495  	00:48:10,00 --> 00:48:15,50  	They hurry out of the room to find SOMEONE holding the baby.
