30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS92  	00:22:25,00 --> 00:22:32,50  	His masked assailant covers his nose and mouth with a white rag until he passes out.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS95  	00:22:38,00 --> 00:22:43,50  	A blurry view shows the masked kidnapper.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS161  	00:14:47,00 --> 00:14:54,50  	Two masked snipers dressed in all black, survey from the courthouse rooftop,
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS189  	00:16:51,00 --> 00:16:55,50  	and the masked men pour out the back.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS191  	00:16:56,00 --> 00:17:02,50  	A masked man tosses a duffel bag to his dark-haired boss.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS193  	00:17:05,00 --> 00:17:11,50  	The masked men charge up the stairs.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS196  	00:17:14,00 --> 00:17:21,50  	Sitting up, an injured soldier reaches for his weapon as the masked men enter.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS204  	00:17:38,00 --> 00:17:45,50  	In the courtroom, the masked men scour the SOMEONE, aiming flashlight-mounted rifles.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS206  	00:17:46,00 --> 00:17:51,50  	They continue searching as the masked brunette enters.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS209  	00:17:58,00 --> 00:18:06,50  	The masked woman mercilessly executes an injured civilian and pieces of ceiling sprinkle down.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS378  	00:34:48,00 --> 00:34:53,50  	Outside, three masked men break a door open.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS716  	01:12:29,00 --> 01:12:36,50  	Moving forward, they approach two masked guards, both facing the roof's edge.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS723  	01:13:05,00 --> 01:13:14,50  	On the ground, two men carry a case of uranium, as a masked man barks orders.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt  	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS308  	00:44:33,00 --> 00:44:45,50  	He ducks another, then slashes his attacker's masked mouth creating a spectacular spray of gore.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt  	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS354  	00:50:41,00 --> 00:50:48,50  	SOMEONE stands nearby, as do several masked vampires.
CAPTAIN_AMERICA.srt  	CAPTAIN_AMERICA_DVS308  	00:58:39,00 --> 00:58:43,50  	He runs and leaps into the back of the last transport truck where inside, two masked
CAPTAIN_AMERICA.srt  	CAPTAIN_AMERICA_DVS452  	01:20:47,00 --> 01:21:01,50  	SOMEONE pulls out the masked driver and hurls him through the air.
CAPTAIN_AMERICA.srt  	CAPTAIN_AMERICA_DVS500  	01:28:29,00 --> 01:28:37,50  	Standing beneath the wing of a huge airplane, he addresses a small group of masked pilots.
