21_JUMP_STREET.srt  	21_JUMP_STREET_DVS56  	00:05:54,00 --> 00:05:58,50  	He sees a biker gang.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS150  	00:23:42,00 --> 00:23:47,50  	He kisses her, then sees the newcomers.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS178  	00:30:27,00 --> 00:30:36,50  	He sees the multiple choice answers as, you're an idiot.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS208  	00:35:44,00 --> 00:35:50,50  	SOMEONE sees a robotic furry kitty head on the coach's shoulders.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS491  	01:18:41,00 --> 01:18:49,50  	In her bedroom SOMEONE picks up her vibrating cell phone and sees an incoming call from Doug.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS622  	01:34:23,00 --> 01:34:28,50  	Outside they see SOMEONE speed off in a silver stretch limo.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS711  	01:44:41,00 --> 01:44:48,50  	Two hands clasp in a soul brother shake and we see a compilation of explosions.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS25  	00:04:41,00 --> 00:04:45,50  	He sees the delivery guy.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS98  	00:22:56,00 --> 00:23:02,50  	SOMEONE sees a wired vest underneath his green army jacket.
30_MINUTES_OR_LESS.srt  	30_MINUTES_OR_LESS_DVS338  	01:15:30,00 --> 01:15:35,50  	SOMEONE sits up and sees them getting into the Mustang.
40_YEAR_OLD_VIRGIN.srt  	40_YEAR_OLD_VIRGIN_DVS73  	00:40:14,00 --> 00:40:21,50  	They see the hot salesgirl working nearby.
500DAYSOFSUMMER.srt  	500DAYSOFSUMMER_DVS180  	00:31:48,00 --> 00:31:55,50  	The reflection he sees is Harrison Ford as SOMEONE Solo winking back at him.
500DAYSOFSUMMER.srt  	500DAYSOFSUMMER_DVS205  	00:34:26,00 --> 00:34:34,50  	Mackenzie sees SOMEONE singing on the phone.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS231  	00:19:18,00 --> 00:19:23,50  	SOMEONE sees SOMEONE and his crew.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS294  	00:25:24,00 --> 00:25:30,50  	In his mirror, he sees the armored truck right on his tail.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS505  	00:49:06,00 --> 00:49:11,50  	SOMEONE sees SOMEONE's knife behind his back.
