21_JUMP_STREET.srt  	21_JUMP_STREET_DVS477  	01:17:56,00 --> 01:18:02,50  	SOMEONE and SOMEONE share a disheartened gaze.
21_JUMP_STREET.srt  	21_JUMP_STREET_DVS592  	01:32:25,00 --> 01:32:30,50  	Behind the couch SOMEONE and SOMEONE share a look.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS85  	00:07:06,00 --> 00:07:12,50  	He and SOMEONE share a smile, then look away.
A_GOOD_DAY_TO_DIE_HARD.srt  	A_GOOD_DAY_TO_DIE_HARD_DVS775  	01:17:02,00 --> 01:17:08,50  	Slowly turning, SOMEONE shares a tense look with his dad.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt  	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS224  	00:32:02,00 --> 00:32:09,50  	The reach a house gate and face each other, sharing a warm smile.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt  	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS341  	00:48:49,00 --> 00:48:56,50  	They share a loving smile then SOMEONE cradles SOMEONE's cheeks.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt  	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS463  	01:05:56,00 --> 01:06:03,50  	SOMEONE blows a toy horn and they share a mirthful smile.
BURLESQUE.srt  	BURLESQUE_DVS65  	00:05:57,00 --> 00:06:05,50  	They share a smile.
BURLESQUE.srt  	BURLESQUE_DVS430  	00:59:22,00 --> 00:59:28,50  	At home, SOMEONE and SOMEONE share a comfortable laugh in the living room.
BURLESQUE.srt  	BURLESQUE_DVS498  	01:09:19,00 --> 01:09:26,50  	At his home, they share an intimate laugh as they sit on the couch by candlelight.
BURLESQUE.srt  	BURLESQUE_DVS606  	01:28:58,00 --> 01:29:04,50  	He kisses her smooth neck and they share a peck on the lips.
BURLESQUE.srt  	BURLESQUE_DVS685  	01:45:49,00 --> 01:45:55,50  	They share a grin and SOMEONE good-naturedly smacks SOMEONE's leg.
CHASING_MAVERICKS.srt  	CHASING_MAVERICKS_DVS276  	00:21:06,00 --> 00:21:12,50  	Two others share a broad section of the wave's foamy face.
CHRONICLE.srt  	CHRONICLE_DVS262  	00:40:28,00 --> 00:40:34,50  	Later, we share the camera's perspective as SOMEONE carries it downstairs.
CINDERELLA_MAN.srt  	CINDERELLA_MAN_DVS126  	00:28:24,00 --> 00:28:34,50  	They share a deep kiss then warm smiles.
CINDERELLA_MAN.srt  	CINDERELLA_MAN_DVS445  	01:45:57,00 --> 01:46:07,50  	SOMEONE's lip part and they share a long look between shallow breaths.
CINDERELLA_MAN.srt  	CINDERELLA_MAN_DVS478  	01:50:01,00 --> 01:50:06,50  	They share a smile and SOMEONE exits.
COLOMBIANA.srt  	COLOMBIANA_DVS305  	00:26:10,00 --> 00:26:15,50  	and shares a brief uneasy look with his mother.
DEAR_JOHN.srt  	DEAR_JOHN_DVS140  	00:22:41,00 --> 00:22:46,50  	He spots her, and they share a warm smile.
DEAR_JOHN.srt  	DEAR_JOHN_DVS147  	00:23:55,00 --> 00:24:04,50  	He turns her to face him, and they share a tender kiss.
DEAR_JOHN.srt  	DEAR_JOHN_DVS395  	01:01:04,00 --> 01:01:10,50  	SOMEONE shares a quick look with SOMEONE, who turns away.
DEAR_JOHN.srt  	DEAR_JOHN_DVS774  	01:41:40,00 --> 01:41:44,50  	and they share a smile.
DINNER_FOR_SCHMUCKS.srt  	DINNER_FOR_SCHMUCKS_DVS323  	01:18:22,00 --> 01:18:33,50  	He stares at the pair of mice in the pergola who are posed sucking on a piece of cheese through straws like teenagers sharing a milkshake.
