21_JUMP_STREET.srt 	21_JUMP_STREET_DVS62 	00:06:21,00 --> 00:06:26,50 	the rookies approach the biker gang.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS116 	00:16:56,00 --> 00:17:02,50 	passing the chapels few remaining pews he approaches the alter
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS221 	00:37:42,00 --> 00:37:48,50 	the drama teacher approaches someone.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS545 	01:24:02,00 --> 01:24:11,50 	someone ends a chat with a colleague and approaches someone.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS93 	00:22:29,00 --> 00:22:36,50 	someone approaches with a revolver.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS110 	00:27:34,00 --> 00:27:38,50 	someone approaches him.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS175 	00:46:10,00 --> 00:46:15,50 	someone approaches the tellers.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS219 	00:52:38,00 --> 00:52:42,50 	someone approaches a bystander.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS348 	01:16:59,00 --> 01:17:03,50 	the van approaches.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS75 	00:40:25,00 --> 00:40:32,50 	someone slowly approaches her, his mouth slightly agape.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS92 	00:47:41,00 --> 00:47:47,50 	someone approaches the stock room.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS101 	00:53:43,00 --> 00:53:49,50 	he approaches a cute young woman.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS110 	00:56:58,00 --> 00:57:03,50 	bourne approaches someone at a desk.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS197 	01:37:46,00 --> 01:37:52,50 	as they resume kissing, someone approaches the bar.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS126 	00:25:03,00 --> 00:25:07,50 	and approaches someone.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS175 	00:31:29,00 --> 00:31:33,50 	someone switches off the bathroom light and approaches the bed.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS310 	00:54:41,00 --> 00:54:46,50 	the new assistant approaches someone's workstation.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS51 	00:03:50,00 --> 00:03:57,50 	now, the brunette enters a large modern apartment and approaches someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS314 	00:27:42,00 --> 00:27:50,50 	someone keeps his eyes on the armored truck ahead, rapidly approaching he collides with the rear end.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS419 	00:40:26,00 --> 00:40:32,50 	someone approaches a worker.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS509 	00:49:51,00 --> 00:49:56,50 	someone shrugs and approaches someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS537 	00:52:14,00 --> 00:52:21,50 	as it swiftly approaches them, someone signals to his pacing son.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS702 	01:11:47,00 --> 01:11:52,50 	shifting her weight, she approaches her father.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS716 	01:12:29,00 --> 01:12:36,50 	moving forward, they approach two masked guards, both facing the roof's edge.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS900 	01:26:55,00 --> 01:27:07,50 	someone sees the helicopter rapidly approaching.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS178 	00:24:15,00 --> 00:24:29,50 	at the end of the street, someone approaches a pharmacy in his long coat and stovepipe hat.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS215 	00:29:54,00 --> 00:30:07,50 	in the dusty air, he spies a shape approaching and throws his ax.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS299 	00:43:29,00 --> 00:43:34,50 	cautiously, he approaches someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS303 	00:44:06,00 --> 00:44:13,50 	as he kisses a woman leaning out of the window, he notices a team of riders approaching.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS306 	00:44:21,00 --> 00:44:32,50 	as someone approaches the group, a rider hops down from his horse and disappears.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS334 	00:47:42,00 --> 00:47:48,50 	as he unlocks the front door, someone approaches him from behind.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS371 	00:52:36,00 --> 00:52:48,50 	they stand on the deck of their humble vessel as it approaches a fleet of steam-powered riverboats crowding a bustling harbor.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS377 	00:53:15,00 --> 00:53:21,50 	at night, the carriage approaches the plantation house.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS406 	00:58:39,00 --> 00:58:43,50 	a team of horsemen approach.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS442 	01:03:50,00 --> 01:03:57,50 	a gracefully aging someone approaches the desk with a meal on a tray.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS570 	01:19:33,00 --> 01:19:50,50 	now on a narrow path in the woods, someone, someone and a few underlings approach on horseback.
BAD_TEACHER.srt 	BAD_TEACHER_DVS58 	00:18:08,00 --> 00:18:13,50 	someone approaches someone's desk.
BAD_TEACHER.srt 	BAD_TEACHER_DVS102 	00:27:48,00 --> 00:27:53,50 	she approaches a couple.
BAD_TEACHER.srt 	BAD_TEACHER_DVS254 	01:08:49,00 --> 01:08:59,50 	she opens his mouth to receive his approaching lips but he detours upwards and plants a kiss on her forehead
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS374 	00:59:37,00 --> 00:59:42,50 	some guys in varsity jackets approach.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS511 	01:20:49,00 --> 01:20:56,50 	he pats his blonde partner's shoulder and they approach the side door, pistols in hand.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS553 	01:25:59,00 --> 01:26:04,50 	backstage, a worried someone approaches someone.
BLINDDATING.srt 	BLINDDATING_DVS227 	00:55:47,00 --> 00:55:54,50 	the someone approaches.
BLINDDATING.srt 	BLINDDATING_DVS262 	01:04:38,00 --> 01:04:44,50 	later, they approach the clinic together.
BLINDDATING.srt 	BLINDDATING_DVS278 	01:09:41,00 --> 01:10:00,50 	someone approaches someone's parents.
BLINDDATING.srt 	BLINDDATING_DVS287 	01:11:38,00 --> 01:11:47,50 	someone approaches the family.
BLINDDATING.srt 	BLINDDATING_DVS310 	01:15:51,00 --> 01:16:02,50 	someone eagerly reaches for someone to approach.
BRUNO.srt 	BRUNO_DVS256 	01:11:35,00 --> 01:11:43,50 	someone walks though the audience, and approaches the octagon.
BURLESQUE.srt 	BURLESQUE_DVS368 	00:50:42,00 --> 00:50:47,50 	as the dancers disperse, someone approaches someone.
BURLESQUE.srt 	BURLESQUE_DVS605 	01:28:49,00 --> 01:28:57,50 	with a smoldering gaze, he steps out of the bedroom and approaches someone, then gently brushes her long blonde hair off her shoulder.
BURLESQUE.srt 	BURLESQUE_DVS659 	01:41:33,00 --> 01:41:38,50 	in the dressing room, someone approaches someone.
BURLESQUE.srt 	BURLESQUE_DVS688 	01:45:57,00 --> 01:46:03,50 	as she approaches someone, someone turns back to the bar.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS137 	00:23:49,00 --> 00:23:55,50 	as the other men scatter, someone leaps onto the grenade as someone approaches him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS154 	00:27:55,00 --> 00:28:01,50 	someone approaches someone,
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS389 	01:11:21,00 --> 01:11:25,50 	someone stalks through the crowd and approaches someone who salutes him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS408 	01:14:27,00 --> 01:14:32,50 	someone approaches someone who sits alone at the bar.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS419 	01:16:09,00 --> 01:16:16,50 	at headquarters, someone approaches a blonde woman reading a newspaper.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS440 	01:19:40,00 --> 01:19:46,50 	approaching in his long, black convertible, someone stops and grimaces as he watches the hydra factory burn.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS446 	01:20:09,00 --> 01:20:19,50 	someone signals as a hydra tank approaches on a forest road.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS467 	01:23:30,00 --> 01:23:36,50 	as someone approaches the hallway, doors slide shut.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS499 	01:28:24,00 --> 01:28:31,50 	at a hydra airfield, someone approaches a stool bearing  a bottle of white wine and a glass.
