500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS97 	00:15:52,00 --> 00:15:56,50 	she blinks in puzzled inquiry.
BAD_TEACHER.srt 	BAD_TEACHER_DVS197 	00:55:40,00 --> 00:55:45,50 	someone blinks a few times.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS635 	01:38:03,00 --> 01:38:09,50 	blinking resignedly, someone looks at someone who snatches the gun away.
BLINDDATING.srt 	BLINDDATING_DVS144 	00:39:06,00 --> 00:39:19,50 	someone eyes blink open and her lips remain parted.
BRUNO.srt 	BRUNO_DVS69 	00:15:08,00 --> 00:15:13,50 	he blinks thoughtfully.
BRUNO.srt 	BRUNO_DVS216 	01:00:13,00 --> 01:00:20,50 	blinking uncomfortably, someone puffs a cigarette and drops his gaze.
BURLESQUE.srt 	BURLESQUE_DVS356 	00:49:19,00 --> 00:49:26,50 	someone strikes a pose with her arms in the air and the stage lights blink off.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS559 	01:37:36,00 --> 01:37:46,50 	on a display screen, an image of north america appears with a blinking bull's-eye over new york city.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS727 	01:12:21,00 --> 01:12:26,50 	someone's brow knits and he blinks at her woundedly.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1143 	01:49:05,00 --> 01:49:09,50 	he blinks pensively.
COLOMBIANA.srt 	COLOMBIANA_DVS360 	00:32:47,00 --> 00:32:52,50 	as she leaves, the cell block lights blink out.
COLOMBIANA.srt 	COLOMBIANA_DVS714 	01:08:10,00 --> 01:08:16,50 	blinking her woeful eyes, she opens her mouth to speak
COLOMBIANA.srt 	COLOMBIANA_DVS1072 	01:40:55,00 --> 01:41:03,50 	blinking her weary eyes, someone lowers her cell from her ear and sucks in an anguished breath.
DEAR_JOHN.srt 	DEAR_JOHN_DVS151 	00:24:15,00 --> 00:24:20,50 	someone slows, blinking.
DEAR_JOHN.srt 	DEAR_JOHN_DVS600 	01:23:12,00 --> 01:23:17,50 	his gaze shifts and he blinks sadly.
DEAR_JOHN.srt 	DEAR_JOHN_DVS671 	01:30:44,00 --> 01:30:50,50 	he lifts his head and glances at someone, blinking pensively.
DEAR_JOHN.srt 	DEAR_JOHN_DVS726 	01:37:00,00 --> 01:37:06,50 	someone joins him, her dark-lashed eyes blinking forlornly.
DISTRICT_9.srt 	DISTRICT_9_DVS835 	01:38:20,00 --> 01:38:40,50 	in the module, someone's son watches lights blink on throughout the interior.
DISTRICT_9.srt 	DISTRICT_9_DVS848 	01:40:26,00 --> 01:40:45,50 	his son hops up on his knee as the screen blinks to life.
