21_JUMP_STREET.srt 	21_JUMP_STREET_DVS475 	01:17:40,00 --> 01:17:49,50 	they hurry on stage and break up the fight.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS285 	00:53:22,00 --> 00:53:26,50 	subtitles read, "he is broken, more than broken, he is alone".
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS285 	00:53:22,00 --> 00:53:26,50 	subtitles read, "he is broken, more than broken, he is alone".
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS55 	00:04:08,00 --> 00:04:15,50 	without breaking his stride, he lifts a napkin on the counter and takes a gun hidden beneath it.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS201 	00:17:31,00 --> 00:17:36,50 	the old man struggles to break free.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS378 	00:34:48,00 --> 00:34:53,50 	outside, three masked men break a door open.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS547 	00:53:10,00 --> 00:53:16,50 	they break through the platform and into a red plastic shoot.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS550 	00:53:22,00 --> 00:53:32,50 	the pair emerge from the tube, and break through several more wooden platforms before landing in a large metal dumpster of cardboard and plastic wrapping.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS885 	01:26:12,00 --> 01:26:18,50 	the truck swings into the building's side and breaks off from the chopper.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS72 	00:19:42,00 --> 00:19:49,50 	as someone walks away, two leaves break away from the top of the tree, then drift to the ground.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS609 	01:25:30,00 --> 01:25:49,50 	someone breaks the ax-handle over his knee.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS119 	00:16:25,00 --> 00:16:35,50 	the vehicle breaks the gate and speeds off.
BURLESQUE.srt 	BURLESQUE_DVS174 	00:25:10,00 --> 00:25:20,50 	someone finds her door broken in.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS263 	00:20:23,00 --> 00:20:28,50 	a cleanly breaking wave forms a long tube.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS430 	00:40:46,00 --> 00:40:53,50 	the veteran surfer lies flat on the board and busts through the top portion as it breaks.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS690 	01:07:18,00 --> 01:07:24,50 	now, pitch-black waves send up snow-white foam as they break.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS915 	01:29:42,00 --> 01:29:50,50 	it curls into a barrel as it breaks and sends up massive blasts of foam and spray.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS980 	01:36:07,00 --> 01:36:14,50 	someone follows, paddling up the wall of water and over the lip just seconds before it breaks.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1008 	01:38:03,00 --> 01:38:07,50 	it breaks too fast.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1010 	01:38:18,00 --> 01:38:23,50 	now, the waves break one right after another.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1016 	01:38:49,00 --> 01:38:57,50 	as the 30 foot monster starts to break, the group paddles up and over it in the someone of time.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1105 	01:46:05,00 --> 01:46:11,50 	as he reaches the bottom, it breaks right behind him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS19 	00:04:03,00 --> 00:04:15,50 	as the woman lowers her gaze, he breaks into a smile.
COLOMBIANA.srt 	COLOMBIANA_DVS188 	00:16:30,00 --> 00:16:35,50 	noticing it, she breaks into a run.
COLOMBIANA.srt 	COLOMBIANA_DVS443 	00:39:08,00 --> 00:39:12,50 	she breaks into a sprint.
COLOMBIANA.srt 	COLOMBIANA_DVS630 	00:59:24,00 --> 00:59:30,50 	her head breaks the water's surface and she peers into the courtyard.
COLOMBIANA.srt 	COLOMBIANA_DVS702 	01:06:06,00 --> 01:06:13,50 	she breaks into a smile.
COLOMBIANA.srt 	COLOMBIANA_DVS1028 	01:37:22,00 --> 01:37:32,50 	she wraps a towel around his gun wielding wrist and pulls down as if operating a lever, using her own shoulder as a fulcrum to break his arm.
COLOMBIANA.srt 	COLOMBIANA_DVS1037 	01:37:51,00 --> 01:37:58,50 	he backs her into a wall, breaks the hold, and hurls her aside.
DEAR_JOHN.srt 	DEAR_JOHN_DVS118 	00:17:56,00 --> 00:18:05,50 	at the beach, someone paddles his surfboard out over the breaking waves.
DEAR_JOHN.srt 	DEAR_JOHN_DVS119 	00:18:03,00 --> 00:18:17,50 	later, he paddles with a flow of a swelling wave, as its foaming crest reaches his board, he gets to his feet and surfs it until it breaks.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS280 	01:10:09,00 --> 01:10:19,50 	she smashes off a wing mirror then breaks the passenger's window before breaking the headlights and pounding the bonnet with a barrier pole.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS280 	01:10:09,00 --> 01:10:19,50 	she smashes off a wing mirror then breaks the passenger's window before breaking the headlights and pounding the bonnet with a barrier pole.
EASY_A.srt 	EASY_A_DVS190 	00:58:22,00 --> 00:58:29,50 	she throws a photo of herself with her husband into a box, breaking the frame.
FLIGHT.srt 	FLIGHT_DVS135 	00:26:05,00 --> 00:26:14,50 	the broken off spire from the church lies some distance away from an ambulance, as rescue workers help survivors.
FLIGHT.srt 	FLIGHT_DVS140 	00:26:29,00 --> 00:26:37,50 	the tagline reads, breaking news.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS61 	00:16:11,00 --> 00:16:22,50 	as they spring up and break into another set of moves, the dozens of young people join them.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS36 	00:06:25,00 --> 00:06:31,50 	in a flash, his fist breaks the bottle.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS110 	00:18:08,00 --> 00:18:31,50 	facing him, the rider breaks into a march.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS390 	00:57:59,00 --> 00:58:04,50 	he breaks it in half.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS392 	00:58:18,00 --> 00:58:22,50 	he breaks off a piece for someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS408 	00:59:44,00 --> 00:59:54,50 	as it pulls taut, it breaks from his skull with a fiery flash.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS566 	01:21:18,00 --> 01:21:51,50 	she weaves around it without breaking speed.
GREEN_ZONE.srt 	GREEN_ZONE_DVS79 	00:21:10,00 --> 00:21:51,50 	a white suv charges up the street then breaks by the man in the taupe suit.
IN_TIME.srt 	IN_TIME_DVS37 	00:04:16,00 --> 00:04:23,50 	turning a corner, someone checks his body clock, then breaks into a run.
IN_TIME.srt 	IN_TIME_DVS88 	00:09:44,00 --> 00:09:56,50 	the two men reach a door and someone breaks a chain locking it shut.
IN_TIME.srt 	IN_TIME_DVS748 	01:19:10,00 --> 01:19:21,50 	without breaking his stride, someone leaps from one rooftop to another.
IN_TIME.srt 	IN_TIME_DVS816 	01:26:33,00 --> 01:27:01,50 	without breaking eye contact with someone, someone draws a gun from his boot and shoots the underlings.
IRON_MAN_2.srt 	IRON_MAN_2_DVS456 	01:23:46,00 --> 01:24:00,50 	he connects cables to the box, then breaks a hole through the living room floor above into the ceiling of his laboratory.
