21_JUMP_STREET.srt 	21_JUMP_STREET_DVS369 	01:00:56,00 --> 01:01:03,50 	bringing up an email account he finds several messages from cooldeets88.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS628 	01:34:51,00 --> 01:34:58,50 	the bikers black limo follows and the cops white limo brings up the rear.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS67 	00:06:09,00 --> 00:06:14,50 	a waitress brings two plates.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS396 	00:36:06,00 --> 00:36:11,50 	as they arrive in a shadowy market with closed doors, someone brings someone to a bench.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS290 	00:42:42,00 --> 00:42:50,50 	someone brings down his ax.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS294 	00:43:10,00 --> 00:43:18,50 	as the vampire brings his flailing victim down, the young woman escapes down the alley.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS528 	01:14:36,00 --> 01:15:00,50 	now, union soldiers move in and out of wealthy residences bringing out bulging sacks and armloads of silver items.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS608 	01:24:36,00 --> 01:25:32,50 	he brings his ax down once more.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS250 	00:41:04,00 --> 00:41:09,50 	someone brings someone over to the table.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS426 	01:08:11,00 --> 01:08:16,50 	now, someone brings someone a wine cooler.
BLINDDATING.srt 	BLINDDATING_DVS250 	00:59:56,00 --> 01:00:01,50 	he brings wine glasses.
BLINDDATING.srt 	BLINDDATING_DVS301 	01:14:25,00 --> 01:14:37,50 	in the evening, they bring someone home.
BRUNO.srt 	BRUNO_DVS160 	00:44:25,00 --> 00:44:53,50 	now, a waitress brings him a whole other pie and an ice cream sundae.
BURLESQUE.srt 	BURLESQUE_DVS112 	00:14:59,00 --> 00:15:04,50 	as she brings the tray back to the bar, someone notices her.
BURLESQUE.srt 	BURLESQUE_DVS528 	01:13:30,00 --> 01:13:34,50 	someone brings costumes.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS454 	01:21:36,00 --> 01:21:41,50 	hydra guards bring over a dark-haired factory manager.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS178 	00:14:05,00 --> 00:14:10,50 	he brings his left foot up, then his right.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS798 	01:19:06,00 --> 01:19:12,50 	on an overcast day, someone brings a pizza to someone's house.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS801 	01:19:21,00 --> 01:19:25,50 	he brings the pizza in.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS855 	01:24:18,00 --> 01:24:22,50 	she brings him breakfast.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1080 	01:43:10,00 --> 01:43:16,50 	a deck hand brings the board and the photographer hands it down to someone.
CHRONICLE.srt 	CHRONICLE_DVS28 	00:03:45,00 --> 00:03:51,50 	a girl brings someone one.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS22 	00:04:40,00 --> 00:04:50,50 	with an adoring smile, his wife brings two snifters of brandy and hands him one.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS45 	00:09:23,00 --> 00:09:30,50 	as he lifts someone onto his lap, his wife brings over a meat slice on a plate.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS79 	00:14:43,00 --> 00:14:53,50 	someone puts his arm around his son and brings the boy outside.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS407 	01:38:19,00 --> 01:38:23,50 	someone brings a bottle of champagne.
COLOMBIANA.srt 	COLOMBIANA_DVS330 	00:28:57,00 --> 00:29:02,50 	in a parking lot, a cop brings lunch to his partner.
COLOMBIANA.srt 	COLOMBIANA_DVS358 	00:32:38,00 --> 00:32:47,50 	now a heavyset female guard brings a mug with a spoon in it to a cell where someone snores on a cot.
COLOMBIANA.srt 	COLOMBIANA_DVS799 	01:17:15,00 --> 01:17:21,50 	at his apartment, someone brings up his photo of someone on his phone.
DEAR_JOHN.srt 	DEAR_JOHN_DVS43 	00:05:43,00 --> 00:05:47,50 	someone brings someone a beer.
DEAR_JOHN.srt 	DEAR_JOHN_DVS113 	00:17:07,00 --> 00:17:11,50 	he brings out more.
DISTRICT_9.srt 	DISTRICT_9_DVS575 	01:07:58,00 --> 01:08:04,50 	the bald thug brings out a bag of weapons.
DISTRICT_9.srt 	DISTRICT_9_DVS689 	01:20:50,00 --> 01:21:00,50 	outside, someone brings someone to the pickup and forces him into the backseat.
DISTRICT_9.srt 	DISTRICT_9_DVS711 	01:23:39,00 --> 01:23:44,50 	now someone is brought before someone.
DISTRICT_9.srt 	DISTRICT_9_DVS849 	01:40:44,00 --> 01:40:48,50 	he brings up a blue planet.
FLIGHT.srt 	FLIGHT_DVS910 	01:48:07,00 --> 01:48:12,50 	he brings the bottle to his nose.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS183 	00:49:45,00 --> 00:49:52,50 	a waitress brings the check.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS252 	01:08:04,00 --> 01:08:09,50 	someone leans close, bringing her lips to him.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS255 	01:08:24,00 --> 01:08:31,50 	with someone between her legs someone brings one leg toward her chest.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS105 	00:59:40,00 --> 00:59:45,50 	a waitress brings a fresh round.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS160 	00:24:59,00 --> 00:25:05,50 	grabbing her wrist, he brings the gun to his head.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS465 	01:07:44,00 --> 01:07:49,50 	he brings them to a vast armory.
