A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS892 	01:26:34,00 --> 01:26:40,50 	someone helps someone to his feet, as burning someone rains down around them.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS380 	00:53:22,00 --> 00:53:31,50 	now, a window reflects burning candles and frames someone and someone as they walk up to the house.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS632 	01:28:54,00 --> 01:29:18,50 	now, as the train passes over the burning bridge, the track splits and the last railcar breaks loose from the train.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS514 	01:32:23,00 --> 01:32:44,50 	another trooper crashes into the burning wreck and sails off his bike.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS627 	01:45:17,00 --> 01:45:27,50 	someone picks up his shield and watches as the cube burns a hole through the deck, and plummets out of sight.
COLOMBIANA.srt 	COLOMBIANA_DVS549 	00:50:18,00 --> 00:50:23,50 	and candles burn throughout the cluttered space.
DISTRICT_9.srt 	DISTRICT_9_DVS515 	01:00:02,00 --> 01:00:07,50 	the setting sun burns orange beyond the shadowed urban home.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS62 	00:33:35,00 --> 00:33:42,50 	someone glances at the half burnt down joint, then guzzles from a crystal decanter.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS331 	00:50:13,00 --> 00:50:22,50 	now the rear wheel of someone's motorcycle burns rubber as it races past the tow truck, trailing a billow of smoke.
GREEN_ZONE.srt 	GREEN_ZONE_DVS451 	01:38:46,00 --> 01:39:07,50 	small fires burn here and there amid the tattered stalls.
HUGO.srt 	HUGO_DVS155 	00:21:20,00 --> 00:21:26,50 	claude takes a drag from his cigarette, burns his finger, and drops it.
IRON_MAN_2.srt 	IRON_MAN_2_DVS474 	01:26:04,00 --> 01:26:12,50 	firing from left to right toward the triangular core, the beam burns a line in the wall which drips with flames.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS94 	00:20:26,00 --> 00:20:33,50 	now, wrapped presents lie on a table as six candles burn on a menorah.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS184 	00:43:14,00 --> 00:43:22,50 	now they arrive at an open-air home similar to the boathouse, decked out with gauzy drapes and burning candles.
PROMETHEUS.srt 	PROMETHEUS_DVS569 	01:03:51,00 --> 01:04:00,50 	it sprays green blood, which burns through his helmet acidly.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS300 	01:02:15,00 --> 01:02:29,50 	as a circle of low red flames burns around him, someone scoops his ring-bearing hand upward, directing the
SUPER_8.srt 	SUPER_8_DVS141 	00:21:19,00 --> 00:21:25,50 	small fires burned throughout the vast crash site.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS401 	00:59:19,00 --> 00:59:25,50 	flames burn inside the unicorn as its cannons return fire.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS421 	01:00:55,00 --> 01:01:00,50 	sir someone slides down a line toward the burning deck.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS423 	01:01:06,00 --> 01:01:14,50 	sir someone picks up a piece of burning wood and lights a cannon, causing it to shoot backward and knock several pirates overboard.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS444 	01:04:47,00 --> 01:04:55,50 	on the burning ship the pirate stares down at sir someone who raises his sword against an attacker.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS471 	01:08:43,00 --> 01:08:50,50 	red someone darts around sir someone and kicks out the burning gunpowder.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS472 	01:08:47,00 --> 01:08:56,50 	it reignites then burns across the deck and down the ladder.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS474 	01:08:57,00 --> 01:09:04,50 	red someone again kicks out the burning gun powder.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS494 	01:11:02,00 --> 01:11:07,50 	someone watches as his burning ship tilts up,
THE_CALL.srt 	THE_CALL_DVS698 	00:53:44,00 --> 00:53:52,50 	the kidnapper watches as the burning man flails about.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1225 	02:09:06,00 --> 02:09:14,50 	the burning wreck now visible over her shoulder.
THOR.srt 	THOR_DVS160 	00:22:39,00 --> 00:22:46,50 	someone grapples with an ice giant who grips someone's arm searing the flesh as it burned.
THOR.srt 	THOR_DVS279 	00:37:28,00 --> 00:37:38,50 	back on asgard, someone, someone, someone, someone and someone gather in a chamber with a large pile of burning rocks in the middle.
ZOMBIELAND.srt 	ZOMBIELAND_DVS39 	00:03:38,00 --> 00:03:44,50 	as two of the infected chase him from a burning car.
