A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS446 	00:42:59,00 --> 00:43:05,50 	he caresses her cheek.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS121 	00:27:44,00 --> 00:27:49,50 	as she caresses the
COLOMBIANA.srt 	COLOMBIANA_DVS292 	00:24:25,00 --> 00:24:30,50 	she caresses someone's face.
DEAR_JOHN.srt 	DEAR_JOHN_DVS209 	00:33:11,00 --> 00:33:15,50 	he caresses her corn silk hair.
DEAR_JOHN.srt 	DEAR_JOHN_DVS311 	00:48:12,00 --> 00:48:25,50 	he rubs her hand with his chin, then she strokes the back of his head, fondle his ear, and caresses his cheek.
DEAR_JOHN.srt 	DEAR_JOHN_DVS367 	00:58:39,00 --> 00:58:44,50 	he caresses her hair, then lovingly kisses her.
DEAR_JOHN.srt 	DEAR_JOHN_DVS377 	00:59:44,00 --> 00:59:53,50 	he kisses her shoulder, then trails his lips from the tip of her chin, down her neck, and gently caresses her hair.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS249 	01:07:47,00 --> 01:07:56,50 	she pushes it open, caressing his chest and looks up at him coyly.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS257 	01:08:35,00 --> 01:08:49,50 	his hand caresses her back.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS354 	00:52:42,00 --> 00:52:48,50 	someone's fingers caress the cross hanging around his neck.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS619 	01:27:45,00 --> 01:27:51,50 	reaching past it, someone caresses the boy's cheek.
IN_TIME.srt 	IN_TIME_DVS783 	01:22:26,00 --> 01:22:33,50 	the gang leader steps in close to the traveler and lazily caresses his lapel.
IN_TIME.srt 	IN_TIME_DVS947 	01:39:41,00 --> 01:39:47,50 	he caresses her cheek, then leans in and kisses her.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS95 	00:20:30,00 --> 00:20:37,50 	someone awakes on the sofa and notices a lady's meaty fingers caressing his arm.
KARATE_KID.srt 	KARATE_KID_DVS1034 	01:23:50,00 --> 01:23:57,50 	the mother smiles at the man, then goes to her sleeping son.she kisses someone's forehead and caresses his cheek.
PROMETHEUS.srt 	PROMETHEUS_DVS530 	00:59:07,00 --> 00:59:13,50 	someone caresses his cheek then returns the kiss.
PROMETHEUS.srt 	PROMETHEUS_DVS854 	01:33:50,00 --> 01:33:55,50 	kneeling, she caresses his hand.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS186 	00:35:40,00 --> 00:36:03,50 	someone caresses their contents, then rejoins someone in bed.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS191 	00:36:33,00 --> 00:36:39,50 	his thumb caresses her cheek in a gently rhythm.
