21_JUMP_STREET.srt 	21_JUMP_STREET_DVS665 	01:40:08,00 --> 01:40:17,50 	someone clutches his bleeding shoulder.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS373 	01:07:43,00 --> 01:07:48,50 	clutching a present, someone goes inside.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS108 	00:11:39,00 --> 00:11:46,50 	weakly clutching his bruised side, he crosses to a desk where he finds his journal.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS179 	00:24:26,00 --> 00:24:32,50 	clutching the letter, he peers in through a window.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS291 	00:42:48,00 --> 00:42:53,50 	he slams her against a brick wall clutching her throat.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS309 	00:44:42,00 --> 00:45:03,50 	someone tries to stab his attacker, but the vampire clutches his wrist.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS511 	01:11:56,00 --> 01:12:16,50 	in the infantry below, a thin union soldier clutches a photo of a woman as he stands by the bearded general.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS609 	01:25:30,00 --> 01:25:49,50 	the steam dissipates to reveal someone clutching the ax handle.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS613 	01:26:08,00 --> 01:26:12,50 	someone clutches someone's collar.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS655 	01:32:49,00 --> 01:32:56,50 	clutching her left arm and breathing heavily, she notices a crate of garlic.
BRUNO.srt 	BRUNO_DVS258 	01:12:37,00 --> 01:12:47,50 	one man clutches his head in the octagon.
BURLESQUE.srt 	BURLESQUE_DVS728 	01:49:54,00 --> 01:50:00,50 	he clutches her shoulders, returning the embrace.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS226 	00:18:00,00 --> 00:18:05,50 	he hops onto the rear bumper, clutching the ladder.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS236 	00:18:45,00 --> 00:18:52,50 	still on the roof, someone clutches the front bar of the surfboard rack as he rides on his belly.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS361 	00:34:04,00 --> 00:34:10,50 	he leaves someone clutching the shovel by a large pile of someone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS521 	00:50:47,00 --> 00:50:54,50 	the water clears and someone spots the surfer clutching onto the rock.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1041 	01:40:27,00 --> 01:40:34,50 	someone clutches someone's arm as they watch the surf explode like a volcano.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1124 	01:47:39,00 --> 01:47:43,50 	someone clutches her throat.
COLOMBIANA.srt 	COLOMBIANA_DVS55 	00:03:21,00 --> 00:03:27,50 	someone clutches someone's hand between his.
COLOMBIANA.srt 	COLOMBIANA_DVS89 	00:06:57,00 --> 00:07:04,50 	he closes his eyes as he clutches his daughter, then opens them with a fearful look.
COLOMBIANA.srt 	COLOMBIANA_DVS691 	01:05:15,00 --> 01:05:22,50 	then draws it into her arms and clutches it against her chest.
DEAR_JOHN.srt 	DEAR_JOHN_DVS625 	01:25:13,00 --> 01:25:18,50 	she clutches both hands to her mouth and arches her brow.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS49 	00:13:17,00 --> 00:13:34,50 	both clutching their gyros they step out on a high rooftop overlooking manhattan.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS129 	00:35:09,00 --> 00:35:19,50 	now someone clutches a caricature of him and someone, as they burst into her apartment, kissing passionately.
