30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS312 	01:10:45,00 --> 01:10:51,50 	someone steps out and the mustang continues on down the dirt road.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS252 	00:47:22,00 --> 00:47:27,50 	he continues down the many flights of wooden stairs.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS331 	01:01:06,00 --> 01:01:11,50 	someone continues glumly down the train.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS492 	01:20:43,00 --> 01:20:51,50 	nighttime traffic continues to blur through the city at super speed.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS137 	00:13:07,00 --> 00:13:13,50 	fixing his suit jacket he continues downstairs.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS143 	00:13:26,00 --> 00:13:32,50 	the black sedans continue in an evenly spaced line.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS148 	00:13:54,00 --> 00:14:01,50 	the prisoners continue through two lines of darkly clad armed guards.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS156 	00:14:27,00 --> 00:14:34,50 	from overhead, the three black sedans round the corner and continue down a one-way street.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS181 	00:16:10,00 --> 00:16:17,50 	the three sedans remain still as the court session continues inside.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS206 	00:17:46,00 --> 00:17:51,50 	they continue searching as the masked brunette enters.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS260 	00:22:36,00 --> 00:22:49,50 	the chase continues on a narrow street between two rows of cars parked on an angle.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS273 	00:23:33,00 --> 00:23:37,50 	he continues down an onramp.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS285 	00:24:36,00 --> 00:24:44,50 	elsewhere, someone continues down a highway, shifting his glaring eyes between his mirror and the road.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS301 	00:26:23,00 --> 00:26:31,50 	ramping off the end, someone continues on top of more tractor-trailers stuck in standstill traffic.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS305 	00:26:50,00 --> 00:26:57,50 	speeds away from the halted traffic and continues the pursuit.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS508 	00:49:40,00 --> 00:49:47,50 	as someone turns to his thugs with a grin, someone continues sawing at his bond.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS525 	00:50:56,00 --> 00:51:08,50 	someone retreats from the ballroom, as someone and someone continue their barrage.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS807 	01:20:41,00 --> 01:20:47,50 	inside, the hoses continue releasing gas.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS825 	01:22:20,00 --> 01:22:27,50 	someone continues sprinting up the stairs, as someone climbs into the cargo hold.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS880 	01:25:50,00 --> 01:26:00,50 	someone continues to the opposite side.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS93 	00:10:27,00 --> 00:10:33,50 	he lingers for a moment then continues on.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS116 	00:12:35,00 --> 00:12:41,50 	she looks someone over then continues on down some stairs.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS404 	00:58:27,00 --> 00:58:39,50 	it loses a wheel as it speeds out, but continues down the dirt path.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS238 	00:38:49,00 --> 00:38:53,50 	the guard continues dancing.
BLINDDATING.srt 	BLINDDATING_DVS138 	00:38:00,00 --> 00:38:07,50 	someone smiles mischievously as they continue to dance.
BRUNO.srt 	BRUNO_DVS217 	01:00:58,00 --> 01:01:11,50 	someone continues to gaze upward.
BURLESQUE.srt 	BURLESQUE_DVS55 	00:05:22,00 --> 00:05:30,50 	later still, she xs out two more ads for singers and dancers as she continues down the boulevard.
BURLESQUE.srt 	BURLESQUE_DVS343 	00:47:05,00 --> 00:47:11,50 	as the curtain continues to drop, she opens her mouth.
BURLESQUE.srt 	BURLESQUE_DVS707 	01:47:45,00 --> 01:47:52,50 	the corner of someone's mouth twitches in a thoughtful smirk as she continues to watch someone in the mirror,
