21_JUMP_STREET.srt 	21_JUMP_STREET_DVS41 	00:04:38,00 --> 00:04:43,50 	the oddly matched recruits cover each other.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS216 	00:36:42,00 --> 00:36:47,50 	board covered with number 4.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS256 	00:44:13,00 --> 00:44:18,50 	someone covers a laugh.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS550 	01:25:01,00 --> 01:25:06,50 	he covers his face with his hands.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS92 	00:22:25,00 --> 00:22:32,50 	his masked assailant covers his nose and mouth with a white rag until he passes out.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS96 	00:22:43,00 --> 00:22:48,50 	duct tape covers the victim's mouth.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS307 	01:10:11,00 --> 01:10:30,50 	someone repeatedly pokes at someone's face, which is covered in a slayer t-shirt.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS131 	01:06:45,00 --> 01:06:53,50 	she covers her face.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS225 	01:50:20,00 --> 01:50:25,50 	he gets under the silky covers.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS650 	01:06:58,00 --> 01:07:05,50 	elsewhere, a dust covered gas mask lies among other piles of decrepit withering someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS815 	01:21:01,00 --> 01:21:11,50 	someone covers his head.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS344 	01:00:14,00 --> 01:00:19,50 	clear plastic sheeting covers bare shelves.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS353 	01:01:02,00 --> 01:01:06,50 	family photos cover a shelf.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS360 	01:02:08,00 --> 01:02:15,50 	covering his mouth with one arm as he coughs, someone sits across from someone.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS393 	01:09:05,00 --> 01:09:11,50 	he tears of a piece of tape and covers someone's mouth with it.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS396 	01:09:52,00 --> 01:09:58,50 	with the piece of tape still covering his mouth, he sits up
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS433 	01:14:29,00 --> 01:14:36,50 	the valet hugs someone as another valet pulls up in his car, which is covered in bird droppings.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS480 	01:22:12,00 --> 01:22:20,50 	standing in someone's backyard, someone smiles up at the bodhi tree, which is now covered with green leaves.
BAD_TEACHER.srt 	BAD_TEACHER_DVS62 	00:18:49,00 --> 00:18:56,50 	the boy passes someone on his way out and she covers her nose.
BAD_TEACHER.srt 	BAD_TEACHER_DVS135 	00:35:38,00 --> 00:35:50,50 	as she glares he covers his mouth and points apologetically to the joint.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS144 	00:22:11,00 --> 00:22:17,50 	a woman enters covered in shaving cream and toilet paper.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS203 	00:33:22,00 --> 00:33:27,50 	someone covers her mouth.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS321 	00:53:55,00 --> 00:54:03,50 	he lies on his side with the sheet covering his torso, his head propped up on his forearm.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS455 	01:12:12,00 --> 01:12:17,50 	the agent in drag covers his nose.
BLINDDATING.srt 	BLINDDATING_DVS12 	00:03:58,00 --> 00:04:04,50 	the therapist shakes her hands out and covers up with her skirt.
BLINDDATING.srt 	BLINDDATING_DVS139 	00:38:16,00 --> 00:38:25,50 	now, someone and someone walk beneath the pergola covered in vines of red blossoms.
BLINDDATING.srt 	BLINDDATING_DVS170 	00:44:00,00 --> 00:44:07,50 	her mother covers someone's hands with her own.
BLINDDATING.srt 	BLINDDATING_DVS364 	01:29:18,00 --> 01:29:39,50 	a bandage covers one side of his head as dr.
BRUNO.srt 	BRUNO_DVS47 	00:09:12,00 --> 00:09:16,50 	someone runs through the terminal with a black blanket covered his body.
BRUNO.srt 	BRUNO_DVS75 	00:16:13,00 --> 00:16:18,50 	a nude man is covered in sushi.
BRUNO.srt 	BRUNO_DVS160 	00:44:25,00 --> 00:44:53,50 	his face already covered with chocolate.
BRUNO.srt 	BRUNO_DVS238 	01:05:29,00 --> 01:05:40,50 	a black box covers her crotch.
BRUNO.srt 	BRUNO_DVS239 	01:05:41,00 --> 01:05:49,50 	a black box covers her.
BRUNO.srt 	BRUNO_DVS246 	01:06:21,00 --> 01:06:27,50 	a black box covers his genitals.
BURLESQUE.srt 	BURLESQUE_DVS178 	00:25:30,00 --> 00:25:37,50 	someone glances around, then sits on the edge of the bed and covers her mouth.
BURLESQUE.srt 	BURLESQUE_DVS435 	01:00:14,00 --> 01:00:23,50 	a dancer hands her a fan and she covers her chest.
BURLESQUE.srt 	BURLESQUE_DVS436 	01:00:20,00 --> 01:00:25,50 	quickly covering herself, she faces the crowd again.
BURLESQUE.srt 	BURLESQUE_DVS447 	01:01:10,00 --> 01:01:17,50 	a pair of bongos cover her breasts and a candle conceals her crotch.
BURLESQUE.srt 	BURLESQUE_DVS596 	01:27:56,00 --> 01:28:00,50 	she covers her eyes, but peeks.
BURLESQUE.srt 	BURLESQUE_DVS633 	01:35:41,00 --> 01:35:46,50 	wearing only a blanket, someone covers up.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS18 	00:02:41,00 --> 00:02:47,50 	a dusting of snow covers the floor, exposed railing, and beams.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS21 	00:02:57,00 --> 00:03:04,50 	the men shine their lights on a desk-sized object covered with snow.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS156 	00:28:10,00 --> 00:28:16,50 	nearby, an artist stands beside a palette covered in red paints.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS218 	00:38:50,00 --> 00:39:08,50 	someone dashes past a man who provides covering fire, then jumps into a waiting car.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS310 	00:58:59,00 --> 00:59:08,50 	the canvas tarp covering the back of the truck bulges repeatedly.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS728 	01:12:24,00 --> 01:12:30,50 	now, autumn leaves cover the back patio of the abandoned house.
CHRONICLE.srt 	CHRONICLE_DVS319 	00:49:02,00 --> 00:49:08,50 	someone storms into view, her shoulder covered in vomit.
CHRONICLE.srt 	CHRONICLE_DVS391 	00:59:22,00 --> 00:59:30,50 	as he swivels a hand aimed in her direction, her body gently turns and a blanket slides up to cover her.
CHRONICLE.srt 	CHRONICLE_DVS403 	01:00:38,00 --> 01:00:44,50 	the breathing apparatus built into it covers his mouth and nose.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS326 	01:21:50,00 --> 01:21:55,50 	the crowd covers their mouth as someone throws more punches.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS532 	02:04:20,00 --> 02:04:31,50 	listening, someone covers her mouth.
COLOMBIANA.srt 	COLOMBIANA_DVS341 	00:30:18,00 --> 00:30:24,50 	she slumps over, her long black bangs covering her face.
COLOMBIANA.srt 	COLOMBIANA_DVS503 	00:45:06,00 --> 00:45:13,50 	someone goes to someone and shows a newspaper covering someone's death.
COLOMBIANA.srt 	COLOMBIANA_DVS575 	00:52:21,00 --> 00:52:28,50 	he steps inside a laundromat through a pair of glass doors covered in newspaper.
COLOMBIANA.srt 	COLOMBIANA_DVS683 	01:04:37,00 --> 01:04:43,50 	a drop cloth covers half of the canvas.
DEAR_JOHN.srt 	DEAR_JOHN_DVS65 	00:08:46,00 --> 00:08:51,50 	she covers the moon with her thumb.
DEAR_JOHN.srt 	DEAR_JOHN_DVS82 	00:12:36,00 --> 00:12:50,50 	someone lifts the edge of a window shade covering the room's french door, and peeks inside at his father.
DEAR_JOHN.srt 	DEAR_JOHN_DVS112 	00:16:47,00 --> 00:16:52,50 	he covers a wheel printed on the coin with a silver dollar.
DEAR_JOHN.srt 	DEAR_JOHN_DVS258 	00:40:45,00 --> 00:40:50,50 	she covers the moon with her thumb.
DEAR_JOHN.srt 	DEAR_JOHN_DVS593 	01:22:38,00 --> 01:22:49,50 	then runs his fingers back into his hair, and covers his eyes with his palms.
DISTRICT_9.srt 	DISTRICT_9_DVS268 	00:29:28,00 --> 00:29:35,50 	someone steps inside and finds the walls covered with computer parts.
