21_JUMP_STREET.srt 	21_JUMP_STREET_DVS212 	00:36:20,00 --> 00:36:24,50 	someone curls his tongue.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS389 	01:05:56,00 --> 01:06:03,50 	now in a theater dressing room someone curls her hair into ringlets.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS37 	00:18:51,00 --> 00:19:02,50 	inside, someone turns off his bedside light and curls up under his black and white comforter set.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS192 	00:26:11,00 --> 00:26:25,50 	contracting his abdomen, he curls upward and cuts through the snare rope.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS418 	00:59:33,00 --> 00:59:40,50 	many slumber, lie down on unused pews while some curl up on the floor.
BLINDDATING.srt 	BLINDDATING_DVS50 	00:15:17,00 --> 00:15:28,50 	her lips curl up.
BLINDDATING.srt 	BLINDDATING_DVS130 	00:35:39,00 --> 00:35:47,50 	someone's lips curl upward.
BURLESQUE.srt 	BURLESQUE_DVS88 	00:09:13,00 --> 00:09:22,50 	now all of the dancers curl their fingers at us, beckoning mischievously.
BURLESQUE.srt 	BURLESQUE_DVS681 	01:45:25,00 --> 01:45:30,50 	as she leaves, someone's lips curl into a smile.
BURLESQUE.srt 	BURLESQUE_DVS709 	01:47:54,00 --> 01:47:59,50 	then lowers her gaze, her lips curling into a genial smile.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS49 	00:06:57,00 --> 00:07:03,50 	a snake is curled around one of the tree's roots.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS266 	00:20:31,00 --> 00:20:38,50 	someone pants excitedly, his lips curled into a faint smile.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS389 	00:36:46,00 --> 00:36:51,50 	she remains curled up on her belly.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS872 	01:25:10,00 --> 01:25:16,50 	he curls in his finger, surfaces and checks his watch.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS915 	01:29:42,00 --> 01:29:50,50 	it curls into a barrel as it breaks and sends up massive blasts of foam and spray.
