21_JUMP_STREET.srt 	21_JUMP_STREET_DVS293 	00:50:56,00 --> 00:51:01,50 	someone dances up in his face.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS314 	00:53:21,00 --> 00:53:27,50 	later, as people dance, someone chats with someone and someone.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS322 	00:53:54,00 --> 00:53:59,50 	someone pinches his own nipples and makes them dance.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS324 	00:53:59,00 --> 00:54:05,50 	someone and someone laugh as they dance together.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS548 	01:24:36,00 --> 01:24:42,50 	on the dance floor someone sways to the music, dancing alone.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS188 	00:32:19,00 --> 00:32:24,50 	he tosses his bag to a woman and starts to dance.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS191 	00:32:36,00 --> 00:32:41,50 	he's hoisted shoulder high by his dancing friends.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS354 	01:04:04,00 --> 01:04:08,50 	someone's dancing with a young lad.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS916 	01:28:08,00 --> 01:28:16,50 	large flecks of ash reign down, as dancing flames dock the room.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS182 	00:34:22,00 --> 00:34:27,50 	christian smiles, then begins to dance with him.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS183 	00:31:20,00 --> 00:31:25,50 	several classmates dance a little.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS186 	00:31:47,00 --> 00:31:51,50 	he dances.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS191 	00:32:12,00 --> 00:32:18,50 	throughout the cafeteria, students dance together and clap their hands.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS195 	00:32:46,00 --> 00:32:53,50 	now dancing among the students, someone claps and spins in his red dress.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS197 	00:32:55,00 --> 00:33:02,50 	as someone keeps grooving onstage, someone has a go dancing on a table.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS235 	00:38:37,00 --> 00:38:44,50 	he peers through a window to find the security guard dancing with a screwdriver in his mouth.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS263 	00:44:49,00 --> 00:44:56,50 	someone wraps a scarf around his neck, then dances the charleston on the low, round table.
