40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS87 	00:45:48,00 --> 00:46:03,50 	someone disappears into the next room.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS99 	00:10:53,00 --> 00:11:08,50 	as he ascends towards a huge full moon above, the vampire disappears.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS306 	00:44:21,00 --> 00:44:32,50 	as someone approaches the group, a rider hops down from his horse and disappears.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS389 	00:54:31,00 --> 00:54:40,50 	charging, they disappear.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS504 	01:20:20,00 --> 01:20:26,50 	someone points as the teen disappears into a side door.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS581 	01:31:29,00 --> 01:31:36,50 	disappearing briefly behind the spotlights and curtains, and reemerges in the auditorium.
BURLESQUE.srt 	BURLESQUE_DVS266 	00:37:45,00 --> 00:37:52,50 	then turns and sees the group disappearing down a staircase without her.
BURLESQUE.srt 	BURLESQUE_DVS395 	00:55:12,00 --> 00:55:25,50 	as she pushes on one panel, it spins and she disappears behind it.
BURLESQUE.srt 	BURLESQUE_DVS752 	01:53:43,00 --> 01:53:53,50 	the stage lights flash and the dancers disappear, leaving only the glowing letters.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS979 	01:35:59,00 --> 01:36:07,50 	further out, someone's three surfing buddies disappear over the top of a cresting 15-foot wave.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1073 	01:42:33,00 --> 01:42:41,50 	she points to the tiny head and shoulders just before they disappear again in an oncoming surge.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1108 	01:46:13,00 --> 01:46:20,50 	as he struggles to keep his balance, it overtakes him and he disappears again.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS290 	01:09:40,00 --> 01:09:49,50 	mrs. gould watches him disappear behind the doorway
COLOMBIANA.srt 	COLOMBIANA_DVS177 	00:15:35,00 --> 00:15:41,50 	he spots her feet disappearing over the rooftop's edge.
COLOMBIANA.srt 	COLOMBIANA_DVS192 	00:16:42,00 --> 00:16:48,50 	finding herself boxed in, she slides down a storm drain opening and disappears.
DEAR_JOHN.srt 	DEAR_JOHN_DVS361 	00:56:41,00 --> 00:56:51,50 	she storms past him and disappears down the front steps, leaving him alone on the porch.
DEAR_JOHN.srt 	DEAR_JOHN_DVS601 	01:23:15,00 --> 01:23:22,50 	the pastor disappears through a doorway, leaving someone alone once again.
