21_JUMP_STREET.srt 	21_JUMP_STREET_DVS134 	00:22:08,00 --> 00:22:14,50 	he drives toward someone who nimbly rolls over the hood and lands safely on the ground.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS418 	01:10:47,00 --> 01:10:59,50 	someone observes an instruction card, before you drive fasten seatbelt, check mirrors, hands on ten and two.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS442 	01:13:23,00 --> 01:13:29,50 	they drive off in her pink volkswagen beetle toward a bridge.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS18 	00:03:39,00 --> 00:03:46,50 	now the mustang drives an empty road lined with abandoned warehouses.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS79 	00:20:50,00 --> 00:20:58,50 	the delivery guy goes to his car, starts the timer and drives out of the vito's pizza parking lot.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS83 	00:21:16,00 --> 00:21:25,50 	the delivery guy checks it against his order ticket then pulls the rest of the way through and drives down a long dirt lot.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS134 	00:37:27,00 --> 00:37:35,50 	the mustang drives off.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS173 	00:45:09,00 --> 00:45:17,50 	the maroon datsun drives off and the old beige van follows.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS246 	00:58:26,00 --> 00:58:32,50 	as they drive away she shoots at them with someone's gun.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS307 	01:10:11,00 --> 01:10:30,50 	the mustang pulls out of the empty lot and drives off past a few warehouses.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS307 	01:10:11,00 --> 01:10:30,50 	now our view rises from one the van's headlights to someone, who drives with a determined look in his eyes, wearing his chimpanzee mask.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS342 	01:15:51,00 --> 01:15:58,50 	as the mustang drives off, someone takes off his jacket and whips it at the flaming tank.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS347 	01:16:53,00 --> 01:16:59,50 	in the mustang, someone grabs someone and kisses him as he drives.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS355 	01:17:59,00 --> 01:18:05,50 	as the mustang drives away, the picture cuts to black.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS179 	01:28:21,00 --> 01:28:27,50 	now someone drives someone in her mother's car.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS232 	00:43:21,00 --> 00:43:25,50 	they smile happily and she studies him as they drive.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS233 	00:43:32,00 --> 00:43:37,50 	they have fun chatting as they drive through the sunny city.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS234 	00:43:41,00 --> 00:43:45,50 	they drive into a tunnel.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS243 	00:20:10,00 --> 00:20:24,50 	someone eyes the truck in his rear view mirror as he drives over a cobblestone courtyard.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS257 	00:22:23,00 --> 00:22:30,50 	reversing, someone whips around and drives off with a determined stare.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS302 	00:26:37,00 --> 00:26:44,50 	he drives out of a gravel truck and onto the tops of civilian cars.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS329 	00:29:12,00 --> 00:29:18,50 	meanwhile, someone drives the van with a weary glare.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS589 	01:00:15,00 --> 01:00:21,50 	now they drive on a rain slicked country road in a maybach.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS855 	01:24:17,00 --> 01:24:24,50 	someone drives the truck out of the cargo hold, tilting the chopper's nose upward.
