30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS146 	00:38:37,00 --> 00:38:43,50 	someone peers out a window and spots an older man exiting the house.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS188 	00:49:22,00 --> 00:49:26,50 	they exit.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS216 	00:52:22,00 --> 00:52:28,50 	as the bus pulls out two police officers exit the alley.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS316 	01:11:06,00 --> 01:11:11,50 	someone exits the van in his mask.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS424 	01:15:04,00 --> 01:15:10,50 	someone exits the lift past a sign that reads, thank you for 75 years,
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS128 	00:12:19,00 --> 00:12:23,50 	someone exits the cab.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS229 	00:19:09,00 --> 00:19:14,50 	someone exits the van and looks about.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS290 	00:25:01,00 --> 00:25:07,50 	a large russian man exits the suv, waving his arms.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS762 	01:15:38,00 --> 01:15:43,50 	outside, someone exits the chopper.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS821 	01:21:49,00 --> 01:22:09,50 	someone sprints up the stairs as his father exits the building.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS427 	01:13:48,00 --> 01:13:55,50 	carrying a cup of coffee, someone smiles to himself as he exits the shop.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS61 	00:10:04,00 --> 00:10:08,50 	he exits and waves.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS569 	01:28:52,00 --> 01:28:59,50 	someone bows, then exits the stage with the other dancers.
BLINDDATING.srt 	BLINDDATING_DVS125 	00:33:30,00 --> 00:33:36,50 	as someone exits the clinic, someone hurries after him.
BLINDDATING.srt 	BLINDDATING_DVS267 	01:05:37,00 --> 01:05:47,50 	someone hurries to catch up as he exits.
BURLESQUE.srt 	BURLESQUE_DVS54 	00:05:18,00 --> 00:05:25,50 	the blonde enters another building, then exits and crosses off the ad in her paper.
BURLESQUE.srt 	BURLESQUE_DVS372 	00:51:21,00 --> 00:51:28,50 	now someone exits the backstage area and finds someone waiting for her.
BURLESQUE.srt 	BURLESQUE_DVS664 	01:43:01,00 --> 01:43:08,50 	now someone chats with someone as they exit the lounge, passing under its unlit archway.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS538 	00:52:17,00 --> 00:52:22,50 	later at pleasure pizza, someone exits the back door with his bike.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS77 	00:14:34,00 --> 00:14:39,50 	now a woman exits the shop.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS104 	00:24:10,00 --> 00:24:18,50 	now, someone exits into an alley, his right arm wrapped in a towel.
COLOMBIANA.srt 	COLOMBIANA_DVS104 	00:08:28,00 --> 00:08:35,50 	outside, someone's men exit the sedan.
COLOMBIANA.srt 	COLOMBIANA_DVS148 	00:13:28,00 --> 00:13:34,50 	someone sprints through an apartment then exits onto a balcony.
COLOMBIANA.srt 	COLOMBIANA_DVS1066 	01:39:48,00 --> 01:39:53,50 	meanwhile, someone exits the mansion.
DEAR_JOHN.srt 	DEAR_JOHN_DVS229 	00:35:34,00 --> 00:35:41,50 	someone exits the aircraft, squinting in the sun and proceeds across the tarmac.
DEAR_JOHN.srt 	DEAR_JOHN_DVS245 	00:38:34,00 --> 00:38:49,50 	another soldier exits a house and pats someone, who sits on a porch reading.
DEAR_JOHN.srt 	DEAR_JOHN_DVS400 	01:01:32,00 --> 01:01:47,50 	someone walks past them and exits the airport.
