21_JUMP_STREET.srt 	21_JUMP_STREET_DVS76 	00:08:32,00 --> 00:08:41,50 	they face the gang leader.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS165 	00:29:07,00 --> 00:29:11,50 	someone faces someone.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS171 	00:29:36,00 --> 00:29:43,50 	in drama, someone stands on a small stage facing the class.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS245 	00:39:31,00 --> 00:39:36,50 	as they go, someone faces someone delightedly.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS280 	00:48:48,00 --> 00:48:52,50 	someone faces the nerds.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS292 	00:50:38,00 --> 00:50:42,50 	someone faces someone.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS381 	01:04:40,00 --> 01:04:49,50 	he flings a throwing star into the zod posters face.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS536 	01:22:53,00 --> 01:22:59,50 	each man faces his mirror with a pensive gaze.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS591 	01:31:56,00 --> 01:32:03,50 	someone fires then rolls behind the couch and faces his partner.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS637 	01:35:52,00 --> 01:35:59,50 	as someone expertly weaves the limo through traffic his partner leans down to face someone.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS286 	01:05:37,00 --> 01:05:43,50 	the major smirks, then faces him and lowers his pen.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS294 	01:07:01,00 --> 01:07:09,50 	in a bathroom, facing a mirror, someone finds a bottle of rubbing alcohol and twists it open.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS341 	01:15:43,00 --> 01:15:49,50 	someone lies face down his back consumed in flames.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS21 	00:07:16,00 --> 00:07:22,50 	as someone leaves, someone faces someone.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS38 	00:19:00,00 --> 00:19:08,50 	a younger someone faces a brunette teen.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS106 	00:54:58,00 --> 00:55:04,50 	someone faces an open bedroom door.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS137 	01:09:22,00 --> 01:09:31,50 	someone faces someone and someone.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS150 	01:18:30,00 --> 01:18:36,50 	she stares distantly, then faces someone.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS153 	01:19:08,00 --> 01:19:13,50 	now someone faces a black customer.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS176 	01:25:36,00 --> 01:25:41,50 	woman faces a group of teenagers and their parents.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS205 	01:41:24,00 --> 01:41:30,50 	with soaps in her arms and faces someone.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS160 	00:29:25,00 --> 00:29:29,50 	they face each other on the bed.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS290 	00:53:34,00 --> 00:53:39,50 	he turns around to face a mime in a top hat
