21_JUMP_STREET.srt 	21_JUMP_STREET_DVS447 	01:13:52,00 --> 01:13:58,50 	he overtakes the rig and falls off his bike.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS466 	01:16:35,00 --> 01:16:45,50 	as someone rises off of the stage someone falls of a fake boulder and grabs on to his dangling partner.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS469 	01:16:58,00 --> 01:17:04,50 	someone falls hard on a fake boulder then tumbles on to the stage.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS601 	01:33:12,00 --> 01:33:17,50 	he falls clumsily out of view.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS610 	01:33:38,00 --> 01:33:44,50 	his braid twirling as he twists around and falls.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS138 	00:37:58,00 --> 00:38:04,50 	he awkwardly climbs through the window and falls over a workbench onto the floor.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS500 	00:48:38,00 --> 00:48:44,50 	in the ballroom, someone falls from someone's punches.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS549 	00:53:17,00 --> 00:53:24,50 	under heavy fire, it falls apart.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS886 	01:26:16,00 --> 01:26:21,50 	falling to the ground, it explodes on impact.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS902 	01:27:09,00 --> 01:27:14,50 	someone watches them fall with glaring eyes.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS85 	00:22:48,00 --> 00:22:53,50 	two leaves fall from the tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS86 	00:23:02,00 --> 00:23:07,50 	someone watches more leaves fall to the ground.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS88 	00:23:14,00 --> 00:23:18,50 	a leaf falls.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS89 	00:23:24,00 --> 00:23:28,50 	a leaf falls near someone.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS91 	00:23:46,00 --> 00:23:50,50 	another leave falls.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS100 	00:26:18,00 --> 00:26:24,50 	a leaf falls.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS109 	00:27:19,00 --> 00:27:23,50 	a leaf falls from the tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS114 	00:27:37,00 --> 00:27:42,50 	the shadows of falling leaves sweep across someone.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS119 	00:27:52,00 --> 00:27:56,50 	another leave falls.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS122 	00:27:59,00 --> 00:28:04,50 	one more leaf falls.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS126 	00:28:12,00 --> 00:28:16,50 	someone's smile falls.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS323 	00:58:01,00 --> 00:58:05,50 	a leaf falls.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS339 	00:59:50,00 --> 00:59:56,50 	he falls backward and lands on the girl's lawn.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS341 	00:59:57,00 --> 01:00:01,50 	a bodhi leaf falls.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS342 	01:00:04,00 --> 01:00:09,50 	fallen leaves float in someone's swimming pool.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS400 	01:10:09,00 --> 01:10:14,50 	his shadow falls across leaves lying on the grass.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS421 	01:12:59,00 --> 01:13:05,50 	back at the house a leaf falls off the bodhi tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS430 	01:14:07,00 --> 01:14:11,50 	another bodhi leaf falls.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS67 	00:07:19,00 --> 00:07:27,50 	a pistol falls out of someone's jacket and onto the floor.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS86 	00:09:47,00 --> 00:09:59,50 	the murderer falls to his back his top hat landing several feet across the dock.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS96 	00:10:37,00 --> 00:10:51,50 	as the vampire bares his sharp fangs, someone falls to his back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS99 	00:10:53,00 --> 00:11:08,50 	amid the falling shards of wood, someone reaches towards someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS146 	00:17:58,00 --> 00:18:12,50 	the protg falls then springs to his feet.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS192 	00:26:11,00 --> 00:26:25,50 	someone falls to the floor, frees his wrists and retrieves his ax.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS211 	00:29:29,00 --> 00:29:45,50 	it falls to the floor.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS279 	00:39:58,00 --> 00:40:22,50 	as someone jumps one of the horses, he falls off his own.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS288 	00:41:53,00 --> 00:42:11,50 	someone falls off the horse and tumbles down the face of the bluff.
