21_JUMP_STREET.srt 	21_JUMP_STREET_DVS184 	00:31:21,00 --> 00:31:27,50 	stacks of old computers and other equipment fill the room.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS214 	00:36:28,00 --> 00:36:37,50 	as the undercover cops shake their heads, a rapid series of explosive and disturbing images fill our view.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS271 	00:47:16,00 --> 00:47:23,50 	back at home, chips fill a bowl.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS544 	01:23:58,00 --> 01:24:05,50 	someone and someone enter a ballroom filled with celebrating students.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS184 	00:47:59,00 --> 00:48:03,50 	she fills the sack with cash.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS393 	01:09:59,00 --> 01:10:06,50 	his jaw sags and his eyes fill with tears as he notices it's a diamond engagement ring.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS182 	00:16:16,00 --> 00:16:22,50 	behind him, armed men in body armor and gas masks fill the truck.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS622 	01:04:04,00 --> 01:04:12,50 	someone picks up a black leather jacket and puts it on, as someone dons a combat vest filled with grenades.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS676 	01:09:27,00 --> 01:09:37,50 	now someone and someone find a large indoor pool, filled with leaves and dark stagnant water.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS138 	00:29:26,00 --> 00:29:32,50 	holding two cardboard trays filled with tall cups, someone pushes through the coffee shop door.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS174 	00:23:34,00 --> 00:23:45,50 	small, tidy handwriting fills half the compact page.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS417 	00:59:30,00 --> 00:59:36,50 	runaway slaves fill the cramped, dusty space.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS438 	01:03:05,00 --> 01:03:25,50 	within the fort, union and confederate troops clash in a chaotic battle as smoke fills the air.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS582 	01:20:41,00 --> 01:20:46,50 	stacks of crates fill both sides of the car.
