21_JUMP_STREET.srt 	21_JUMP_STREET_DVS483 	01:18:12,00 --> 01:18:22,50 	his hands folded over a desk full of paperwork.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS134 	01:07:19,00 --> 01:07:27,50 	someone approaches with her arms folded.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS103 	00:08:51,00 --> 00:08:56,50 	now, a man's cuffed hands rest folded on a table.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS412 	00:39:28,00 --> 00:39:34,50 	his arms folded, someone gives an understanding nod.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS930 	01:30:35,00 --> 01:30:41,50 	before them, someone stands anxiously with her arms folded.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS932 	01:30:40,00 --> 01:30:44,50 	the private jet's passenger door opens and the stairs fold out.
BAD_TEACHER.srt 	BAD_TEACHER_DVS268 	01:12:02,00 --> 01:12:07,50 	he folds his hands over his heart.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS422 	01:07:45,00 --> 01:07:51,50 	someone attentively folds her hands.
BLINDDATING.srt 	BLINDDATING_DVS54 	00:16:26,00 --> 00:16:44,50 	now, at a college campus, someone folds up his cane in a hallway.
BLINDDATING.srt 	BLINDDATING_DVS283 	01:10:53,00 --> 01:11:05,50 	someone folds his hands in the waiting room.
BLINDDATING.srt 	BLINDDATING_DVS335 	01:20:10,00 --> 01:20:24,50 	his hands folded on his chest.
BRUNO.srt 	BRUNO_DVS140 	00:33:26,00 --> 00:33:31,50 	someone folds his hands over his crossed knees.
BRUNO.srt 	BRUNO_DVS217 	01:00:58,00 --> 01:01:11,50 	his legs crossed tightly, and his hands folded neatly on his knee, lowering his stare.
BURLESQUE.srt 	BURLESQUE_DVS240 	00:34:34,00 --> 00:34:40,50 	someone folds his hands.
BURLESQUE.srt 	BURLESQUE_DVS315 	00:43:48,00 --> 00:43:54,50 	in her office, someone folds a piece of paper into an airplane.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS423 	01:17:00,00 --> 01:17:05,50 	the woman sashays to someone who folds his arms and glances away.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS442 	00:42:28,00 --> 00:42:33,50 	he and someone touch folded arms in a handshake.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS795 	01:18:44,00 --> 01:18:50,50 	stare at the ceiling, their hands folded over their chests.
CHRONICLE.srt 	CHRONICLE_DVS244 	00:34:54,00 --> 00:35:00,50 	as it floats upward, he folds his arms and watches it contentedly.
CHRONICLE.srt 	CHRONICLE_DVS323 	00:49:36,00 --> 00:49:44,50 	someone lies belly-down on his bedroom floor, half-propped on his elbows with his hands folded.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS35 	00:08:06,00 --> 00:08:15,50 	a man's fingers reach for a folded straight razor near the braddock's unframed wedding photo.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS70 	00:13:49,00 --> 00:14:00,50 	in the basement apartment, someone's oldest son sits against a wall with his arms folded.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS270 	01:05:41,00 --> 01:05:48,50 	he strokes her hair, steps back, and folds his arms with a smile.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS354 	01:27:13,00 --> 01:27:22,50 	two ambulance workers fold someone's arms across his chest and hoist him onto a stretcher.
COLOMBIANA.srt 	COLOMBIANA_DVS85 	00:06:23,00 --> 00:06:30,50 	he scribbles a chicago address on a piece of paper, folds it, and tucks it into her jumper.
COLOMBIANA.srt 	COLOMBIANA_DVS128 	00:10:53,00 --> 00:11:01,50 	someone sits across from someone and folds his arms on the table, then eyes the beefy gunman.
COLOMBIANA.srt 	COLOMBIANA_DVS479 	00:42:22,00 --> 00:42:29,50 	now someone warren watches, arms folded, as someone stands in someone's cell.
FLIGHT.srt 	FLIGHT_DVS42 	00:06:33,00 --> 00:06:40,50 	a woman steps out of a room at hotel atlanta, carrying a folded up massage table.
HUGO.srt 	HUGO_DVS126 	00:16:53,00 --> 00:16:58,50 	someone plants his feet and folds his arms.
HUGO.srt 	HUGO_DVS208 	00:31:12,00 --> 00:31:18,50 	someone sets down a cup of small hand tools then folds his arms.
INSIDE_MAN.srt 	INSIDE_MAN_DVS63 	00:17:17,00 --> 00:17:24,50 	one woman hugs her folded hands to her chest.
INSIDE_MAN.srt 	INSIDE_MAN_DVS79 	00:19:39,00 --> 00:19:52,50 	someone folds his arms behind his back.
IRON_MAN_2.srt 	IRON_MAN_2_DVS193 	00:35:35,00 --> 00:36:10,50 	small armored plates pop vertically out of the suit, then fold down to form a layer of protective metal.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS226 	01:06:53,00 --> 01:06:58,50 	she thoughtfully folds her arms.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS114 	00:23:13,00 --> 00:23:18,50 	he gruffly folds his arms.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS265 	00:52:20,00 --> 00:52:25,50 	someone squats down and folds her arms in front of her.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS180 	00:33:35,00 --> 00:33:44,50 	madame someone enters, folds her arms and watches someone with a sour glare.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS539 	01:47:00,00 --> 01:47:05,50 	someone folds up the letter and lays it aside.
KARATE_KID.srt 	KARATE_KID_DVS547 	00:49:25,00 --> 00:49:33,50 	someone folds a blanket on the wicker couch.
KARATE_KID.srt 	KARATE_KID_DVS971 	01:19:29,00 --> 01:19:42,50 	the disciple tucks her extended leg in briefly, and folds her arms across her torso, then lifts her knee up to her chest, and extends her arms in a slanted t, pointing down at the serpent.
