21_JUMP_STREET.srt 	21_JUMP_STREET_DVS374 	01:02:44,00 --> 01:02:52,50 	she gazes at him with doe-like eyes.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS376 	01:03:46,00 --> 01:03:52,50 	as she gazes into his eyes, someone's grin fades.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS664 	01:40:03,00 --> 01:40:09,50 	the two guys gaze into each other's eyes.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS42 	00:08:17,00 --> 00:08:24,50 	he gazes at a young indian-american woman fixing an arrangement of white flowers,
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS464 	00:45:08,00 --> 00:45:17,50 	gazing out, someone notices a military grade helicopter parked below.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS507 	00:49:24,00 --> 00:49:29,50 	gazing at his dad, someone laughs too.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS635 	01:05:44,00 --> 01:05:48,50 	someone gazes thoughtfully.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS703 	01:11:50,00 --> 01:11:57,50 	as she gazes into his eyes, someone flashes a loving smile and throws her arms around him.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS722 	01:12:57,00 --> 01:13:03,50 	they gaze down at all of someone's men and equipment.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS52 	00:15:22,00 --> 00:15:27,50 	her smile fading, someone gazes downward.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS55 	00:15:50,00 --> 00:15:55,50 	as someone walks away, someone gazes downward.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS68 	00:18:59,00 --> 00:19:04,50 	they gaze at the tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS71 	00:19:35,00 --> 00:19:42,50 	someone slides his hands up the trunk, then steps back and gazes up at the tall tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS83 	00:22:37,00 --> 00:22:42,50 	he gazes up at the tree, then looks toward someone.
