21_JUMP_STREET.srt 	21_JUMP_STREET_DVS342 	00:56:51,00 --> 00:57:00,50 	someone and the third nerd, a red-haired kid slap hands then have an imaginary light saber duel.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS137 	00:26:27,00 --> 00:26:33,50 	someone nods awkwardly and has no idea what to say.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS202 	00:33:27,00 --> 00:33:41,50 	his boss has a new assistant with a large afro.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS233 	00:43:32,00 --> 00:43:37,50 	they have fun chatting as they drive through the sunny city.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS270 	00:50:53,00 --> 00:50:58,50 	someone has a large bulge in the crotch of his leather trousers.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS537 	01:27:47,00 --> 01:27:51,50 	she has long dark hair.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS394 	01:09:25,00 --> 01:09:33,50 	outside on the bodhi tree, only a single branch still has leaves remaining.
BAD_TEACHER.srt 	BAD_TEACHER_DVS172 	00:47:26,00 --> 00:47:30,50 	she has a dodgeball in her hand.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS59 	00:08:54,00 --> 00:08:58,50 	he has a contract in hand.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS197 	00:32:55,00 --> 00:33:02,50 	as someone keeps grooving onstage, someone has a go dancing on a table.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS617 	01:36:00,00 --> 01:36:06,50 	outside, big momma-clad someone reads the text, "library, have fd".
BLINDDATING.srt 	BLINDDATING_DVS216 	00:54:15,00 --> 00:54:20,50 	someone has a condom in his hand.
BLINDDATING.srt 	BLINDDATING_DVS347 	01:23:22,00 --> 01:23:29,50 	she has a gloomy expression.
BRUNO.srt 	BRUNO_DVS77 	00:16:26,00 --> 00:16:36,50 	angelina jolie's has a black x over it.
BURLESQUE.srt 	BURLESQUE_DVS594 	01:27:49,00 --> 01:27:53,50 	someone still has her back to him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS27 	00:03:57,00 --> 00:04:06,50 	they have before, not like this.
CHRONICLE.srt 	CHRONICLE_DVS258 	00:39:09,00 --> 00:39:13,50 	each has a fast food drink.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS276 	01:06:50,00 --> 01:07:20,50 	the square roofed automobiles that pass have chromy grills and bug eyed headlights.
