21_JUMP_STREET.srt 	21_JUMP_STREET_DVS73 	00:08:08,00 --> 00:08:13,50 	the biker knocks him over and runs off.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS281 	00:48:51,00 --> 00:48:57,50 	a nerd knocks him into someone and someone swipes the dealer's phone.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS416 	01:10:18,00 --> 01:10:26,50 	knocking him onto the hood.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS419 	01:10:56,00 --> 01:11:03,50 	the car peels out dropping the biker and knocking over the motorcycles.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS569 	01:28:59,00 --> 01:29:04,50 	someone barges in knocking someone aside.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS328 	01:14:03,00 --> 01:14:10,50 	someone pistol-whips someone, knocking him to the dirt.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS190 	00:32:32,00 --> 00:32:38,50 	someone grabs a baseball bat and knocks an imaginary ball out of the park.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS836 	01:22:58,00 --> 01:23:06,50 	as someone returns fire, a bullet strikes his vest, knocking him down.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS870 	01:25:02,00 --> 01:25:07,50 	he knocks someone down and quickly stands.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS148 	00:30:06,00 --> 00:30:12,50 	a small car skids to a stop, knocking into someone and spilling his trays.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS239 	00:45:25,00 --> 00:45:31,50 	someone knocks down a passing man then grabs another doll of a blond woman's desk.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS250 	00:47:56,00 --> 00:48:02,50 	stopping at a door, he straightens his tie, then knocks.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS391 	01:09:00,00 --> 01:09:05,50 	someone punches someone, knocking him out cold.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS184 	00:25:04,00 --> 00:25:17,50 	he knocks someone back then activates a trapdoor.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS282 	00:40:28,00 --> 00:40:52,50 	the stallion knocks someone off someone sending him tumbling across the dirt.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS282 	00:40:28,00 --> 00:40:52,50 	using the horse like a track and field hammer, he hurls it at his enemy knocking him to the ground.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS403 	00:58:20,00 --> 00:58:30,50 	the carriage skids in blood knocking someone off of someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS516 	01:12:36,00 --> 01:12:53,50 	a force knocks his head off and his men fall behind him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS608 	01:24:36,00 --> 01:25:32,50 	he grabs his partner's weapon and attacks the new arrival knocking the monster over the edge.
