21_JUMP_STREET.srt 	21_JUMP_STREET_DVS112 	00:15:13,00 --> 00:15:22,50 	the teen dances, rips the clothes from his closet, trashes a piano keyboard and then leans close to the camera.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS377 	01:03:49,00 --> 01:03:56,50 	her expression tender, someone leans her lips toward his.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS587 	01:31:36,00 --> 01:31:42,50 	someone leans out from behind the couch and shoots expertly.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS637 	01:35:52,00 --> 01:35:59,50 	as someone expertly weaves the limo through traffic his partner leans down to face someone.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS270 	01:04:24,00 --> 01:04:30,50 	leaning forward she spots men's shoes crossing the checkered floor.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS79 	00:41:00,00 --> 00:41:06,50 	she leans on a shelf.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS87 	00:45:48,00 --> 00:46:03,50 	slowly leaning back into view, he peers around the corner at the box of porn.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS351 	01:03:38,00 --> 01:03:43,50 	someone leans over to someone.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS464 	01:18:45,00 --> 01:18:49,50 	she leans forward and kisses him
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS80 	00:05:27,00 --> 00:05:33,50 	leaning next to the cop, someone looks at a file in his hand.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS408 	00:38:23,00 --> 00:38:34,50 	leaning out from hiding and craning his neck, the young agent peers up at the hotel.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS410 	00:39:01,00 --> 00:39:06,50 	the two older men lean against a construction truck.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS427 	00:41:40,00 --> 00:41:43,50 	leaning against the wall, someone's straightens.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS483 	00:46:53,00 --> 00:46:59,50 	the beautiful woman leans her lips close to his ear.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS590 	01:01:13,00 --> 01:01:20,50 	someone looks away, leaning back in his seat.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS643 	01:06:33,00 --> 01:06:39,50 	someone leans over and inspects the back wall of the locker.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS769 	01:16:14,00 --> 01:16:22,50 	as the old man leans on a rack, someone scans the room.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS917 	01:28:27,00 --> 01:28:34,50 	someone leans his head back in a relieved sigh, then swims to the pool's edge.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS348 	01:00:43,00 --> 01:00:51,50 	later someone holds the photo in his hands and stares at it, as he leans against the base of the bodhi tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS404 	01:10:32,00 --> 01:10:38,50 	someone leans back and gazes up at the branches.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS219 	00:31:08,00 --> 00:31:13,50 	he leans forward, staring up at her earnestly.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS225 	00:32:13,00 --> 00:32:22,50 	beaming hopefully, someone steps closer and rises up on her toes leaning her face toward his.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS229 	00:32:36,00 --> 00:32:41,50 	as she leans in, he turns his cheek to her lips.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS283 	00:40:49,00 --> 00:41:06,50 	the vampire hunter rides on leaning down for his ax as he passes.
