21_JUMP_STREET.srt 	21_JUMP_STREET_DVS213 	00:36:25,00 --> 00:36:30,50 	the coach starts to give the pass back, then pauses.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS179 	00:31:46,00 --> 00:31:51,50 	he pauses to check his look in a shop window.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS374 	00:34:24,00 --> 00:34:30,50 	glancing aside, he pauses and fixes a grave stare.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS628 	01:04:55,00 --> 01:05:02,50 	he pauses and watches the young man, who turns around and stares at his father.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS143 	00:17:39,00 --> 00:17:44,50 	he pauses at the threshold.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS447 	01:04:15,00 --> 01:04:20,50 	the child pauses.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS457 	01:05:26,00 --> 01:05:32,50 	someone pauses briefly looking over her shoulder at the sultry woman.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS498 	01:10:09,00 --> 01:10:14,50 	someone starts to go then pauses in the doorway.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS567 	01:19:06,00 --> 01:19:15,50 	heading further into the car, a soot-smeared someone catches someone watching him and pauses with a frown.
BLINDDATING.srt 	BLINDDATING_DVS49 	00:15:08,00 --> 00:15:14,50 	she pauses, yielding a smile.
BRUNO.srt 	BRUNO_DVS160 	00:44:25,00 --> 00:44:53,50 	someone raises a fork full of pie, pauses, then takes his first bite.
BURLESQUE.srt 	BURLESQUE_DVS314 	00:43:43,00 --> 00:43:50,50 	someone pauses from organizing costumes on a rack and watches someone stalk away.
BURLESQUE.srt 	BURLESQUE_DVS553 	01:20:02,00 --> 01:20:09,50 	eyeing the daybed, she pauses briefly, then crosses to the french doors and opens them.
BURLESQUE.srt 	BURLESQUE_DVS734 	01:50:14,00 --> 01:50:19,50 	heading for the door, he pauses.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS273 	00:50:08,00 --> 00:50:27,50 	later, he signs an autograph for a boy backstage, then pauses as a blonde woman steps up to him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS334 	00:29:34,00 --> 00:29:38,50 	they pause and sit up.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS608 	00:58:36,00 --> 00:58:41,50 	opening it, she pauses and listens.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS638 	01:02:05,00 --> 01:02:11,50 	they pause among giant knobs of coral growth.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS843 	01:23:16,00 --> 01:23:21,50 	he pauses at her tidy appearance.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS927 	01:30:37,00 --> 01:30:41,50 	he pauses thoughtfully then proceeds with a resolute glare.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS959 	01:34:17,00 --> 01:34:22,50 	he pauses, staring out at the intimidating surf.
CHRONICLE.srt 	CHRONICLE_DVS283 	00:43:40,00 --> 00:43:47,50 	he pauses, and they hover over his head.
COLOMBIANA.srt 	COLOMBIANA_DVS353 	00:32:13,00 --> 00:32:18,50 	the prisoner starts to enter the cell then pauses.
COLOMBIANA.srt 	COLOMBIANA_DVS513 	00:46:42,00 --> 00:46:50,50 	she pauses, most of her hair tucked under a hat and her features disguised by large sunglasses pushing them up on her nose, she crosses the sunny atrium.
COLOMBIANA.srt 	COLOMBIANA_DVS515 	00:46:51,00 --> 00:46:55,50 	someone pauses cautiously.
COLOMBIANA.srt 	COLOMBIANA_DVS582 	00:53:25,00 --> 00:53:32,50 	gathering up her bags, she pauses and turns.
COLOMBIANA.srt 	COLOMBIANA_DVS747 	01:11:07,00 --> 01:11:11,50 	he pauses.
COLOMBIANA.srt 	COLOMBIANA_DVS839 	01:20:35,00 --> 01:20:40,50 	she pauses by the door and raises a detonator.
DEAR_JOHN.srt 	DEAR_JOHN_DVS421 	01:03:39,00 --> 01:03:44,50 	he pauses to talk to a young boy.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS108 	00:29:00,00 --> 00:29:09,50 	he pauses at the split-level.
FLIGHT.srt 	FLIGHT_DVS34 	00:04:18,00 --> 00:04:22,50 	he pauses near one of the wheels, opens his mouth, and sprays some mouth freshener.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS176 	00:48:28,00 --> 00:48:34,50 	she pauses to shoot someone a glare before reaching the stranger.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS199 	00:53:05,00 --> 00:53:15,50 	he raises a finger, gesturing for her to pause.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS102 	00:57:53,00 --> 00:57:57,50 	the rock star pauses the video.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS127 	00:20:31,00 --> 00:20:38,50 	he pauses, watching her.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS152 	00:23:45,00 --> 00:23:51,50 	stepping outside, he pauses and massages his right palm.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS153 	00:23:48,00 --> 00:24:12,50 	she pauses by a car, checking its doors.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS154 	00:24:09,00 --> 00:24:14,50 	someone moves on then pauses warily.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS249 	00:39:38,00 --> 00:40:01,50 	he starts to climb the ladder to the control cab, then pauses and turns to someone who gawks.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS528 	01:15:10,00 --> 01:15:21,50 	he pauses, spreading his arms exultantly.
GROWN_UPS.srt 	GROWN_UPS_DVS201 	00:55:04,00 --> 00:55:10,50 	the mother pauses and looks to the lake shore where her kids skep stones with their
HUGO.srt 	HUGO_DVS291 	00:43:22,00 --> 00:43:28,50 	the station inspector passes them then pauses and turns.
IN_TIME.srt 	IN_TIME_DVS24 	00:03:19,00 --> 00:03:24,50 	someone pauses on his way out.
IN_TIME.srt 	IN_TIME_DVS369 	00:38:52,00 --> 00:38:58,50 	someone starts for the ocean, then pauses and turns back, unbuckling his belt.
IN_TIME.srt 	IN_TIME_DVS374 	00:39:21,00 --> 00:39:26,50 	they pause near a rock formation.
IN_TIME.srt 	IN_TIME_DVS673 	01:12:55,00 --> 01:13:00,50 	they pause and face the staring customers.
IN_TIME.srt 	IN_TIME_DVS683 	01:14:05,00 --> 01:14:10,50 	taking a garment from her basket, she pauses and stares inside.
IN_TIME.srt 	IN_TIME_DVS725 	01:17:35,00 --> 01:17:41,50 	he pauses, pushes himself up, and looks to the window.
INSIDE_MAN.srt 	INSIDE_MAN_DVS431 	02:02:03,00 --> 02:02:19,50 	reaching into his jacket pocket, he feels around, then pauses.
IRON_MAN_2.srt 	IRON_MAN_2_DVS155 	00:28:49,00 --> 00:28:57,50 	he takes out his finger, leans against the sink counter with his head lowered, pauses, then stares at his reflection in the mirror.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS29 	00:08:07,00 --> 00:08:12,50 	moving down the counter she pauses at a server.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS202 	01:01:03,00 --> 01:01:09,50 	he pauses, his smile vanishing.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS363 	01:41:54,00 --> 01:42:25,50 	the grief-stricken man pauses and looks at his ex-wife.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS454 	01:25:16,00 --> 01:25:21,50 	the cut pauses on the tv in someone's office.
KARATE_KID.srt 	KARATE_KID_DVS311 	00:27:53,00 --> 00:28:02,50 	he starts to get a tray, then pauses.
KARATE_KID.srt 	KARATE_KID_DVS912 	01:14:18,00 --> 01:14:24,50 	he pauses, then spins it off and whips it around his body again.
KARATE_KID.srt 	KARATE_KID_DVS1156 	01:35:40,00 --> 01:35:45,50 	he pauses and digs his cell phone from his pocket.
KNOCKED_UP.srt 	KNOCKED_UP_DVS160 	01:43:08,00 --> 01:43:14,50 	she pauses thoughtfully and puts a hand on her belly.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS163 	01:00:14,00 --> 01:00:19,50 	someone touches his shoulder and he pauses.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS498 	00:55:13,00 --> 00:55:21,50 	he walks along the benches lining the boat's perimeter, pausing to paw at the zebra carcass.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS664 	01:10:42,00 --> 01:10:47,50 	he pauses, his features set in a savage glare.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS200 	01:12:02,00 --> 01:12:11,50 	glancing aside, he pauses and stares.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS217 	01:18:18,00 --> 01:18:24,50 	passing a valet stand, someone pauses to dance.
