21_JUMP_STREET.srt 	21_JUMP_STREET_DVS110 	00:15:07,00 --> 00:15:14,50 	he plays an acoustic guitar while blowing a harmonica attached to a neck rack.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS361 	01:00:00,00 --> 01:00:08,50 	now in a humble house, the three nerds play music as someone arrives with energy drinks.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS362 	01:00:14,00 --> 01:00:19,50 	on his patio someone plays guitar.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS488 	01:18:33,00 --> 01:18:39,50 	playing foosball, the others watch the pair clear out their desks.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS274 	01:04:45,00 --> 01:04:51,50 	now a reality show plays on a flat screen tv.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS15 	00:03:27,00 --> 00:03:34,50 	at a tv display, a someone mcdonald concert plays on dozens of screens.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS36 	00:15:41,00 --> 00:15:45,50 	he plays video games.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS43 	00:03:17,00 --> 00:03:22,50 	the boy, now older, plays an electric guitar.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS49 	00:03:36,00 --> 00:03:40,50 	the boy plays football.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS54 	00:03:47,00 --> 00:03:51,50 	the boy plays with bubbles.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS301 	00:54:08,00 --> 00:54:15,50 	a crusader someone plays chess with a little winged angel by a rocky shore.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS439 	01:15:44,00 --> 01:15:51,50 	later someone sits on a bench and watches a group of children playing on a swing set.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS458 	01:05:30,00 --> 01:05:38,50 	someone slips into a bedroom where someone wears a union uniform as he plays with toy soldiers.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS182 	00:31:16,00 --> 00:31:22,50 	someone notices someone playing a nearby baby grand piano.
