BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS321 	00:53:55,00 --> 00:54:03,50 	he lies on his side with the sheet covering his torso, his head propped up on his forearm.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS680 	01:43:44,00 --> 01:43:51,50 	now, we see someone behind his turntables with his headphones propped on his head like mouse ears.
CHRONICLE.srt 	CHRONICLE_DVS522 	01:14:17,00 --> 01:14:26,50 	as someone tries to prop himself up on his elbows, someone shakes both fists overhead in a primal scream.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS83 	00:15:25,00 --> 00:15:31,50 	someone leans down to his wide-eyed son, propping his hands on his knees.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS543 	02:07:53,00 --> 02:08:01,50 	as someone stands, he leans over with his mitts propped on his knees.
COLOMBIANA.srt 	COLOMBIANA_DVS527 	00:47:43,00 --> 00:47:53,50 	to her right, a large square painting depicting a pink someone orchid at the center of a gold rimmed medallion stands propped against the wall.
DEAR_JOHN.srt 	DEAR_JOHN_DVS373 	00:59:23,00 --> 00:59:29,50 	propped up by his arms, as she pulls his undershirt over his head.
DEAR_JOHN.srt 	DEAR_JOHN_DVS486 	01:11:35,00 --> 01:11:41,50 	kneeling beside someone, noodles props him against a wall.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS246 	01:00:03,00 --> 01:00:12,50 	the next shows the boy mouse sitting alone at the kitchen table with a photo of the girl mouse propped up in front of him.
GREEN_ZONE.srt 	GREEN_ZONE_DVS247 	00:59:29,00 --> 00:59:35,50 	someone props up someone's head.
HUGO.srt 	HUGO_DVS26 	00:03:20,00 --> 00:03:34,50 	surrounded by dolls, rocking horses, musical instruments, and other items, a bearded white-haired man sits behind the counter with his chin propped on one hand.
IRON_MAN_2.srt 	IRON_MAN_2_DVS434 	01:20:56,00 --> 01:21:03,50 	revealing the scale city model propped on its side with the roofs of miniature buildings pointing toward him.
IRON_MAN_2.srt 	IRON_MAN_2_DVS466 	01:25:05,00 --> 01:25:11,50 	someone places a level atop the section of tubing propped up by the shield.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS953 	01:34:33,00 --> 01:34:39,50 	someone rolls over and props himself up on his week arms.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS544 	01:04:54,00 --> 01:05:03,50 	his back propped against one of the covering's six foot legs and stares at the unhatched egg.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS32 	00:09:07,00 --> 00:09:12,50 	he goes to prop an elbow on his knee, but slips.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS403 	01:24:41,00 --> 01:24:51,50 	in the house without a chair, someone balances on one foot, crosses the other over as if sitting, and props an elbow on his crooked knee.
SANCTUM.srt 	SANCTUM_DVS373 	01:14:20,00 --> 01:14:30,50 	now, as someone coils a handful of rope, he glances at someone who stares off with a stunned gaze, his head propped on his hand.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS317 	00:21:39,00 --> 00:21:46,50 	with her elbow on the arm of the couch, she props her cheek on her hand as she reads.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS324 	00:22:04,00 --> 00:22:11,50 	with a thoughtful smile, someone finishes writing and props her cheek on her hand.
